,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,Code
18,Kyungbang,Materials_&_Chemicals,2020,Q1,0.004485945230055521,0.27516588112987905,0.0003672101755781698,000050
19,Chosun_Refractories,Materials_&_Chemicals,2020,Q1,0.042091361485371626,-0.018206812897264113,-0.0020100787918684304,000480
18,Youngpoong,Materials_&_Chemicals,2020,Q1,-0.025848513777861903,0.1606496438994941,-0.025649592493506956,000670
18,Dongkuk_Steel,Materials_&_Chemicals,2020,Q1,-0.04280175970243838,0.08490440141591615,0.01256179890711795,001230
18,SeAH_Besteel,Materials_&_Chemicals,2020,Q1,0.010433525034806657,-0.05794759078897638,0.011970030798641451,001430
18,KIS_Wire,Materials_&_Chemicals,2020,Q1,-0.0045457984916634775,0.1744082461940487,-0.005989878319097697,002240
18,KCC,Materials_&_Chemicals,2020,Q1,0.07362006252880915,-2.327754518389308,0.07217050166430161,002380
18,SeAH_Steel,Materials_&_Chemicals,2020,Q1,0.013364882205112893,-5.573910393778328,-0.007041604099028875,003030
18,Ilshin_Spinning,Materials_&_Chemicals,2020,Q1,0.0013693422984146775,0.028011744581128428,-0.000652077172186516,003200
18,Hanil_Cement,Materials_&_Chemicals,2020,Q1,0.011414569354347703,0.11584259592053592,0.0022914770636661697,003300
18,Ssangyong_Cement,Materials_&_Chemicals,2020,Q1,0.001730489541946434,0.2943306972398576,-0.00449786570719346,003410
18,Samsung_Fine Chemicals,Materials_&_Chemicals,2020,Q1,-0.008682921432705548,-0.06642216189679706,-0.012731457181865746,004000
18,Hyundai_Steel,Materials_&_Chemicals,2020,Q1,0.03238712542818134,-0.005832329349005683,0.016324834127231402,004020
18,POSCO_Holdings,Materials_&_Chemicals,2020,Q1,0.0014084269814785833,0.05111231206777078,-0.0027774584004056635,005490
19,Korea_Petrochemical_Ind,Materials_&_Chemicals,2020,Q1,0.027589688358775843,0.12481723735437023,0.03348689837818075,006650
19,Kukdo_Chemical,Materials_&_Chemicals,2020,Q1,0.011480379120008322,-0.10005198073859667,0.005681117828267079,007690
18,Moorim_P&P,Materials_&_Chemicals,2020,Q1,0.011696366992378082,0.028843876156450454,0.021366186070879145,009580
18,Hanwha_Solutions,Materials_&_Chemicals,2020,Q1,-0.0360911794041463,-0.7500713101084424,-0.04731838012884393,009830
18,OCI,Materials_&_Chemicals,2020,Q1,0.020535017407274925,0.1539467773124481,0.03095278527692813,010060
18,Korea_Zinc,Materials_&_Chemicals,2020,Q1,0.018959430224981477,0.00658852525206155,0.017590443565996594,010130
18,Lotte_Chemical,Materials_&_Chemicals,2020,Q1,-0.0051957695363045175,-0.22201410944141142,0.019536136766211465,011170
18,Kumho_Petrochemical,Materials_&_Chemicals,2020,Q1,-0.007381762307183459,-0.02506317373223399,-0.0508745104891406,011780
18,SKC,Materials_&_Chemicals,2020,Q1,-0.2998175429673722,0.23562220715932336,-0.368615767816008,011790
19,Hansol_Chemical,Materials_&_Chemicals,2020,Q1,-0.04054122225365231,-0.09366543094136648,-0.05646773342948275,014680
18,Iljin_Materials,Materials_&_Chemicals,2020,Q1,-0.0073200260540242645,-0.01937646292987627,-0.08210204633684492,020150
18,Namhae_Chemical,Materials_&_Chemicals,2020,Q1,-0.009252983903799805,-0.0534872165339475,-0.011581065005553226,025860
18,LG_Chem,Materials_&_Chemicals,2020,Q1,-0.009095923933019057,0.023631923536644783,-0.011774431719053124,051910
18,Huchems,Materials_&_Chemicals,2020,Q1,0.02120033863359272,-0.10296049762154813,0.0312309562241726,069260
18,Huvis,Materials_&_Chemicals,2020,Q1,0.000316970268669059,-0.028482957478912496,-0.000894350010435252,093370
18,Poongsan,Materials_&_Chemicals,2020,Q1,0.006069229554327316,0.2492020982788521,0.020376229626536513,103140
18,Korea_Steel,Materials_&_Chemicals,2020,Q1,0.0005582631633035406,0.2003186320534429,-0.027695394262776674,104700
18,LG_Hausys,Materials_&_Chemicals,2020,Q1,-0.013413797204422373,0.09867742075365338,-0.048794110180248706,108670
18,Kolon_Industries,Materials_&_Chemicals,2020,Q1,-0.07546957058571557,0.0810604522676166,-0.25451201877055696,120110
