,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주주 수변화율,주주 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,Label,Code
8,Kyungbang,Materials_&_Chemicals,2022,Q3,-0.008564438366016836,0.07761980448442674,-0.008379004323812778,-0.10776939830841803,-0.8787836788425833,-0.06870915080982809,-0.0013994880423848777,0.017434211686782497,-0.0031487406658465833,0.0,0.019518304796937613,000050
9,Chosun_Refractories,Materials_&_Chemicals,2022,Q3,-0.0033764323339717794,0.06681435738702624,-0.001907992374612144,-0.624039265223985,-3.810317093060247,0.1498791080107003,-0.10399775764312413,-0.03804305309566258,0.0035563253405502815,-0.16167703013978962,0.02604577307537509,000480
8,Youngpoong,Materials_&_Chemicals,2022,Q3,0.013254764931004193,0.021745133223447177,0.013187655926474418,0.013799849563343902,1.7074025945916984,-0.07794422946288784,-0.01750075743146673,-0.010313190928884941,-0.0069903533123227835,0.0,0.29467487916883606,000670
8,Dongkuk_Steel,Materials_&_Chemicals,2022,Q3,-0.07036257759276698,0.1354014875790347,-0.12772149887489292,-0.2283218191078964,0.5681302162949295,-0.0722320016496743,0.009070993927925763,0.025356186962136262,0.03105073618139509,0.19857393051604866,-0.0806192913715383,001230
8,SeAH_Besteel,Materials_&_Chemicals,2022,Q3,-0.010042516244040511,-0.34851560339528964,0.001914271210727292,0.005705056177804146,-25.83095383944145,-0.014295876776300898,0.0018259489911066629,0.00535420001535436,0.005398504698208018,0.0,0.15770294322226924,001430
8,KIS_Wire,Materials_&_Chemicals,2022,Q3,-0.009123719693568733,0.09504439065996295,-0.009394948612524878,-0.012885913857792586,0.36001843843563464,0.11261730040216382,-0.024915278908081984,-0.021182537748634767,-0.022156648736410434,0.0,-0.09166039642693276,002240
8,KCC,Materials_&_Chemicals,2022,Q3,0.05766222492752604,0.007458398646956965,0.060177015869596895,0.039136912508165755,0.15603064010408296,0.0015626287880870227,0.11177496154903821,0.11089920628604755,0.14015717783943193,0.05804139612464587,-0.10755655970170737,002380
8,SeAH_Steel,Materials_&_Chemicals,2022,Q3,-0.004751854928662258,0.36958154947851596,-0.00611130869022225,-0.46200367741596904,4.253840342471863,0.31497020939355097,-0.022996502697738785,-0.010901223530196624,-0.02322287996178063,-0.03428622155910799,0.16362399585384818,003030
8,Ilshin_Spinning,Materials_&_Chemicals,2022,Q3,0.009534090335066137,0.19535546620905841,0.009856488669451546,0.07173352719299986,1.4455850483462205,-0.05268361516403927,-0.002272820195924341,-0.016689379427959228,-0.04052891814375492,-0.011516667062678065,0.20582005280894128,003200
8,Hanil_Cement,Materials_&_Chemicals,2022,Q3,0.0004803215936365346,-0.13631300534761714,-0.0006847292587661702,0.027034709458518935,1.377009330631616,-0.00877656436043675,-0.028930232090873753,-0.009782602971871501,-0.021169855901737256,-0.0730855348110937,0.1069726197070592,003300
