,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,비유동부채변화율,영업이익변화율,Relative Return,전체 주주 수변화율,주주 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,Label,Code
25,Kyungbang,Materials_&_Chemicals,2018,Q2,-0.00904435133433723,-0.08884180353403526,-0.011539215454290153,0.0035522157260262643,0.007985331454748001,0.04130716261582614,-0.012007014812201122,-0.00346736238048706,-0.012443543553633862,0.0,0.03967232855875262,000050
26,Chosun_Refractories,Materials_&_Chemicals,2018,Q2,-0.024421879139036262,0.06440360677641677,-0.02204330764303153,-0.316808933415591,0.6772468629735958,0.007732274442960117,-0.016978905133665068,-0.021165713137710096,-0.20871886180732546,0.11000934756389902,0.0765148803062925,000480
25,Youngpoong,Materials_&_Chemicals,2018,Q2,0.0033545741854711375,0.1199754876765502,0.0035030118892893647,-0.0039145978545205296,3.102379434410524,-0.10563598464795665,-0.012387266162996902,-0.0018979325947277026,-0.00634830692454913,0.0,-0.07502151268878574,000670
25,Dongkuk_Steel,Materials_&_Chemicals,2018,Q2,0.017517266908865126,-0.07068628377355379,0.04347338092742892,-0.05125648749895073,-1.0646900099668652,-0.04346138203008453,-0.012454314098580443,-0.02455835234821535,-0.018308403487634628,0.3063557755483185,-0.10982856523812995,001230
25,SeAH_Besteel,Materials_&_Chemicals,2018,Q2,-0.008445280463954541,-0.00033360136635463,-0.012540683591309332,-0.14174976611087642,-0.06452137847688721,-0.07926335802120596,0.0033695902458641402,0.00023860257534569218,0.001009324648476695,0.0,-0.11335607578544118,001430
25,KIS_Wire,Materials_&_Chemicals,2018,Q2,-0.003264135785456146,-0.12258929393176654,-0.0024328848927088753,-0.01076069441539551,-0.16000636281820135,-0.032768775026056345,-0.014111889867583827,-0.011587730695608922,-0.011697266070941792,0.0,0.00935756126793743,002240
25,KCC,Materials_&_Chemicals,2018,Q2,0.05723720972465318,-0.09936909503564584,0.06198452312359948,0.13663078226765824,-0.5363071192152258,-0.059034308697823244,0.1834161320396881,0.1857405068224598,0.21494933765481672,0.0932503661705616,-0.0002613620167328315,002380
25,SeAH_Steel,Materials_&_Chemicals,2018,Q2,-0.004479340260002074,0.19295324391103152,-0.01182177571637566,-0.07984329175202842,0.6039556299167682,-0.09994652447743005,-0.11978401873835653,-0.08479208353075762,-0.11885612453476502,-0.11986395072747813,-0.034948636389568105,003030
25,Ilshin_Spinning,Materials_&_Chemicals,2018,Q2,-0.011839072753169422,-0.1262110966620691,-0.010863013312400138,-0.05131227497950408,-0.48437942100557785,0.02037723594455588,-0.02882170471965284,-0.028560939827084297,0.016292630541216324,-0.009023416918545912,0.12015405613350345,003200
25,Hanil_Cement,Materials_&_Chemicals,2018,Q2,0.8132336826567632,0.9569832256456887,-0.016798610935990554,0.2701145523702132,1.3039374601962934,-0.20024820755942552,0.42727317750799676,0.3522577264227208,0.27480369302479823,1.9275816657253686,0.32602715542639027,003300
25,Ssangyong_Cement,Materials_&_Chemicals,2018,Q2,-0.005004582227279286,-0.31009908597419367,0.028603008769385818,-0.03230509367592016,-3.1155247072258616,0.3225245306061177,0.013740978095908019,0.05283521633063659,0.002394526311884304,0.0766314012779068,0.25643429793266226,003410
25,Samsung_Fine Chemicals,Materials_&_Chemicals,2018,Q2,-0.03993797494849671,-0.056865966268141666,-0.06575109592367134,-0.021042400247151205,-0.46622185399853344,0.13026273484221607,-0.04261615051261436,-0.0293119591513904,-0.06958796751986318,0.04821222752548737,-0.03023573367604228,004000
25,Hyundai_Steel,Materials_&_Chemicals,2018,Q2,-0.005448385732228278,-0.13940461605091103,-0.015565171448120196,0.06339497563733565,-0.3365956893863824,-0.08806439427224844,-0.01044316191757666,-0.007658336894736051,-0.005672443982515318,-0.05915623737741327,0.08175916329264618,004020
25,POSCO_Holdings,Materials_&_Chemicals,2018,Q2,0.00792259731271705,0.007221450307766442,-0.009914699985931419,0.09326943285707967,0.19075512354164048,0.005780494879240254,-0.006913469975373676,-0.010053521076158534,0.007350194669670351,-0.02769386899166637,0.06425410271679796,005490
26,Korea_Petrochemical_Ind,Materials_&_Chemicals,2018,Q2,-0.055713940836479736,-0.06403526148154426,-0.07002042036770151,0.10869731268502647,-0.04036158567945325,0.1502435727483218,-0.07519391885460203,-0.08430918633182305,-0.07983392442174853,-0.0461294144376283,-0.10900935888132407,006650
26,Kukdo_Chemical,Materials_&_Chemicals,2018,Q2,-0.02198715401307072,0.01272379519950162,-0.025120621610628335,0.08259842563778463,-0.02334105576680834,-0.0059109444899049166,-0.014716182067247452,-0.008970858908158075,-0.01745938479644704,-0.031389483821004704,0.06690037574092825,007690
25,Moorim_P&P,Materials_&_Chemicals,2018,Q2,-0.0342760119301988,-0.025101668170331104,-0.06623413015280066,-0.08641821915119574,-0.269556704830731,0.4718454293030419,-0.032726193111406454,-0.044547974116945666,-0.03262566888954721,0.0,0.3801412155000322,009580
25,Hanwha_Solutions,Materials_&_Chemicals,2018,Q2,-0.026328610338604896,-0.03396570178528191,-0.04296832392434058,0.06889348845158216,-0.21803546322440082,-0.03459869861527486,0.03430021442722708,0.017574907926931616,0.04093079363968344,-0.004270762836932285,-0.21882819890283353,009830
25,OCI,Materials_&_Chemicals,2018,Q2,-0.01706250080695293,0.09867840131253403,-0.023828527761798224,0.14736711388307222,0.12481351322304168,0.1718254139072332,-0.03587973299387581,-0.03588886880201647,-0.018035943273276178,0.020537601952936746,-0.28935170107149166,010060
