접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230407000480,2023-04-07,00155319,POSCO홀딩스,권영균,비등기임원,임원(담당),-,132,132,0.00,0.00,2023,Q2
20230407000511,2023-04-07,00155319,POSCO홀딩스,김승준,비등기임원,임원(팀장),-,131,131,0.00,0.00,2023,Q2
20230407002763,2023-04-07,00155319,POSCO홀딩스,한영아,비등기임원,임원(팀장),-,587,87,0.00,0.00,2023,Q2
20230407002704,2023-04-07,00155319,POSCO홀딩스,천성현,비등기임원,임원(팀장),-,131,131,0.00,0.00,2023,Q2
20230407002662,2023-04-07,00155319,POSCO홀딩스,조주익,비등기임원,임원(단장),-,869,169,0.00,0.00,2023,Q2
20230407002606,2023-04-07,00155319,POSCO홀딩스,정대형,비등기임원,임원(팀장),-,299,169,0.00,0.00,2023,Q2
20230407002554,2023-04-07,00155319,POSCO홀딩스,김학동,등기임원,비상무이사,-,"2,215",755,0.00,0.00,2023,Q2
20230407002514,2023-04-07,00155319,POSCO홀딩스,유병옥,등기임원,임원(부사장),-,"1,687",538,0.00,0.00,2023,Q2
20230407000545,2023-04-07,00155319,POSCO홀딩스,김정용,비등기임원,임원(팀장),-,169,169,0.00,0.00,2023,Q2
20230407000578,2023-04-07,00155319,POSCO홀딩스,김필호,비등기임원,임원(Cell리더),-,132,132,0.00,0.00,2023,Q2
20230407000716,2023-04-07,00155319,POSCO홀딩스,박성진,비등기임원,임원(담당),-,369,169,0.00,0.00,2023,Q2
20230407000762,2023-04-07,00155319,POSCO홀딩스,박영주,비등기임원,임원(팀장),-,77,77,0.00,0.00,2023,Q2
20230407000804,2023-04-07,00155319,POSCO홀딩스,박정빈,비등기임원,임원(팀장),-,132,132,0.00,0.00,2023,Q2
20230407000852,2023-04-07,00155319,POSCO홀딩스,박진우,비등기임원,임원(담당),-,224,132,0.00,0.00,2023,Q2
20230407000883,2023-04-07,00155319,POSCO홀딩스,서상철,비등기임원,임원(담당),-,132,132,0.00,0.00,2023,Q2
20230407000914,2023-04-07,00155319,POSCO홀딩스,송원근,비등기임원,임원(담당),-,169,169,0.00,0.00,2023,Q2
20230407000956,2023-04-07,00155319,POSCO홀딩스,오영달,비등기임원,임원(담당),-,132,132,0.00,0.00,2023,Q2
20230407000995,2023-04-07,00155319,POSCO홀딩스,이상민,비등기임원,임원(담당),-,221,132,0.00,0.00,2023,Q2
20230407001030,2023-04-07,00155319,POSCO홀딩스,이재완,비등기임원,임원(팀장),-,132,132,0.00,0.00,2023,Q2
20230407001098,2023-04-07,00155319,POSCO홀딩스,김영종,비등기임원,임원(팀장),-,198,161,0.00,0.00,2023,Q2
20230407001331,2023-04-07,00155319,POSCO홀딩스,양원준,비등기임원,임원(팀장),-,980,404,0.00,0.00,2023,Q2
20230407001358,2023-04-07,00155319,POSCO홀딩스,오석근,비등기임원,임원(보좌역),-,243,243,0.00,0.00,2023,Q2
20230407001761,2023-04-07,00155319,POSCO홀딩스,김주민,비등기임원,임원(연구소장),-,289,169,0.00,0.00,2023,Q2
20230407001896,2023-04-07,00155319,POSCO홀딩스,이경섭,비등기임원,임원,-,409,169,0.00,0.00,2023,Q2
20230407002255,2023-04-07,00155319,POSCO홀딩스,천성래,비등기임원,임원(팀장),-,410,183,0.00,0.00,2023,Q2
20230407002442,2023-04-07,00155319,POSCO홀딩스,최정우,등기임원,대표이사 회장,-,"3,338","1,812",0.00,0.00,2023,Q2
20230407002484,2023-04-07,00155319,POSCO홀딩스,정기섭,등기임원,대표이사 사장,-,410,410,0.00,0.00,2023,Q2
20230407002512,2023-04-07,00155319,POSCO홀딩스,김지용,등기임원,임원 (원장),-,"1,629",538,0.00,0.00,2023,Q2
20230511000679,2023-05-11,00155319,POSCO홀딩스,김주민,비등기임원,임원(연구소장),-,316,27,0.00,0.00,2023,Q2
20230706000094,2023-07-06,00155319,POSCO홀딩스,송경화,비등기임원,임원(담당),-,297,297,0.00,0.00,2023,Q3
20230720000394,2023-07-20,00155319,POSCO홀딩스,도한의,비등기임원,임원(대표법인장),-,121,121,0.00,0.00,2023,Q3
20230905000240,2023-09-05,00155319,POSCO홀딩스,하대룡,비등기임원,임원(대표법인장),-,485,485,0.00,0.00,2023,Q3
20230905000248,2023-09-05,00155319,POSCO홀딩스,임상혁,비등기임원,임원(담당),-,131,131,0.00,0.00,2023,Q3
20231102000325,2023-11-02,00155319,POSCO홀딩스,김영종,비등기임원,임원(팀장),-,240,42,0.00,0.00,2023,Q4
20231218000266,2023-12-18,00155319,POSCO홀딩스,최정우,등기임원,대표이사 회장,-,"4,038",700,0.00,0.00,2023,Q4
20240105000080,2024-01-05,00155319,POSCO홀딩스,김경찬,비등기임원,임원(담당),-,131,131,0.00,0.00,2024,Q1
20240105000094,2024-01-05,00155319,POSCO홀딩스,나승민,비등기임원,임원(실장),-,10,10,0.00,0.00,2024,Q1
20240105000099,2024-01-05,00155319,POSCO홀딩스,이철호,비등기임원,임원(담당),-,640,640,0.00,0.00,2024,Q1
