code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
270,Kia,Transportation,2021,Q4,17683237000000.0,27505529000000.0,45188766000000.0,12926547000000.0,6686307000000.0,19612854000000.0,21838662000000.0,25575912000000.0,11406259000000.0,1396532000000.0,1251267000000.0,877618000000.0,877618000000.0,,
660,SK_Hynix,Electronics,2021,Q4,16833952000000.0,68138592000000.0,84972544000000.0,11947187000000.0,14287743000000.0,26234930000000.0,52976872000000.0,58737614000000.0,11897258000000.0,4130326000000.0,4631340000000.0,3306547000000.0,3306547000000.0,3657652000000.0,
3550,LG_Corporation,etc,2021,Q4,1831399000000.0,7877300000000.0,9708699000000.0,179868000000.0,118574000000.0,298442000000.0,7740618000000.0,9410257000000.0,126955000000.0,44231000000.0,-173306000000.0,-185215000000.0,-185215000000.0,801613000000.0,,,
3670,POSCO_Future_M,Electronics,2021,Q4,2051785743964.0,1709547303954.0,3761333047918.0,604654066630.0,825357809532.0,1430011876162.0,841990439486.0,2331321171756.0,525800036555.0,20592167072.0,11203414505.0,16405804424.0,16405804424.0,38731610000.0,
5380,Hyundai_Motor,Transportation,2021,Q4,23330493000000.0,56427807000000.0,79758300000000.0,20043791000000.0,7039497000000.0,27083288000000.0,49094270000000.0,52675012000000.0,15363494000000.0,27431000000.0,-1071578000000.0,-1175167000000.0,-1175167000000.0,1488993000000.0,775156000000.0
5490,POSCO_Holdings,Metal,2021,Q4,25918879999015.0,38323878956874.0,64242758955889.0,7868269046806.0,7339064914051.0,15207333960857.0,49734491732778.0,49035424995032.0,11527677352540.0,1672947839547.0,1372722151953.0,1070823996567.0,1070823996567.0,482403125000.0,,
5930,Samsung_Electronics,Electronics,2021,Q4,73553416000000.0,177558768000000.0,251112184000000.0,53067303000000.0,4851149000000.0,57918452000000.0,188774335000000.0,193193732000000.0,55013869000000.0,9247751000000.0,10712382000000.0,8699494000000.0,8699494000000.0,897514000000.0,
6400,Samsung_SDI,Electronics,2021,Q4,4617780012536.0,12227216859338.0,16844996871874.0,3573102960244.0,1279023728012.0,4852126688256.0,356712130000.0,6439850669615.0,11992870183618.0,3300254487384.0,116290483169.0,174818575813.0,159551972726.0,159551972726.0,
9150,Samsung_Electro_Mechanics,Electronics,2021,Q4,3262888164080.0,3427175712744.0,6690063876824.0,1334595872310.0,80100048436.0,1414695920746.0,388003400000.0,5275367956078.0,2114641846966.0,316408725708.0,305751777706.0,216708826304.0,216708826304.0,760458156783.0,
9540,Korea_Shipbuilding_&_Offshore_Engineering,Transportation,2021,Q4,1840381425000.0,9268756933000.0,11109138358000.0,221237071000.0,110885359000.0,332122430000.0,16352611450000.0,10777015928000.0,80420241000.0,19701564000.0,,93634524000.0,93634524000.0,353865580000.0,
10130,Korea_Zinc,Metal,2021,Q4,4444333507426.0,3876895987632.0,8321229495058.0,1078792942084.0,81863433500.0,1160656375584.0,7088266823279.0,7160573119474.0,1953232311813.0,249261562541.0,261734002899.0,187415051401.0,187415051401.0,94350000000.0,
10950,S_Oil,Chemistry,2021,Q4,8341712000000.0,10311844000000.0,18653556000000.0,8473618000000.0,3198182000000.0,11671800000000.0,5319082000000.0,6981756000000.0,8207672000000.0,390641000000.0,387954000000.0,287733000000.0,287733000000.0,291512000000.0,
11170,Lotte_Chemical,Chemistry,2021,Q4,6468327757910.0,10959110295842.0,17427438053752.0,3530558854661.0,1557894569724.0,5088453424385.0,171377095000.0,10937863087904.0,12338984629367.0,3722445955179.0,-14155633670.0,42783657398.0,29797075725.0,29797075725.0,
12330,Hyundai_Mobis,Transportation,2021,Q4,15461247000000.0,17114961000000.0,32576208000000.0,6411865000000.0,1585435000000.0,7997300000000.0,23708066000000.0,24578908000000.0,7841548000000.0,421388000000.0,498275000000.0,321763000000.0,321763000000.0,491096000000.0,
15760,Korea_Electric_Power,Electronics,2021,Q4,9334187000000.0,106244330000000.0,115578517000000.0,24153183000000.0,44378744000000.0,68531927000000.0,4053578000000.0,29387880000000.0,47046590000000.0,15283956000000.0,-4181149000000.0,-4376125000000.0,-3375075000000.0,-3375075000000.0,
17670,SK_Telecom,Communication,2021,Q4,4681493000000.0,21707572000000.0,26389065000000.0,5426477000000.0,10099732000000.0,15526209000000.0,14770618000000.0,10862856000000.0,3073104000000.0,159109000000.0,337955000000.0,265406000000.0,265406000000.0,30493000000.0,,
18260,Samsung_SDS,IT_Service,2021,Q4,4152700905521.0,2698229150015.0,6850930055536.0,970445281046.0,265835841338.0,1236281122384.0,38688900000.0,4559905735796.0,5614648933152.0,1330061485828.0,26774629720.0,41788582964.0,27644209410.0,27644209410.0,
18880,Hanon_Systems,Machines,2021,Q4,1366162865751.0,3335042625559.0,4701205491310.0,1153229881770.0,2403281965622.0,3556511847392.0,866534194414.0,1144693643918.0,728597643835.0,-31221058246.0,-6152344809.0,-5828628971.0,-5828628971.0,53380000000.0,
28260,Samsung_C&T,Distribution,2021,Q4,8502681147772.0,35678236562671.0,44180917710443.0,8167723489946.0,7805374113446.0,15973097603392.0,7892263799113.0,28207820107051.0,6126490357027.0,145977977225.0,356096784380.0,285767153623.0,285767153623.0,18851450600.0,792915114575.0
30200,KT_Corporation,Communication,2021,Q4,7167047000000.0,22195322000000.0,29362369000000.0,6968720000000.0,8528755000000.0,15497475000000.0,13864894000000.0,4669475000000.0,91980000000.0,158345000000.0,130591000000.0,130591000000.0,1564499000000.0,11931481000000.0,,
33780,KT&G,Food,2021,Q4,4008999325718.0,5772652105403.0,9781651431121.0,1715413871960.0,66122484346.0,1781536356306.0,954959485000.0,877116550879.0,8000115074815.0,851342304292.0,184799186381.0,142404547187.0,75081777941.0,75081777941.0,
34220,LG_Display,Electronics,2021,Q4,8566656000000.0,20911466000000.0,29478122000000.0,13148969000000.0,5686335000000.0,18835304000000.0,6611853000000.0,10642818000000.0,8143712000000.0,101983000000.0,-73478000000.0,132187000000.0,132187000000.0,1789079000000.0,
34730,SK_Inc,etc,2021,Q4,1934670000000.0,25282305000000.0,27216975000000.0,5128241000000.0,6298628000000.0,11426869000000.0,12406200000000.0,15790106000000.0,182623000000.0,398601000000.0,252711000000.0,252711000000.0,764659000000.0,16143000000.0,,
35420,NAVER,IT_Service,2021,Q4,1779773191131.0,11182647374778.0,12962420565909.0,1334494719909.0,2295467194248.0,3629961914157.0,9257464912758.0,9332458651752.0,1373079037054.0,409068580086.0,601492334428.0,413293559041.0,413293559041.0,16481339500.0,,,
35720,Kakao,IT_Service,2021,Q4,2412771566068.0,7616731297777.0,10029502863845.0,2318866853953.0,1171298508308.0,3490165362261.0,687952355457.0,6539337501584.0,,126855810570.0,198857862323.0,105894928826.0,105894928826.0,44640599000.0,677046563917.0,
36570,NCSoft,IT_Service,2021,Q4,2287285618468.0,2201766909492.0,4489052527960.0,598679148126.0,739289195870.0,1337968343996.0,3054555304233.0,,709237810384.0,100437417697.0,128810335488.0,100085476452.0,100085476452.0,10977011000.0,,
51900,LG_Household_&_Health_Care,Chemistry,2021,Q4,1253654965968.0,3858726355527.0,5112381321495.0,765934210986.0,125133050997.0,891067261983.0,4013008049932.0,4221314059512.0,1056705451835.0,142498674515.0,43069787391.0,11024856783.0,11024856783.0,88589470000.0,
51910,LG_Chem,Chemistry,2021,Q4,8238944000000.0,22690208000000.0,30929152000000.0,5433604000000.0,6710671000000.0,12144275000000.0,15658258000000.0,18784877000000.0,5280075000000.0,391772000000.0,146737000000.0,85405000000.0,85405000000.0,391406000000.0,
66570,LG_Electronics,Electronics,2021,Q4,10613206000000.0,18980318000000.0,29593524000000.0,13657848000000.0,7045421000000.0,20703269000000.0,904169000000.0,4940122000000.0,8890255000000.0,6524236000000.0,514753000000.0,621261000000.0,54804000000.0,54804000000.0,
68270,Celltrion,Medicine_Production,2021,Q4,2699784599659.0,2615584784089.0,5315369383748.0,950175730474.0,365385720997.0,1315561451471.0,137947128000.0,3162199352262.0,3999807932277.0,552524339764.0,222528422374.0,156403312462.0,131583951079.0,131583951079.0,
