,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,비유동부채변화율,영업이익변화율,이익잉여금변화율,Label,Code
12,Kyungbang,Materials_&_Chemicals,2021,Q3,0.027146116431830798,-0.00012042230472375515,0.03023290334764417,-0.25630905117930225,-2.1640940446817374,-0.004551521759099897,0.06116283320735383,000050
13,Chosun_Refractories,Materials_&_Chemicals,2021,Q3,0.049418843704558076,-0.009695614851841894,-0.051266782612152006,0.18405680381374567,-1.1212632820862432,-0.01057154540238181,0.05506081113422295,000480
12,S_hynix,Technology,2021,Q3,-0.12848629463536287,-0.06438399186199928,-0.15286303504958987,-0.03964633943247575,-0.5620058968407649,-0.0723719286059199,-0.10625904720558875,000660
12,Youngpoong,Materials_&_Chemicals,2021,Q3,0.059284748425178925,0.02429324856046955,0.1294785685831069,-0.15635314967664882,4.701737628573044,0.024098209214644895,0.11680977581288515,000670
12,Dongkuk_Steel,Materials_&_Chemicals,2021,Q3,0.580043838794163,-0.07461865786190969,-0.101340625955187,0.11203411368297767,-0.4290019087899861,-0.261980072055898,-0.08936100550422617,001230
12,SeAH_Besteel,Materials_&_Chemicals,2021,Q3,0.647332565371631,-0.01973672725628539,0.051711256291709584,0.21012388499316603,0.41419045457645665,-0.030196093010528502,-0.09706748414503329,001430
12,KIS_Wire,Materials_&_Chemicals,2021,Q3,0.13439311471656493,-0.02259102625035081,-0.0019267293309033207,-0.044009706621917166,-0.16434698539983184,-0.01794497848282206,0.30511689433305617,002240
12,KCC,Materials_&_Chemicals,2021,Q3,0.3969677504939712,0.050342710346149344,0.016390118905230455,0.10371954212308121,-0.23672089056472267,0.054686204898651725,0.30763056150133017,002380
12,Korea_Shell_Petroleum,Energy_&_Utilities,2021,Q3,0.0910269567070934,-0.07745886453214701,0.026707480727105826,-0.10079129420400879,-0.0382105306629168,-0.08422537082180837,0.04637891519586669,002960
12,SeAH_Steel,Materials_&_Chemicals,2021,Q3,0.3250961246812946,-0.0012089922104496775,-0.04264347724579065,-4.1160757913154,-4.958510384469459,-0.0013909361513366747,0.9304300948543973,003030
12,Ilshin_Spinning,Materials_&_Chemicals,2021,Q3,0.07577862798807117,-0.007395786850898034,-0.0626355227273998,-0.02965683040594147,0.38112939463113893,-0.007666096676130829,0.21385990084756618,003200
12,Hanil_Cement,Materials_&_Chemicals,2021,Q3,0.009676477148750036,0.0015726483434659322,-5.282467899506077,0.3800501421575544,-1.8009717824059446,0.0002287404755040301,0.1113676089856966,003300
12,Ssangyong_Cement,Materials_&_Chemicals,2021,Q3,0.030609741004404785,-0.004250425746968878,-0.07687028685986363,-0.05318093223879594,0.032008266128191964,-0.004753025310865189,0.04033426637883784,003410
12,Samsung_Fine Chemicals,Materials_&_Chemicals,2021,Q3,0.05871177299748736,-0.06939760217302715,-0.1642898705843705,-0.7085702568274366,-0.29767629321193767,-0.09702752536149717,0.4491265150910788,004000
12,Hyundai_Steel,Materials_&_Chemicals,2021,Q3,0.06518650996129821,-0.023453139412391355,-0.05836996479456058,-0.010486246605315941,-0.6139096795298957,-0.05011397420031449,-0.03562352026754079,004020
13,Hansol_Technics,Technology,2021,Q3,-0.1901351871702275,0.024215907403950077,-0.09988130060236133,-0.0025489393260622606,7.6546545310662,0.20553710808527414,-0.15152012756771172,004710
12,POSCO_Holdings,Materials_&_Chemicals,2021,Q3,0.03340409402366174,-0.03239041148582378,-0.21960685225811094,-0.2794629888429587,-0.42760685720199865,-0.03229180397285725,0.038278767920461684,005490
13,Samsung_Electronics,Technology,2021,Q3,-0.07421751993180556,-0.03328995363464893,-0.1780952868289667,0.006598062156857654,-0.3708405527627905,-0.034824560133356774,0.006394709949447186,005930
13,Samsung_SDI,Technology,2021,Q3,-0.010608293337504342,-0.025119585578956105,-0.017711508667703102,-0.0316517914818788,-0.021285449843425397,-0.032263451904726015,0.10868983833153209,006400
13,Korea_Petrochemical_Ind,Materials_&_Chemicals,2021,Q3,-0.3245705919362537,-0.014197979483429934,0.0011055110425834958,0.009683289809370499,0.5812467937332738,-0.01683555549175919,-0.01263467921940055,006650
13,Kukdo_Chemical,Materials_&_Chemicals,2021,Q3,0.1087435190292334,-0.25214429576415065,0.07663974137515084,0.2126766518492259,0.2371148998431184,-0.09324602240785684,0.2718407611958924,007690
12,Daeduck_Electronics,Technology,2021,Q3,0.1791491423494732,-0.0022056808509745007,0.05535903033562395,0.20492668343282916,-0.45131038032176796,-0.11192308788024996,-0.08272045143941341,008060
13,Samsung_Electro-Mechanics,Technology,2021,Q3,-0.12326547984590722,-0.05689696073916006,-0.1116099286517549,-0.21884892037936132,-1.2692299413789496,-0.8980813860198193,0.0858978155395093,009150
12,Moorim_P&P,Materials_&_Chemicals,2021,Q3,0.1330845328541182,-0.00418111849766678,0.049446315312045575,0.1519173198996283,0.5015822608217604,-0.007948189327138921,-0.177435517793824,009580
12,Hanwha_Solutions,Materials_&_Chemicals,2021,Q3,-0.1737058374100998,-0.0128254166223023,0.02766767912016954,-0.015599415771244018,0.26914404334456665,-0.02042934971895516,0.09151134558628872,009830
12,OCI,Materials_&_Chemicals,2021,Q3,-0.09710887955947098,-0.01703416513710798,0.03176899011656542,0.032290117966949694,0.35495189408439876,-0.027995875587544683,0.42757863938229124,010060
12,Korea_Zinc,Materials_&_Chemicals,2021,Q3,0.009101276892526315,-0.028533108047797073,0.06227241767022673,0.1093208136610001,0.022202627642775474,-0.03286161819919586,0.24756063309147236,010130
