,name,year,quarter,sector,Relative Return,이익잉여금 변화율,유동자산 변화율,자본총계 변화율,영업이익 변화율,매출액 변화율,Label,Code
33,대림산업,2016,Q3,건설,-0.01695130941694848,0.0052486077034687995,-0.03452420831173164,-0.003430410789346916,-0.09446807252938172,-0.017114811962123166,-0.13911732572419963,000210
33,현대건설,2016,Q3,건설,0.17336626894697518,0.01839996675062472,-0.022397335164079046,-0.008510043226869435,0.12382138981552182,-0.05817396525826446,0.01665776516054719,000720
33,KCC,2016,Q3,건설,-0.055202335069408956,0.011147628165665724,-0.015206131320052219,0.09434053774038431,-0.012458601943076353,-0.04745699279903215,-0.2071485078598309,002380
33,한일시멘트,2016,Q3,건설,-0.0743844073816016,-0.017737152754482843,-0.059439529421495885,-0.01823611679812598,-0.1375426012480886,-0.07447874371358887,0.1901894167030761,003300
33,현대중공업,2016,Q3,중공업,0.05501709048547251,0.014306277647091692,-0.06299212150247746,0.01216677870341254,-0.17651813569297492,-0.14410155159450921,0.022361074163679454,009540
33,삼성중공업,2016,Q3,중공업,0.12193879833170787,0.035464384360327283,-0.07820665280806727,0.02444451643638179,-1.4651882138628143,0.02133409266914743,0.09354039364304538,010140
33,현대미포조선,2016,Q3,중공업,-0.20250429185804758,0.026146615707874687,-0.13503083290145623,0.08876328126661726,-0.2807769076220856,-0.10774243288432872,0.19791314356502815,010620
33,아이에스동서,2016,Q3,건설,-0.18481327166520314,0.12136591433031807,-0.055159856646906924,0.10405612130091124,-0.17157611380029847,-0.11648690993973598,-0.15739864160906342,010780
33,한화테크윈,2016,Q3,중공업,-0.1312677818950058,0.025778140064302013,-0.051817110218927875,0.020154552732937203,-0.25157450570313866,-0.06653632181496061,-0.20105057256039613,012450
33,현대산업,2016,Q3,건설,0.06545321633288634,0.039674657814171566,-0.03605212033658001,0.03187688729223659,-0.10619739652015026,-0.0354565313666525,-0.29298896140738145,012630
33,현대엘리베이,2016,Q3,중공업,-0.009155151601217167,-0.48510432808355175,0.068281248658147,-0.05379753519874919,0.2726142781881915,-0.009429024778852768,-0.11792008295116328,017800
33,삼성엔지니어링,2016,Q3,건설,-0.05733214760499251,-0.1981112252044418,0.03893256424421465,0.062254020948135924,-0.5456598760431466,-0.1995230461949452,0.1877029336552789,028050
33,두산중공업,2016,Q3,중공업,0.010496060985617686,0.0032676736547874174,-0.0368748233287618,-0.008418290920834903,-0.2550105892043567,-0.14376614438809177,-0.2644080774698696,034020
33,대우조선해양,2016,Q3,중공업,0.0,0.03619069308672618,-0.16293038752778521,0.08956354949246492,-0.7264689991320938,-0.08516425256066307,0.0,042660
33,두산인프라코어,2016,Q3,중공업,0.00431737201593998,-0.02269143813014518,-0.10199513480493583,0.0006142231362473716,-1.2525019885224404,-0.15354132086323236,-0.02239453974757946,042670
33,대우건설,2016,Q3,건설,0.06518944236306617,0.06939503859292073,-0.04021665046316958,-0.018715762305502315,-0.07326684940865236,-0.07168121926408677,-0.028748295485192324,047040
33,한전기술,2016,Q3,건설,-0.26105645367625596,-0.011995459769662209,-0.011844496639847324,-0.012058223830301973,-1.061726340376881,-0.20208171486348991,0.029857739630720317,052690
33,현대로템,2016,Q3,중공업,-0.13135165542036203,-0.03338674060545077,-0.09653404177103142,-0.01309216391259893,-0.9585069909898623,-0.08122138544924729,-0.05441568706360886,064350
33,두산엔진,2016,Q3,중공업,-0.19157843471200448,-0.79488083128639,0.007864518808927912,-0.3285334935979234,0.5965917313138742,-0.08939559533189323,-0.24021763779439623,082740
33,한진중공업,2016,Q3,중공업,-0.1230983132457033,1.2425043946836651,0.03402175420493392,-0.0895797503154131,-1.0625067060885323,-0.37383881286772314,-0.2095849966133588,097230
33,LG하우시스,2016,Q3,건설,-0.2470997956416369,0.019309257189954243,0.05924308759334118,0.005338184517962308,-0.2911096619932616,-0.059677146330578745,-0.0411936734727648,108670
