,name,year,quarter,sector,Relative Return,비유동부채 변화율,법인세차감전 순이익 변화율,영업이익 변화율,소비자물가지수 변화율,유동부채 변화율,비유동자산 변화율,Label,Code
3,유한양행,2024,Q1,헬스케어,-0.05938153517806958,0.052434805547293184,1.765336252551153,-0.04818819116899653,-0.11265192787422551,0.021421411239838317,0.007970390943398131,0.2848114793230269,000100
3,일동제약,2024,Q1,헬스케어,-0.06595967810721542,-0.0407705242980797,-0.8281934064383603,-10.53516084333588,-0.11265192787422551,0.007956281417563327,0.00806107962650393,0.037205930743872746,000230
3,동아쏘시오홀딩스,2024,Q1,헬스케어,-0.09398115169705518,-0.005074681039576756,-1.933073800885915,-6.956257399214956,-0.11265192787422551,0.049115340375418315,0.015731279158882616,0.15859709832860064,000640
3,한화,2024,Q1,에너지_화학,-0.07102790399691823,-0.009656091152948965,1.967281699206179,12.616428200756172,-0.11265192787422551,0.1704656480758675,0.005502610582244882,0.14654641411019148,000880
3,한국쉘석유,2024,Q1,에너지_화학,0.13365405835032973,0.36763709172051007,0.7036359060952442,0.7128231519756376,-0.11265192787422551,0.5034258015051427,0.03501378450455728,0.22873722460745433,002960
3,부광약품,2024,Q1,헬스케어,0.02739847236300402,0.005525014894237845,-1.2006249422964297,-1.2960157343626681,-0.11265192787422551,-0.07123805818331919,-6.270451876988492e-05,-0.132677991624114,003000
3,태광산업,2024,Q1,에너지_화학,-0.09944385052655712,-0.0029385993468032945,-1.4542285270166346,-0.9966786981750729,-0.11265192787422551,-0.012751576641953144,-0.003321621669276964,-0.0866324514371064,003240
3,영진약품,2024,Q1,헬스케어,0.022138869449247443,-0.159636715854501,-5.219667184668247,0.764895002850309,-0.11265192787422551,0.17301683214290797,-0.0020966813824311314,0.21382556383006918,003520
3,삼성정밀화학,2024,Q1,에너지_화학,-0.04371608806883931,7.35916281874224,-7.687063290493568,0.44149408974528837,-0.11265192787422551,0.07775938372193236,0.2912122847150327,0.001697904255601096,004000
3,효성,2024,Q1,에너지_화학,-0.014817480231190769,0.0029023718165204215,-1.4663864459120313,-1.2158898952453112,-0.11265192787422551,0.6138092319357691,0.0299357794284536,-0.0556806790551181,004800
3,SK케미칼,2024,Q1,에너지_화학,-0.03215266945102983,0.19976949309327918,2.4199623230350356,-6.776707505597457,-0.11265192787422551,0.169168852513492,0.0020998906646640947,-0.16396234951086583,006120
3,녹십자,2024,Q1,헬스케어,-0.09395144067091342,0.9198987307904416,-0.34067833240529966,-0.1344080493053723,-0.11265192787422551,-0.12755960968830438,-0.009613802812131533,0.3450960910556526,006280
3,대한유화,2024,Q1,에너지_화학,-0.010071990347319214,-0.7253855061162535,0.013498948289148993,0.42906721837430095,-0.11265192787422551,0.17814403606830043,-0.02309899347879929,-0.24574289342284705,006650
3,일양약품,2024,Q1,헬스케어,-0.05179431666068886,0.0042039658672137215,-1.1890905779980305,-0.7595770607239202,-0.11265192787422551,0.07417090412099192,0.005488965123845224,0.12407645988741686,007570
3,국도화학,2024,Q1,에너지_화학,-0.08116796739568813,0.17449723071841605,0.32784465066973056,-0.06067812688220364,-0.11265192787422551,0.20140188634499068,0.02585057788610512,-0.07591624120182862,007690
3,서흥,2024,Q1,헬스케어,-0.0072312532263483715,-0.1433195900299995,-4.396864172179802,3.3851526391208715,-0.11265192787422551,0.026002342968617365,0.009378928601827763,-0.16301616890588347,008490
3,광동제약,2024,Q1,헬스케어,-0.06094678622268626,-0.004617182163552447,1.760716490066074,4.281736892097455,-0.11265192787422551,0.05957270570979878,0.014832244237077186,-0.03642188886279837,009290
3,한화케미칼,2024,Q1,에너지_화학,0.02240288086990374,-0.04306915557454072,-0.9109963383326791,-0.7554899908748302,-0.11265192787422551,0.2641345920072544,0.03094854055466234,-0.04264879492101605,009830
