,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,법인세차감전 순이익 변화율,유동부채 변화율,Label,Code
11,CJ대한통운,2022,Q1,산업재,0.020972223829352588,0.0006098864316907981,0.01653411344010669,0.007389135974415595,-0.445338565022507,4.466152660438958,0.03129479639661947,0.02343612097174363,000120
11,두산,2022,Q1,산업재,-0.2643159535326171,0.07040648845748398,-0.0007861059317445518,-0.003688978534823195,-1.544819098530279,-1.3358006671509133,-0.21842267981194363,0.06110258333314108,000150
11,SK하이닉스,2022,Q1,정보기술,-0.03328729167223377,0.027092634963751472,0.026044259661097025,0.01894021435736226,-0.278484797568037,-0.36001934645264655,0.12993502152431358,-0.1278198900582863,000660
11,LG상사,2022,Q1,산업재,0.2859988574797939,0.054700403477110804,0.1074373787663927,0.05798969977837087,-0.17864490757158602,0.727542518078327,-0.06304528876078941,-0.020619585210161863,001120
11,대한항공,2022,Q1,산업재,0.03388881178450802,-0.004362880069243569,0.018618670544577,0.07775984271711134,0.1192473792339892,0.2926316429645286,-0.026740219209733795,-0.05682996607649239,003490
11,LG,2022,Q1,정보기술,0.0503284681564553,-0.002761352239980752,0.056957683001604975,0.01214706463383508,12.436209898035315,-4.475915432818252,2.3448139746925523,0.1768203448903187,003550
11,S&T중공업,2022,Q1,산업재,0.16440219473170126,0.04971025308253352,-0.016445353097042426,-0.0038120023268932712,-0.7442489213547215,-10.271418537618302,-0.04036254192461308,0.07463939620829756,003570
11,한솔테크닉스,2022,Q1,정보기술,0.01434855373439544,0.5394882294298202,0.18497852310337204,-0.028308793855448378,-0.6087630524010574,-2.617046888007035,0.31553618122188265,0.030438232365177134,004710
11,삼성전자,2022,Q1,정보기술,-0.025904092146787114,0.0018541185192273435,0.032821294724592054,0.02630539794117137,-0.010372251588521397,-0.09655760968942295,0.0703347030844963,-0.05267791641122129,005930
11,LS,2022,Q1,산업재,0.2003284681564553,0.006544825028329537,0.0302787737084238,0.021311978778530527,0.3890449751376903,0.512830819087335,0.23455599425339324,0.10199314310659517,006260
11,삼성SDI,2022,Q1,정보기술,0.19983613894332136,0.01723471229456952,0.06153423061109087,0.01869778762120733,1.1595879719239761,0.36457821575080285,0.13289174408441173,0.09196004961303578,006400
11,대덕전자,2022,Q1,정보기술,0.07747972955829592,1.0534235635129008e-05,0.01347288795384638,-0.0052841999536908935,-64.93142949475742,-9.056853649462136,6.5781956411626155,-0.08274954758279959,008060
11,삼성전기,2022,Q1,정보기술,0.05998515680479504,0.007446569074092357,0.016136473643544536,0.016941313171535466,-0.13750744065810683,0.011601738464496858,-0.007076425885877646,-0.10154910815405696,009150
11,LS산전,2022,Q1,산업재,0.11944724005258425,0.0014431137590427134,0.04009178726436935,-0.003417554604181916,-0.1899748804082324,-0.29242820223253496,-0.024023756491507786,0.2320632259623455,010120
11,LG이노텍,2022,Q1,정보기술,0.10020116879601272,0.017704334979506076,0.037889897371071735,0.0675330660383473,-0.06782480978864691,0.22383153625355745,-0.08439391988942568,0.08099068262893837,011070
11,현대상선,2022,Q1,산업재,-0.02300910138938067,0.22635392288065992,0.19900432638481114,0.29338962458158657,0.15956080718517662,0.13147472775837277,0.2133905160856,-0.15884063555464187,011200
11,삼성에스디에스,2022,Q1,정보기술,0.0778965107817228,-4.64228996263083e-05,0.004339285584294972,-0.012198084698512357,3.34424394575717,2.857929465827675,0.12509055676292768,-0.025708390741865213,018260
11,일진머티리얼즈,2022,Q1,정보기술,-0.03480063600938476,0.2353924325361556,-0.007917133850437796,-0.009566566194394333,0.9850344398836122,1.536345305383363,0.07121018825973491,-0.00751503343278969,020150
11,한국단자,2022,Q1,산업재,0.17786804081004914,0.015761808030653413,0.025882443985186354,0.005073273577945736,-0.5465501288091466,0.196347396939343,0.11422915411346879,-0.08217714884401714,025540
11,신도리코,2022,Q1,정보기술,0.0295041623893744,-0.004073921363192845,0.004218670029443983,-0.01608613112194346,-42.34065166137166,0.9720006149122564,0.30285490426504236,0.03180505437044102,029530
11,LG디스플레이,2022,Q1,정보기술,-0.042754311285258195,0.0054635098275750416,-0.0043861681554883125,-0.03765431298364774,-3.5073002363138954,1.8554125044230925,0.048695148646255015,-0.0015189993040186575,034220
11,SK,2022,Q1,정보기술,0.07974023286233765,0.0456916804065135,0.03367255178064421,0.023536257451343356,2.1795118906161877,0.9976643309976643,0.060681430533393366,-0.020553392483418677,034730
11,한미반도체,2022,Q1,정보기술,-0.126959427185354,0.011795024245350172,-0.05271731573021299,-0.034384740685454496,-0.41249973595477707,-0.32089299760215073,-0.14307731786030342,-0.07012123586569505,042700
11,대우인터내셔널,2022,Q1,산업재,0.111086237738412,0.17873001588923332,0.17092506288147336,-0.0026949886947285062,0.5269223087769128,2.626865479947891,0.24260938627916162,0.07333231369944908,047050
11,한국항공우주,2022,Q1,산업재,0.2239117087114364,-0.01476422358904872,0.03110067434364283,0.015862986411254054,-5.047248121207438,-1.7832604808765922,0.059335593846260304,0.20520050444633672,047810
11,한전KPS,2022,Q1,산업재,-0.0817470035416579,0.04027613178550471,0.03170448441494611,-0.018039280748624265,11.810724993141912,26.633848735879134,0.2735474475427775,0.17835880642878021,051600
11,LG전자,2022,Q1,정보기술,-0.11011471494634989,-0.02858998463566309,0.012279105388057099,0.0910678040168702,0.41346043636462526,0.6837512736193001,-0.006318198884626591,-0.023240817189192013,066570
11,현대글로비스,2022,Q1,산업재,0.2762352845826353,0.036944962794405845,0.10294727889561361,0.02478522933842764,0.30187703647422537,0.3920353892277073,0.2289871836074906,-0.04074932541132024,086280
