,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,기초 소유주식 지분율 변화율,보유 주식 수 변화율,기말 소유주식 지분율 변화율,국제유가 변화율,실업률 변화율,Label,Code
17,대림산업,2020,Q3,건설,-0.07609556676934505,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,-0.21579301763586795,000210
17,현대건설,2020,Q3,건설,-0.14513875665797915,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,0.06994546045774855,000720
17,KCC,2020,Q3,건설,-0.03250576077415952,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,0.02498041641653362,002380
17,한일시멘트,2020,Q3,건설,0.045629762082060786,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,-0.14547281365007764,003300
17,아이에스동서,2020,Q3,건설,-0.12229701417335292,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,0.025096669850702996,010780
17,현대산업,2020,Q3,건설,-0.10249179851413553,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,-0.1878153767473577,012630
17,삼성엔지니어링,2020,Q3,건설,-0.09090921381618286,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,-0.08195998672991425,028050
17,대우건설,2020,Q3,건설,-0.02698955444961175,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,0.5392166771579858,047040
17,한전기술,2020,Q3,건설,-0.08128753115102193,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,0.0406233475769224,052690
17,LG하우시스,2020,Q3,건설,0.019354056663425337,29.267844017171594,0.0,0.0,0.0,0.464159945473134,-0.032258064516129115,-0.0677625482199529,108670
