,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,기초 소유주식 지분율 변화율,보유 주식 수 변화율,기말 소유주식 지분율 변화율,국제유가 변화율,실업률 변화율,Label,Code
24,대림산업,2018,Q4,건설,0.15289343413165826,0.1528942253920036,0.10871212121212115,0.009216728201022706,0.16666666666666674,-0.09983604378074207,-0.08800000000000008,0.031190648148935907,000210
24,현대건설,2018,Q4,건설,0.00930155204081681,0.1528942253920036,-0.1428571428571429,0.002505232881621078,-0.1428571428571429,-0.09983604378074207,-0.08800000000000008,-0.10244162031818234,000720
24,KCC,2018,Q4,건설,0.12485004804490175,0.1528942253920036,-0.12929188255613122,-0.04695826620486332,-0.12461300309597523,-0.09983604378074207,-0.08800000000000008,-0.09080695233403643,002380
24,한일시멘트,2018,Q4,건설,-0.182706499966927,0.1528942253920036,0.24133303511518678,-0.2760614905711196,0.7090594594594597,-0.09983604378074207,-0.08800000000000008,0.024509004621148557,003300
24,아이에스동서,2018,Q4,건설,0.033426551851878136,0.1528942253920036,-0.1697080291970804,-0.014723806741582357,-0.16437728937728935,-0.09983604378074207,-0.08800000000000008,0.10699960901726535,010780
24,현대산업,2018,Q4,건설,0.09903370954224197,0.1528942253920036,0.0,0.12682609093765507,0.9337641357027462,-0.09983604378074207,-0.08800000000000008,-0.14407596700411174,012630
24,삼성엔지니어링,2018,Q4,건설,-0.12865943742882008,0.1528942253920036,0.0009760858955587537,0.023755321239504523,0.005363237445148661,-0.09983604378074207,-0.08800000000000008,0.05087150837241035,028050
24,대우건설,2018,Q4,건설,0.03716613569969823,0.1528942253920036,1.0,0.09899560635524751,1.0,-0.09983604378074207,-0.08800000000000008,-0.008947780520825822,047040
24,한전기술,2018,Q4,건설,0.17745031470273542,0.1528942253920036,-0.33333333333333337,-0.054207328107907626,-0.33333333333333337,-0.09983604378074207,-0.08800000000000008,-0.027947581178654993,052690
24,LG하우시스,2018,Q4,건설,0.1763848274433496,0.1528942253920036,-0.4015920398009949,0.07449023547743794,-0.40119402985074626,-0.09983604378074207,-0.08800000000000008,-0.03738371466542138,108670
