,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,기초 소유주식 지분율 변화율,보유 주식 수 변화율,기말 소유주식 지분율 변화율,국제유가 변화율,실업률 변화율,Label,Code
3,대림산업,2024,Q1,건설,0.19593208434489187,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,-0.1396906751773595,000210
3,현대건설,2024,Q1,건설,0.02291629786982935,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,-0.07875553631097454,000720
3,KCC,2024,Q1,건설,0.051540357294991165,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.05712589386307248,002380
3,한일시멘트,2024,Q1,건설,0.0036376256681529134,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.06061801666025786,003300
3,아이에스동서,2024,Q1,건설,-0.0849487611176174,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,-0.12215167583464032,010780
3,현대산업,2024,Q1,건설,0.0010302159545788163,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.27792194937223785,012630
3,삼성엔지니어링,2024,Q1,건설,-0.08839322593969445,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.09319564257022667,028050
3,대우건설,2024,Q1,건설,-0.023628310586827166,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.08659096356794599,047040
3,한전기술,2024,Q1,건설,-0.014219517188989944,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,0.06686904209093875,052690
3,LG하우시스,2024,Q1,건설,0.14154404147969166,-0.11265192787422551,0.0,0.0,0.0,-0.008599753155233536,-0.011764705882352788,-0.045777527456557485,108670
