,name,year,quarter,sector,Relative Return,이익잉여금 변화율,영업이익 변화율,자산총계 변화율,자본총계 변화율,비유동자산 변화율,비유동부채 변화율,Label,Code
5,대림산업,2023,Q3,건설,0.2218111008433589,-0.0003100934171623715,-0.5264353908541461,0.0040830494857624355,-0.0005416809406367795,-0.0005905265150185635,-0.07098992406158755,-0.15609689068941437,000210
5,현대건설,2023,Q3,건설,0.034736884736884716,0.020532300373466095,0.04303602388749761,0.019145097587559112,0.021048134464636714,-0.017648932101706594,0.1205083242367384,-0.15828329584792822,000720
5,KCC,2023,Q3,건설,0.18342528553796159,0.019347677721209156,0.12926194766884125,0.007762535753260247,0.018026933754111907,0.0015873316166086227,-0.004017957292956731,0.023524832476839577,002380
5,한일시멘트,2023,Q3,건설,0.08271480294657499,0.0009234654230698691,0.8659530995685862,0.005756892149081816,0.0035944044106117623,-0.009962858018005338,-0.040162784990625644,0.03804570950805011,003300
5,현대중공업,2023,Q3,중공업,-0.14798587932518886,0.015803688779565173,1.6441175272707524,0.02406386937083882,0.022416459494093655,0.027674842798745214,-0.04941497562298036,0.1893023454522152,009540
5,삼성중공업,2023,Q3,중공업,-0.1751641931331243,-0.011174575388524066,0.041880727445966714,0.10881945691423422,0.044848475501831686,-0.00797476543303266,-0.3194615120565423,0.01823121812080361,010140
5,현대미포조선,2023,Q3,중공업,-0.20173531899048228,0.005822317763642726,-0.8197270344191853,0.01303032657769121,0.004253701249808284,0.016840279058923713,0.28663709940143556,-0.22658134178314868,010620
5,아이에스동서,2023,Q3,건설,-0.08898487636805394,0.02475971528330212,-0.2253404852184111,0.06110513508521698,0.017819896023402393,0.002928723043643444,-0.12631444498651656,-0.07860744815683732,010780
5,한화테크윈,2023,Q3,중공업,0.14499271349019355,-0.03703072317741973,2.1646361777195375,0.04143933156192814,-0.027658888009005955,0.037956919612539775,0.1482575627449052,0.3273648132583421,012450
5,현대산업,2023,Q3,건설,0.12857257813764267,0.0026317401479309943,0.8556654684057996,0.003599837326156541,0.003819514506390398,-0.011170366615043892,-0.22018222016269784,0.1477098837447005,012630
5,현대엘리베이,2023,Q3,중공업,0.10904720232753652,0.03247084018688495,0.4500317744369844,0.03829025393550656,-0.009320098111323838,0.021111727725169338,0.20447075225118527,-0.25861080503405154,017800
5,삼성엔지니어링,2023,Q3,건설,-0.29408906514169675,0.08507267816515318,-0.0773988115710581,-0.08908001720032654,0.04693109479085322,-0.013519913380888648,-0.2319582143025377,-0.028978541419449444,028050
5,두산중공업,2023,Q3,중공업,-0.13384837615606848,-0.14702885447489666,-0.4612519639332481,-0.024394116694735457,-0.004329754925813223,-0.00016859910538524758,0.10426092755742866,0.195240635048068,034020
5,대우조선해양,2023,Q3,중공업,-0.4006493987832226,-0.06437533834429643,-1.3710339630398634,-0.044326403451250274,0.09832390314589778,0.002782813859010025,-0.010460639153425766,-0.04602264782318254,042660
5,두산인프라코어,2023,Q3,중공업,-0.29101872460617517,0.054162848573296785,-0.3315067470564532,0.003879530662186159,0.03481422267762424,0.00014923076909445498,-0.2781061580315155,0.022850825190454768,042670
5,대우건설,2023,Q3,건설,-0.06295348459527567,0.08021829349498,0.10578265691887045,-0.020379018015893147,0.02609785286800337,-0.008681316915268189,-0.03774742421915589,-0.19678400145945252,047040
5,한전기술,2023,Q3,건설,-0.19749508046590675,0.012630302814719885,-0.5473551076709027,-0.052105518414525376,0.012700632838660963,-0.01188251961580622,0.020312070663261572,0.13818485055270086,052690
5,현대로템,2023,Q3,중공업,-0.12349491727482162,0.213670176628459,-0.3879378828945229,0.0008180148539218557,0.029796451930740098,-0.004351926658800909,-0.4193269617440635,0.1508473545029226,064350
5,두산엔진,2023,Q3,중공업,-0.24622421192818306,0.02007341208721436,-0.6878104011067431,0.08116816238694291,-0.007592040804684674,0.05223383954459626,0.024362841263524393,0.12567307683304893,082740
5,한진중공업,2023,Q3,중공업,-0.06081120600176866,0.002550461617670363,-0.4571626040032962,0.0694328657848069,-0.013660841419328551,-0.060630115579693666,0.8390530816140518,-0.20660987752872714,097230
5,LG하우시스,2023,Q3,건설,-0.16240975737543248,0.30870513042832015,-0.3034923117018504,0.05023560862660292,0.0338045548721182,-0.046446754544341995,-0.13610668012721794,-0.13188981158751095,108670
