,name,year,quarter,sector,Relative Return,이익잉여금 변화율,영업이익 변화율,자산총계 변화율,자본총계 변화율,비유동자산 변화율,비유동부채 변화율,Label,Code
25,대림산업,2018,Q3,건설,0.10832945931949682,0.0954106636885157,0.05421065651469781,-0.038148726136281175,0.07999514816562536,0.005461379407374123,-0.12935115221113647,0.15289343413165826,000210
25,현대건설,2018,Q3,건설,-0.060928753437617986,0.008337607418246407,-0.17589990770177422,-0.030345776538366787,-0.003315454539227214,-0.05421040638977426,-0.030474606318600106,0.00930155204081681,000720
25,KCC,2018,Q3,건설,-0.1296050422332642,0.06113559254257672,-0.041605592623785936,0.036905129570504513,0.05616902516580091,0.043661220529586764,0.06386701103660775,0.12485004804490175,002380
25,한일시멘트,2018,Q3,건설,-0.2000711357221891,0.26217431510834666,-0.7367839694773692,-0.5612127733432511,1.555765148322381,0.057376852927256916,0.0005683522479111858,-0.182706499966927,003300
25,현대중공업,2018,Q3,중공업,0.3062073080562547,-0.00011146621582314165,-1.425843701477364,-0.013753975330591195,-0.0002056064614960329,-0.01573503553007527,-0.04861370313585067,-0.11371797594043706,009540
25,삼성중공업,2018,Q3,중공업,0.23118891217693166,-0.027063170833706574,0.08102517430209266,-0.01963947567881641,-0.012227767347028018,-0.017571575226644764,0.005891354673098981,0.10917394975537703,010140
25,현대미포조선,2018,Q3,중공업,0.1233516403864606,0.02021375822497995,0.1507124768378636,-0.047621055948287916,0.016631224173055292,-0.1348432138763499,-0.015198304577723087,0.18480418478697624,010620
25,아이에스동서,2018,Q3,건설,-0.0011112333954137188,0.01208029080713402,-0.9426326290767523,-0.04705277103256145,0.007436638501780335,0.028283959761657762,0.8218164250166198,0.033426551851878136,010780
25,한화테크윈,2018,Q3,중공업,0.534406571535166,0.0765107598012762,-0.24547709171073007,-0.014154180455891341,-0.010043088810432255,-0.08884747916086233,-0.08458002243116614,0.02421419284030474,012450
25,현대산업,2018,Q3,건설,-0.24677706086944673,-0.0011285300724703795,-3.5664978925082567,0.5313920630930966,0.5817769650291573,0.6340944090445821,0.25103924674325917,0.09903370954224197,012630
25,현대엘리베이,2018,Q3,중공업,-0.07025630912854537,0.023947205355936863,0.3643338767232005,0.021019232087146733,0.006118199969906479,0.07261474993149442,-0.0853250537983643,0.010336102474942824,017800
25,삼성엔지니어링,2018,Q3,건설,0.17281523017777195,-0.9287917657304654,0.9013071862734343,-0.03943623244048411,0.10413482069463553,-0.051393658818864485,-0.33546964125477885,-0.12865943742882008,028050
25,두산중공업,2018,Q3,중공업,-0.1643069765132048,-0.010128420492854784,-0.9117113813691714,-0.018834114474992614,-0.005361223449519059,-0.026597992787534497,0.34654381025333447,-0.32287417734015567,034020
25,대우조선해양,2018,Q3,중공업,0.39167701399665333,0.7279065565892189,-0.34972432781813445,0.032320505763610896,0.040306143942872685,-0.018084500133698556,0.0006884544139216242,-0.2075419310637293,042660
25,두산인프라코어,2018,Q3,중공업,-0.07730299905924186,0.10717485613866451,-0.3944484221910224,0.02921962800689437,0.011517026002760167,-0.0009654524861737457,0.0054588918162961075,-0.18047095379706485,042670
25,대우건설,2018,Q3,건설,-0.040184176886632145,-0.33165036544938464,0.29041770111660203,-0.05060498160029958,0.025035875348615066,0.0008293371127536808,-0.009473639577732507,0.03716613569969823,047040
25,한전기술,2018,Q3,건설,0.00956350929381184,0.006669039052477954,20.393666940413933,-0.00936017693584057,0.006736207602187738,-0.011487295301967682,0.0640039437374087,0.17745031470273542,052690
25,현대로템,2018,Q3,중공업,-0.11820362023949994,-0.0583246707520475,-1.6631733559237034,0.030168161331064702,-0.02178644481429559,-0.005945580454603139,-0.04757572876457494,-0.010311527781692564,064350
25,두산엔진,2018,Q3,중공업,0.3435941696690654,-0.1937445340098033,0.3650255567835132,-0.1387999141334464,-0.025158002393217638,-0.015379287213843518,-0.09219706331493915,0.07121656273738207,082740
25,한진중공업,2018,Q3,중공업,-0.24054000229865058,0.04957734971144645,0.3144729005360334,-0.020969547070836758,-0.07762754370352942,-0.053595966234395886,0.19445872874885084,-0.39247138161461015,097230
25,LG하우시스,2018,Q3,건설,-0.21825607578212913,0.011522478277295134,-0.7551955212486217,0.04954323030272123,0.003920549463439782,0.012231157770824286,0.0627771481993995,0.1763848274433496,108670
