,name,sector,year,quarter,자본총계변화율,매출액변화율,이익잉여금변화율,Code
31,Kyungbang,Materials_&_Chemicals,2016,Q4,0.002178178783791229,-0.08836293544289497,0.0021947110680120563,000050
32,Chosun_Refractories,Materials_&_Chemicals,2016,Q4,-0.030559662433801815,0.0040120400693193226,-0.0162658941913012,000480
31,Youngpoong,Materials_&_Chemicals,2016,Q4,-0.003938833725357638,-0.17273065661911802,-0.0039462044052551715,000670
31,Dongkuk_Steel,Materials_&_Chemicals,2016,Q4,0.024041252724883555,-0.09099191754581115,0.055431784565136644,001230
31,SeAH_Besteel,Materials_&_Chemicals,2016,Q4,-0.011458986916975,-0.052401527568183504,-0.015248611007558699,001430
31,KIS_Wire,Materials_&_Chemicals,2016,Q4,-0.0058655059996324255,-0.12932866407562926,-0.005797279844001357,002240
31,KCC,Materials_&_Chemicals,2016,Q4,0.0474361893502272,-0.09676041035380378,0.0007441986588236915,002380
31,SeAH_Steel,Materials_&_Chemicals,2016,Q4,0.006537310732305901,-0.2470862567498182,0.0072307915758352825,003030
31,Ilshin_Spinning,Materials_&_Chemicals,2016,Q4,-0.008806276179756267,0.0024990735167219613,-0.008369385395650575,003200
31,Hanil_Cement,Materials_&_Chemicals,2016,Q4,-0.04629759129273414,-0.08379066771164778,-0.05240102062076257,003300
31,Ssangyong_Cement,Materials_&_Chemicals,2016,Q4,-0.02432270775472789,-0.15103516837112685,-0.14314873459513922,003410
31,Samsung_Fine Chemicals,Materials_&_Chemicals,2016,Q4,-0.0030833804636565265,0.13150000148683805,-0.01819042408435778,004000
31,Hyundai_Steel,Materials_&_Chemicals,2016,Q4,-0.006075580076098763,-0.1550476651594448,-0.014277709254098214,004020
31,POSCO_Holdings,Materials_&_Chemicals,2016,Q4,-0.011498461190453169,-0.054884459210046366,-0.009765042998288509,005490
32,Korea_Petrochemical_Ind,Materials_&_Chemicals,2016,Q4,-0.07080957974786739,-0.21180776890937603,-0.0957836441215334,006650
32,Kukdo_Chemical,Materials_&_Chemicals,2016,Q4,-0.0068964169739573755,0.05449131022459541,-0.007415536268364775,007690
31,Moorim_P&P,Materials_&_Chemicals,2016,Q4,0.016994354175033366,-0.05238954505931259,0.03454349538767354,009580
31,Hanwha_Solutions,Materials_&_Chemicals,2016,Q4,-0.020711407009925464,-0.0884873402874613,-0.02067036543324563,009830
31,OCI,Materials_&_Chemicals,2016,Q4,-0.03637040468464181,-0.20851831810391142,-0.057352355119914655,010060
31,Korea_Zinc,Materials_&_Chemicals,2016,Q4,-0.029897096290615766,-0.09743861178173674,-0.030541135191520352,010130
31,Lotte_Chemical,Materials_&_Chemicals,2016,Q4,-0.0478858318501072,-0.11828865073547412,-0.0534096564296882,011170
31,Kumho_Petrochemical,Materials_&_Chemicals,2016,Q4,0.02972056426350067,-0.13476711760031668,0.042584684938301365,011780
31,SKC,Materials_&_Chemicals,2016,Q4,0.022397598374043537,0.08005396693869016,-0.003935633384672732,011790
32,Hansol_Chemical,Materials_&_Chemicals,2016,Q4,-0.02724161866337349,0.04410018859611575,-0.04389887039556961,014680
31,Iljin_Materials,Materials_&_Chemicals,2016,Q4,-0.053386918468912414,0.020712825470277862,-0.25531750924784213,020150
31,Namhae_Chemical,Materials_&_Chemicals,2016,Q4,0.015310619379166557,-0.9296610357598822,0.01952827212309316,025860
31,LG_Chem,Materials_&_Chemicals,2016,Q4,-0.020547518322793,-0.08810065646976084,-0.023480936031981203,051910
31,Huchems,Materials_&_Chemicals,2016,Q4,-0.0008847897263410953,0.011129936377243466,0.00464731580504818,069260
31,Huvis,Materials_&_Chemicals,2016,Q4,-0.37375351666358836,0.441307320163829,-5.636886399283685,093370
31,Poongsan,Materials_&_Chemicals,2016,Q4,0.015324534466947703,-0.25191609977938256,0.05180458230385965,103140
31,Korea_Steel,Materials_&_Chemicals,2016,Q4,-0.010934955326329376,-0.11336845647129556,-0.05124966156687605,104700
31,LG_Hausys,Materials_&_Chemicals,2016,Q4,-0.017624607943165893,-0.07548645773668272,-0.12444847009979054,108670
31,Kolon_Industries,Materials_&_Chemicals,2016,Q4,-0.014793157365532217,-0.18985523128032167,-0.03039252243844781,120110
