Variable,VIF
const,1.258197688531403
F_유동자산 변화율,3.4452001260968657
F_비유동자산 변화율,2.251094089987328
F_자산총계 변화율,6.425979451706215
F_유동부채 변화율,4.729524667646087
F_비유동부채 변화율,1.5853528203975802
F_부채총계 변화율,5.96486131512128
F_이익잉여금 변화율,1.155061514272439
F_자본총계 변화율,1.255035077287789
F_매출액 변화율,1.313872733760042
F_영업이익 변화율,1.0877479712102212
F_법인세차감전 순이익 변화율,886.7702106315409
F_당기순이익 변화율,inf
F_당기순이익(손실) 변화율,inf
M_소비자물가지수 변화율,1.4896237369937433
M_환율 변화율,34.72145349267523
M_GDP 변화율,95.08176116769343
M_금리 변화율,3.246302816124519
M_수출액 변화율,18.398575352527487
M_실업률 변화율,5.924349164618852
M_국제유가 변화율,4.886615757733909
M_주택가격 변화율,74.95553931892704
Relative Return,1.1472689872160653
