,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,1인평균급여 변화율,보유 주식 수 변화율,국제유가 변화율,기초 소유주식 지분율 변화율,Label,Code
4,경방,2023,Q4,경기소비재,-0.06536116314323508,0.00757180156657955,0.0,0.016680986269392184,-0.053911181435313926,-0.03388722209400741,0.0584998762754545,-0.10878884492008238,000050
4,한국타이어월드와이드,2023,Q4,경기소비재,0.034485011002909904,0.00757180156657955,0.0,0.08996539792387548,-0.20031094307456365,-0.03388722209400741,-0.004279994477426552,-0.08591958436319505,000240
4,기아차,2023,Q4,경기소비재,0.5421023299411623,0.00757180156657955,0.18244789023602337,0.14356435643564347,-0.004961488722627916,-0.03388722209400741,0.0,-0.1401535190996598,000270
4,SK네트웍스,2023,Q4,경기소비재,0.004194578508096722,0.00757180156657955,0.0,-0.014028513654665398,0.0,-0.03388722209400741,-0.2814261261637374,-0.2159909261683488,001740
4,넥센타이어,2023,Q4,경기소비재,-0.0604559493638817,0.00757180156657955,0.0,-0.0691176470588235,-0.191357807456073,-0.03388722209400741,0.010455563853622118,-0.027219072914569806,002350
4,일신방직,2023,Q4,경기소비재,-0.05024642351393234,0.00757180156657955,0.0,0.07195098087177731,9.0,-0.03388722209400741,0.0005972526378656973,-0.04609063520141231,003200
4,쌍용차,2023,Q4,경기소비재,-0.03968703890399624,0.00757180156657955,0.0,0.042553191489361764,0.1461183343178334,-0.03388722209400741,0.0,-0.28141137809411815,003620
4,한솔홀딩스,2023,Q4,경기소비재,0.01571117054234447,0.00757180156657955,0.0,-0.02941176470588236,-0.029596064552052104,-0.03388722209400741,0.07395179927368778,-0.11212239306554904,004150
4,신세계,2023,Q4,경기소비재,-0.1313811011295,0.00757180156657955,0.0,0.125,-0.07240115272511405,-0.03388722209400741,0.33286664333216653,0.017770747728767536,004170
4,세방전지,2023,Q4,경기소비재,0.36977242575198865,0.00757180156657955,0.0,0.06382082426455105,0.4777689602263846,-0.03388722209400741,0.23106544478385627,0.4007713733267313,004490
4,조광피혁,2023,Q4,경기소비재,-0.05089445165686884,0.00757180156657955,0.0,0.29268292682926833,-0.037557900335867256,-0.03388722209400741,0.0,-0.05251658889123406,004700
4,현대차,2023,Q4,경기소비재,0.2734972278669586,0.00757180156657955,0.0,0.1333333333333333,-0.0037487909378368656,-0.03388722209400741,-0.07692307692307698,-0.009406230730933338,005380
4,에스엘,2023,Q4,경기소비재,0.006456914060957136,0.00757180156657955,0.0,0.13207547169811318,0.032427781135927036,-0.03388722209400741,0.036023054755043304,-0.03461302608610922,005850
4,동아타이어,2023,Q4,경기소비재,0.03251053802867514,0.00757180156657955,0.0,-0.0028035566287742952,-0.1227763898291564,-0.03388722209400741,-0.007024390243902334,0.014087573516147707,007340
4,서연,2023,Q4,경기소비재,0.5346106457624004,0.00757180156657955,0.0,0.02051282051282044,0.012761021650776305,-0.03388722209400741,0.0,-0.20480535678798745,007860
4,호텔신라,2023,Q4,경기소비재,-0.19203755714336204,0.00757180156657955,0.0,-0.00917431192660545,0.0043903581906801215,-0.03388722209400741,0.00588235294117645,-0.04357529876882611,008770
4,한샘,2023,Q4,경기소비재,-0.03923797918023775,0.00757180156657955,0.0,0.016483516483516425,-0.16407597969352672,-0.03388722209400741,53.34615384615385,0.286103432571834,009240
