,name,year,quarter,sector,Relative Return,금리 변화율,자본금 변화율,1인평균급여 변화율,보유 주식 수 변화율,국제유가 변화율,기초 소유주식 지분율 변화율,Label,Code
8,경방,2022,Q4,경기소비재,-0.015779626136757832,0.11445954938682568,0.0,0.18999575600910523,-0.14542370064392685,-0.12070563315019511,0.08990120130234636,-0.05075163065633926,000050
8,한국타이어월드와이드,2022,Q4,경기소비재,-0.05457576397169826,0.11445954938682568,0.0,0.07037037037037042,-0.041157936460311406,-0.12070563315019511,-0.5001380262249828,0.04704054396149173,000240
8,기아차,2022,Q4,경기소비재,0.16996704520573117,0.11445954938682568,-0.05790542228734563,0.11602209944751385,-0.01309028350349517,-0.12070563315019511,0.0,0.11084148040708677,000270
8,SK네트웍스,2022,Q4,경기소비재,0.039444218410868585,0.11445954938682568,0.0,-0.1128894168013701,0.0,-0.12070563315019511,-0.1285254824344383,0.025948287350597267,001740
8,넥센타이어,2022,Q4,경기소비재,0.05304448707738941,0.11445954938682568,0.0,0.2056737588652482,-0.9990412348773965,-0.12070563315019511,0.0,0.14645767932000284,002350
8,일신방직,2022,Q4,경기소비재,0.2541788765844919,0.11445954938682568,0.0,-0.11567289284980364,0.00011350974008150772,-0.12070563315019511,-0.008879242304656754,-0.06536431941289537,003200
8,쌍용차,2022,Q4,경기소비재,0.0,0.11445954938682568,0.5821716403987245,0.38235294117647056,0.06597485832131067,-0.12070563315019511,-1.0,0.0,003620
8,한솔홀딩스,2022,Q4,경기소비재,0.01577219283522478,0.11445954938682568,0.0,0.11214953271028039,-0.03391132690408161,-0.12070563315019511,0.0,-0.057138712873934336,004150
8,신세계,2022,Q4,경기소비재,-0.004501769986062963,0.11445954938682568,0.0,0.10526315789473695,0.05922174258385482,-0.12070563315019511,-0.25,-0.05916883963494138,004170
8,세방전지,2022,Q4,경기소비재,0.23811265633220116,0.11445954938682568,0.0,0.0018067760696685031,-0.2903946501046403,-0.12070563315019511,-0.1245786178666024,0.030740159975824806,004490
8,조광피혁,2022,Q4,경기소비재,0.017470721292549653,0.11445954938682568,0.0,0.0,0.004773578908797926,-0.12070563315019511,0.0,-0.01757296417821786,004700
8,현대차,2022,Q4,경기소비재,0.03507395094661494,0.11445954938682568,0.0,0.11428571428571432,-0.03154254435535986,-0.12070563315019511,-0.16666666666666663,0.1625501261126868,005380
8,에스엘,2022,Q4,경기소비재,-0.20658044446095197,0.11445954938682568,0.0,0.02316602316602312,0.017068345075923697,-0.12070563315019511,-0.016223027248385535,0.2625216443275829,005850
8,동아타이어,2022,Q4,경기소비재,0.1420023270632949,0.11445954938682568,0.0,0.24514912537743183,0.06689005276611648,-0.12070563315019511,-0.16666666666666674,-0.010042012977869802,007340
8,서연,2022,Q4,경기소비재,0.4854545034186941,0.11445954938682568,0.0,0.32237457785734636,0.003827805965167075,-0.12070563315019511,0.0,0.1357405586895126,007860
8,호텔신라,2022,Q4,경기소비재,0.08616230172227207,0.11445954938682568,0.0,-0.05217391304347829,0.008201061243682028,-0.12070563315019511,-0.005847953216374213,0.027152477936989855,008770
8,한샘,2022,Q4,경기소비재,0.2280126134690762,0.11445954938682568,0.0,-0.1895674300254453,-0.02163585726663586,-0.12070563315019511,-0.9253368676827921,-0.09954028325980965,009240
8,모토닉,2022,Q4,경기소비재,0.1380744008389,0.11445954938682568,0.0,0.04924337168584292,-0.03807204909183082,-0.12070563315019511,0.0,-0.00043641934367581736,009680
8,화신,2022,Q4,경기소비재,0.16628078205642297,0.11445954938682568,0.0,0.22522522522522515,0.04116481282523332,-0.12070563315019511,0.0,0.33871152305409663,010690
8,현대위아,2022,Q4,경기소비재,-0.08536472003780006,0.11445954938682568,0.0,0.06331168831168821,0.0,-0.12070563315019511,0.0,0.04138724448866944,011210
8,현대모비스,2022,Q4,경기소비재,0.024720731635329344,0.11445954938682568,0.0,0.10465116279069764,-0.023477203410682046,-0.12070563315019511,0.005126561999359014,-0.004036470219109925,012330
8,에스원,2022,Q4,경기소비재,-0.11639364341564651,0.11445954938682568,0.0,0.05263157894736836,0.038401544191213555,-0.12070563315019511,0.0,-0.004050059905922039,012750
8,한온시스템,2022,Q4,경기소비재,0.05138460650563711,0.11445954938682568,0.0,0.12006885571597703,-0.0839270056899235,-0.12070563315019511,0.0,0.10636061757194201,018880
