,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,주택가격 변화율,비유동부채 변화율,자본총계 변화율,Label,Code
1,대림산업,2025,Q1,건설,0.07314760991824645,-0.07669212801374647,0.0005332573176113353,-0.658047914409831,0.3334745762711866,0.005726980860093933,0.0009530536615263152,-0.2009406261229107,000210
1,현대건설,2025,Q1,건설,0.3075960355769965,-0.07669212801374647,-0.00017958637635129282,-1.129524696882394,0.3334745762711866,-0.09166201675392482,0.0006180546273293341,0.23914400643540265,000720
1,KCC,2025,Q1,건설,-0.027784211793199426,-0.07669212801374647,0.06412546500417893,-0.12343682730935612,0.3334745762711866,0.22219093324439765,0.1763691528190212,0.18285375197441647,002380
1,한일시멘트,2025,Q1,건설,0.10185965656017876,-0.07669212801374647,0.06921552841469358,-57.03652035109698,0.3334745762711866,-0.04522574530565271,0.028074838592224927,-0.016384777276966245,003300
1,아이에스동서,2025,Q1,건설,0.1455777260177033,-0.07669212801374647,0.1698362765004191,1.6539046419012888,0.3334745762711866,0.3820613816164917,-0.01969423120846392,-0.2523634093721083,010780
1,현대산업,2025,Q1,건설,0.36941468678508876,-0.07669212801374647,0.0075084915172272115,4.844018974863033,0.3334745762711866,0.014711392071672602,0.011747723323866754,-0.10593604472677265,012630
1,삼성엔지니어링,2025,Q1,건설,0.002605501078265272,-0.07669212801374647,-0.03000248146058393,-0.6592327511343153,0.3334745762711866,-0.0373356781633557,-0.014606914723860775,0.10878384498371738,028050
1,대우건설,2025,Q1,건설,0.10130310503902713,-0.07669212801374647,0.02188537335588503,1.3545405648937265,0.3334745762711866,0.04393565429998758,0.006106475458531158,-0.21625093122117583,047040
1,한전기술,2025,Q1,건설,0.024897214279069383,-0.07669212801374647,0.03979579539126843,2.849270375007072,0.3334745762711866,0.028281018560641247,0.03998869324838039,0.32578592855259636,052690
1,LG하우시스,2025,Q1,건설,-0.032457887981861146,-0.07669212801374647,-0.1474587362757217,0.18901795142555433,0.3334745762711866,-0.2187804679883003,-0.01395494222113769,-0.2231426527508018,108670
