,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,비유동자산 변화율,영업이익 변화율,이익잉여금 변화율,부채총계 변화율,자산총계 변화율,Label,Code
2,대림산업,2024,Q2,건설,-0.1396906751773595,-0.110334699467731,-0.0016719761976460301,-0.1408770941064056,0.0004414926622158255,-0.14289834552690517,-0.021908791608291622,-0.13955218472851136,000210
2,현대건설,2024,Q2,건설,-0.07875553631097454,-0.110334699467731,0.037989151914656016,-0.20173636489342783,0.020975820109975896,0.07022825308212366,0.04991900837532026,0.030099223047776708,000720
2,KCC,2024,Q2,건설,0.05712589386307248,-0.110334699467731,0.020714717375258207,0.1581550140028134,0.0035699661962449447,0.025959854717018782,0.013125308212229125,-0.125567206032765,002380
2,한일시멘트,2024,Q2,건설,0.06061801666025786,-0.110334699467731,0.035877196884772866,-0.9902647645671444,0.00029859745331917154,-0.23062841631696362,-0.027801644434295447,0.11181229909402324,003300
2,아이에스동서,2024,Q2,건설,-0.12215167583464032,-0.110334699467731,0.008030559257473424,-0.2846597852429934,0.02439198914616103,-0.10837331083579871,-0.05336928757139159,-0.054445562463042774,010780
2,현대산업,2024,Q2,건설,0.27792194937223785,-0.110334699467731,-0.000773934143777244,-0.9331708551935858,0.0015795687499859934,-0.042935920722880105,-0.006213012243772353,0.21833401420676948,012630
2,삼성엔지니어링,2024,Q2,건설,0.09319564257022667,-0.110334699467731,0.04666673322979986,2.8857294644455087,0.35907256223336614,0.05836226429011959,0.12956548074877805,-0.24661466719811156,028050
2,대우건설,2024,Q2,건설,0.08659096356794599,-0.110334699467731,-0.03440173892673293,-0.5505132131281614,0.01009816110900874,-0.001398604194947195,0.00012176604263558488,-0.015186068815107978,047040
2,한전기술,2024,Q2,건설,0.06686904209093875,-0.110334699467731,-0.03572650977274283,0.4642855214000752,0.025479444379505667,0.09834749079640259,0.05430692133786419,0.0674806739653774,052690
2,LG하우시스,2024,Q2,건설,-0.045777527456557485,-0.110334699467731,-0.008054153971003175,0.1851143578367629,0.4255404261866298,-0.07840281843425889,-0.03788731197171635,-0.03945560527283001,108670
