,name,year,quarter,sector,Relative Return,매출액 변화율,소비자물가지수 변화율,이익잉여금 변화율,자본총계 변화율,국제유가 변화율,수출액 변화율,Label,Code
7,대림산업,2023,Q1,건설,-0.11473241338712198,4.259523079211761,-0.11353477832962133,0.012220418857342707,0.02256646130361628,-0.08337411073888668,-0.06497623491867566,-0.20777257239510422,000210
7,현대건설,2023,Q1,건설,0.04414312617702444,-0.01729184712159515,-0.11353477832962133,0.00843962804605547,0.024023976590170193,-0.08337411073888668,-0.06497623491867566,-0.13300168657771466,000720
7,KCC,2023,Q1,건설,-0.04391398905085796,-0.04645368327920463,-0.11353477832962133,0.0008976132768978573,0.0010878350200227427,-0.08337411073888668,-0.06497623491867566,-0.07029206557249212,002380
7,한일시멘트,2023,Q1,건설,-0.011799147529933125,-0.06496393089959174,-0.11353477832962133,0.0077095544006846595,0.017846765467375514,-0.08337411073888668,-0.06497623491867566,-0.0745508993809575,003300
7,아이에스동서,2023,Q1,건설,-0.1481796641342082,-0.011512145004196173,-0.11353477832962133,0.14235988383400855,0.10314021029465614,-0.08337411073888668,-0.06497623491867566,-0.1648916859685114,010780
7,현대산업,2023,Q1,건설,-0.07444094751314137,2.877202602129981,-0.11353477832962133,0.008224004114744776,0.009342238041155637,-0.08337411073888668,-0.06497623491867566,-0.14014061774942949,012630
7,삼성엔지니어링,2023,Q1,건설,0.07749482344260783,-0.1186475690746629,-0.11353477832962133,0.586391631026042,0.23462048488525622,-0.08337411073888668,-0.06497623491867566,0.22446642607790984,028050
7,대우건설,2023,Q1,건설,-0.030223112328398756,-0.09018522558669995,-0.11353477832962133,0.09928360939628966,0.0342861507551504,-0.08337411073888668,-0.06497623491867566,0.05478737777618199,047040
7,한전기술,2023,Q1,건설,-0.14834382949614142,-0.4419343066499697,-0.11353477832962133,-0.019035625105794596,-0.01911002024946129,-0.08337411073888668,-0.06497623491867566,0.029521178961284117,052690
7,LG하우시스,2023,Q1,건설,0.22373525003691946,-0.053530558840883424,-0.11353477832962133,0.07856796065269256,0.005602967936691572,-0.08337411073888668,-0.06497623491867566,0.15290346189240067,108670
