,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,주택가격 변화율,비유동부채 변화율,매출액 변화율,Label,Code
14,대림산업,2021,Q4,건설,0.009929913486960512,0.059353926997869566,-0.009170287232970531,0.07453537583599856,-0.043447786860528526,0.10401204579725531,0.6657415766444117,0.09399887592352676,000210
14,현대건설,2021,Q4,건설,-0.030313803192399735,0.059353926997869566,0.01863721533039575,-0.0009419853555265867,-0.043447786860528526,0.0379147986466426,0.264208675335603,-0.012439659086436825,000720
14,KCC,2021,Q4,건설,0.07462304577580489,0.059353926997869566,-0.0022566628465829908,-0.2102363722063837,-0.043447786860528526,0.11891414188587279,0.10411392878255032,0.09080602790309253,002380
14,한일시멘트,2021,Q4,건설,0.15521307629711684,0.059353926997869566,-0.001250353062719256,-0.47569231182425364,-0.043447786860528526,-0.006544187720160188,0.08221132697402789,-0.0049872399165216685,003300
14,아이에스동서,2021,Q4,건설,0.28323435552379694,0.059353926997869566,0.0637052241371503,3.0233106226828035,-0.043447786860528526,-0.213487314658117,1.4234848012453218,-0.07942029749564666,010780
14,현대산업,2021,Q4,건설,-0.20212768408787846,0.059353926997869566,0.008515488806431604,-0.05948781743272702,-0.043447786860528526,0.09453323921292767,0.1303957548853838,0.02776470717889776,012630
14,삼성엔지니어링,2021,Q4,건설,0.1500367047434264,0.059353926997869566,0.05507780101301929,-0.48927068005835506,-0.043447786860528526,-0.16520337744319735,0.4827240487450759,0.10968605070161062,028050
14,대우건설,2021,Q4,건설,0.16687821109099582,0.059353926997869566,0.18281012084347847,1.6275208743355738,-0.043447786860528526,-0.03245748061238962,0.19631501976151755,-0.019571544098506168,047040
14,한전기술,2021,Q4,건설,-0.11979923060838077,0.059353926997869566,0.03957903054726053,-3.012190599482866,-0.043447786860528526,-0.4835972262709479,1.1451337680033467,-0.04007571350820553,052690
14,LG하우시스,2021,Q4,건설,-0.0057960626645475605,0.059353926997869566,0.009414150191903836,-0.23069379749938712,-0.043447786860528526,-0.16562917084842788,0.10364509246088183,-0.10002469310004226,108670
