,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,영업이익 변화율,자산총계 변화율,자본총계 변화율,법인세차감전 순이익 변화율,실업률 변화율,Label,Code
27,대림산업,2018,Q1,건설,0.2129153988623319,-0.2528409114579355,-13.84514439158824,0.02469912574639932,0.003429469192212764,-2.4825904818393836,0.01834862385321112,-0.018774693966500014,000210
27,현대건설,2018,Q1,건설,0.6705387223024034,-0.2528409114579355,-0.14500206713656205,-0.0015998570495687758,-0.04303284172851807,-2.6207785691387793,0.01834862385321112,-0.11637786043398607,000720
27,KCC,2018,Q1,건설,0.12443459816796966,-0.2528409114579355,0.22967950008543347,0.06909449292513448,0.050848992555269756,-3.357758608033699,0.01834862385321112,-0.035773377730494466,002380
27,한일시멘트,2018,Q1,건설,0.6821430087532918,-0.2528409114579355,-0.8144357670792872,-0.03792290425471434,-0.01204944214633863,-1.3490170687087952,0.01834862385321112,-0.20600830892219196,003300
27,아이에스동서,2018,Q1,건설,0.03992921953393652,-0.2528409114579355,-0.581473303241111,0.14722260932889486,-0.17460180264765357,-0.3138195085394728,0.01834862385321112,0.07712530375400571,010780
27,현대산업,2018,Q1,건설,0.19995508195308825,-0.2528409114579355,-0.9825669705227119,0.06866703738477042,-0.9003645705830632,-0.8878318257186292,0.01834862385321112,0.0,012630
27,삼성엔지니어링,2018,Q1,건설,0.034477340035136195,-0.2528409114579355,-1.0417685348211976,0.015985637172158063,0.08972787300974838,-1.8948059989651056,0.01834862385321112,-0.0625116088235376,028050
27,대우건설,2018,Q1,건설,0.28179562188871515,-0.2528409114579355,-2.0054789052032547,0.06866144206627034,-0.059583136842037754,-1.6220778227992076,0.01834862385321112,-0.14720956152333123,047040
27,한전기술,2018,Q1,건설,0.23475502598554943,-0.2528409114579355,-0.9523051957022061,0.0568756698163877,-0.01954735549122788,-0.9389378992201616,0.01834862385321112,-0.39984559357520577,052690
27,LG하우시스,2018,Q1,건설,-0.014057198756545389,-0.2528409114579355,0.3929079566597351,0.13642297092459343,-0.016162805585604345,-1.4489879370271928,0.01834862385321112,-0.022239899240993025,108670
