,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,비유동부채 변화율,주택가격 변화율,자본총계 변화율,Label,Code
24,대림산업,2019,Q2,건설,0.03625771104643578,0.05545206692664095,0.011620136696281147,0.3025588469066365,-0.107194129916942,-0.42141771189661725,0.011124217700643202,-0.12059862893574436,000210
24,현대건설,2019,Q2,건설,-0.0772442790625539,0.05545206692664095,0.016660753379974746,0.05759641482042532,-0.0061472678011326165,-0.42141771189661725,0.017750961939028143,-0.035704372441128854,000720
24,KCC,2019,Q2,건설,-0.1411779606192035,0.05545206692664095,-0.021583996869031008,1.074512440957791,-0.02059036725172947,-0.42141771189661725,-0.019797643290889955,-0.0627374078954682,002380
24,한일시멘트,2019,Q2,건설,-0.08813786747095828,0.05545206692664095,0.008557792771527462,-1.042747079439251,-0.5450566361881002,-0.42141771189661725,0.017774687942512468,-0.03312599588747128,003300
24,아이에스동서,2019,Q2,건설,-0.040574088596179655,0.05545206692664095,0.02785550073099441,-0.5373157783277327,0.7018487864707972,-0.42141771189661725,0.022325116827000002,0.028257710820506723,010780
24,현대산업,2019,Q2,건설,-0.1477071614264826,0.05545206692664095,0.001705474545304897,-0.7530666683214442,-0.011860104487168344,-0.42141771189661725,0.00281492432868502,-0.15566204781602946,012630
24,삼성엔지니어링,2019,Q2,건설,-0.01486770834347749,0.05545206692664095,4.876805812830109,-0.13223257524543075,0.03854968756700816,-0.42141771189661725,0.03807119723666896,0.125318552108097,028050
24,대우건설,2019,Q2,건설,-0.13180586098415303,0.05545206692664095,-0.9640309499951016,-0.10911902351124525,0.11652619406170772,-0.42141771189661725,0.025028016485920457,0.09272467226276866,047040
24,한전기술,2019,Q2,건설,-0.14147094958272674,0.05545206692664095,0.00521433575131014,-0.2340779612682531,0.10523404018600102,-0.42141771189661725,0.005275123276315297,0.026967346164386577,052690
24,LG하우시스,2019,Q2,건설,0.12114368298706277,0.05545206692664095,0.09840041450320247,3.1202111024237684,-0.17203405690839269,-0.42141771189661725,0.028632753073461803,-0.08063372941421709,108670
