,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,비유동부채 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,자본총계 변화율,실업률 변화율,Label,Code
30,대림산업,2017,Q2,건설,0.06358837528771155,-0.1259798444991046,0.1381359229481698,0.0009652623904323754,-0.4261488097844426,0.002287779708479043,-0.00900900900900925,-0.11560459519957578,000210
30,현대건설,2017,Q2,건설,-0.1576694390258916,-0.1259798444991046,-0.05732587376051723,0.020234314661815356,2.0322912146886205,0.029436776443423796,-0.00900900900900925,-0.1900207477224205,000720
30,KCC,2017,Q2,건설,0.09648870505921951,-0.1259798444991046,-0.23700357306812225,0.016958080721845015,1.3516733866985233,0.09869279873997416,-0.00900900900900925,-0.09493906539262703,002380
30,한일시멘트,2017,Q2,건설,-0.09165227113750558,-0.1259798444991046,0.9937203036516606,0.027053006533685364,10.287782224498264,0.02958925185765593,-0.00900900900900925,0.07450946031834868,003300
30,아이에스동서,2017,Q2,건설,-0.14622369606157376,-0.1259798444991046,-0.3816700785859808,0.13733240044256512,0.853167575967142,0.07781259466045598,-0.00900900900900925,-0.14836272527852445,010780
30,현대산업,2017,Q2,건설,-0.1727835290494158,-0.1259798444991046,0.0004288214772367738,0.042100998414696056,0.0007896832578555557,0.009565349717816307,-0.00900900900900925,-0.09943011953419714,012630
30,삼성엔지니어링,2017,Q2,건설,-0.17932405448451283,-0.1259798444991046,0.5726237094703648,2.2902369668510487,0.9700513150353498,0.02469515248789267,-0.00900900900900925,0.1238958183741534,028050
30,대우건설,2017,Q2,건설,-0.07214100872307247,-0.1259798444991046,-0.017343779117713898,-0.8867422946878254,-0.13080165575612246,0.06984062012022929,-0.00900900900900925,-0.23459878992406843,047040
30,한전기술,2017,Q2,건설,-0.2592446028034107,-0.1259798444991046,0.032285541295199005,0.010054016844260438,-103.97357997046252,0.010147420993690925,-0.00900900900900925,-0.0989931714951364,052690
30,LG하우시스,2017,Q2,건설,-0.059193781531659224,-0.1259798444991046,0.20759658819622784,0.10117312877698592,1.1081944761469984,0.030765128730189106,-0.00900900900900925,-0.16172406895413802,108670
