,name,year,quarter,sector,Relative Return,GDP 변화율,이익잉여금 변화율,영업이익 변화율,비유동부채 변화율,주택가격 변화율,자본총계 변화율,Label,Code
7,대림산업,2023,Q3,건설,0.19828639855729635,0.006400632147112617,-0.0003100934171623715,-0.5264353908541461,-0.07098992406158755,0.038350409836065635,-0.0005416809406367795,0.0030863706508424266,000210
7,현대건설,2023,Q3,건설,0.01871123515860353,0.006400632147112617,0.020532300373466095,0.04303602388749761,0.1205083242367384,0.038350409836065635,0.021048134464636714,-0.15939422010146595,000720
7,KCC,2023,Q3,건설,0.16631224525961363,0.006400632147112617,0.019347677721209156,0.12926194766884125,-0.004017957292956731,0.038350409836065635,0.018026933754111907,0.06960502832311637,002380
7,한일시멘트,2023,Q3,건설,0.08271480294657499,0.006400632147112617,0.0009234654230698691,0.8659530995685862,-0.040162784990625644,0.038350409836065635,0.0035944044106117623,0.01879249781932936,003300
7,아이에스동서,2023,Q3,건설,-0.09953440161347182,0.006400632147112617,0.02475971528330212,-0.2253404852184111,-0.12631444498651656,0.038350409836065635,0.017819896023402393,-0.07860744815683732,010780
7,현대산업,2023,Q3,건설,0.12857257813764267,0.006400632147112617,0.0026317401479309943,0.8556654684057996,-0.22018222016269784,0.038350409836065635,0.003819514506390398,0.15104783800512867,012630
7,삼성엔지니어링,2023,Q3,건설,-0.29408906514169675,0.006400632147112617,0.08507267816515318,-0.0773988115710581,-0.2319582143025377,0.038350409836065635,0.04693109479085322,-0.10202024829355441,028050
7,대우건설,2023,Q3,건설,-0.0674400688785526,0.006400632147112617,0.08021829349498,0.10578265691887045,-0.03774742421915589,0.038350409836065635,0.02609785286800337,-0.2043211486458662,047040
7,한전기술,2023,Q3,건설,-0.19749508046590675,0.006400632147112617,0.012630302814719885,-0.5473551076709027,0.020312070663261572,0.038350409836065635,0.012700632838660963,0.12534224033499292,052690
7,LG하우시스,2023,Q3,건설,-0.16240975737543248,0.006400632147112617,0.30870513042832015,-0.3034923117018504,-0.13610668012721794,0.038350409836065635,0.0338045548721182,-0.13523905127634483,108670
