,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,영업이익 변화율,이익잉여금 변화율,비유동부채 변화율,비유동자산 변화율,국제유가 변화율,Label,Code
31,대림산업,2017,Q1,건설,-0.04877684289017979,0.5158067335463936,0.9234322178468932,0.031448559559055234,-0.050170943746387864,-0.005352721665481286,0.09135267010029824,0.06358837528771155,000210
31,현대건설,2017,Q1,건설,-0.0775925137133953,0.5158067335463936,-0.5851778118793174,0.00424855820259018,-0.036065824891184595,-0.016473666307399215,0.09135267010029824,-0.1576694390258916,000720
31,KCC,2017,Q1,건설,-0.054690556496670914,0.5158067335463936,0.8631011566916738,-0.01093788491599601,0.013734803241111537,0.023532213857815343,0.09135267010029824,0.09648870505921951,002380
31,한일시멘트,2017,Q1,건설,0.17624072955812897,0.5158067335463936,-0.9460227189148177,-0.0063019927753203975,-0.2993655116570195,-0.00013890599180688135,0.09135267010029824,-0.09165227113750558,003300
31,아이에스동서,2017,Q1,건설,-0.04969911223983275,0.5158067335463936,-0.12545532823061978,0.012493605228186766,-0.17773984614332838,0.049047216872258215,0.09135267010029824,-0.14622369606157376,010780
31,현대산업,2017,Q1,건설,0.05333080336953553,0.5158067335463936,0.14823294173855395,0.019118789542494907,0.004549237382960092,0.02337098196810561,0.09135267010029824,-0.1727835290494158,012630
31,삼성엔지니어링,2017,Q1,건설,-0.10751161223983274,0.5158067335463936,-1.102946485252248,-1.0265786114867412,-0.13550535680244302,0.0008870942287031447,0.09135267010029824,-0.17932405448451283,028050
31,대우건설,2017,Q1,건설,0.017384365568766415,0.5158067335463936,-1.302057465432158,-0.5458838917253431,0.03389088558790343,-0.019868539318792733,0.09135267010029824,-0.07214100872307247,047040
31,한전기술,2017,Q1,건설,-0.2067921877794011,0.5158067335463936,-0.9363686623144778,0.025571515997392602,0.3933073336679018,0.0019982630782395816,0.09135267010029824,-0.2592446028034107,052690
31,LG하우시스,2017,Q1,건설,-0.032759136992307994,0.5158067335463936,-0.16077859460102983,-0.01659106937894983,0.10342188506125916,0.04735327286501834,0.09135267010029824,-0.059193781531659224,108670
