,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동자산 변화율,비유동부채 변화율,Label,Code
34,대림산업,2016,Q2,건설,-0.015144660421478967,-0.027027232119385514,0.0053597240562808235,-0.001192477415282167,0.06521745957130287,-0.01695130941694848,000210
34,현대건설,2016,Q2,건설,0.02257622244255246,-0.027027232119385514,0.027476181608819816,-0.0022628444136912895,0.00779332097730423,0.17336626894697518,000720
34,KCC,2016,Q2,건설,-0.02140646831967888,-0.027027232119385514,-0.02887315234754817,-0.0464071133044236,-0.05874469977218333,-0.055202335069408956,002380
34,한일시멘트,2016,Q2,건설,-0.2802891170932226,-0.027027232119385514,0.0037838798926037587,-0.00603548090710071,0.26878467567263664,-0.0743844073816016,003300
34,아이에스동서,2016,Q2,건설,0.21964518954462248,-0.027027232119385514,0.1266669729077603,0.052094284265942425,0.21065455151657808,-0.18481327166520314,010780
34,현대산업,2016,Q2,건설,-0.043726091106808855,-0.027027232119385514,0.03787428480873878,0.022942825408441836,-0.004821802759424565,0.06545321633288634,012630
34,삼성엔지니어링,2016,Q2,건설,-0.09026630771118492,-0.027027232119385514,-0.004796163236055695,0.010108932931665038,-0.4220106638592216,-0.05733214760499251,028050
34,대우건설,2016,Q2,건설,-0.08927410156238276,-0.027027232119385514,-0.02550923106484182,0.004553644198654672,-0.1519311414275909,0.06518944236306617,047040
34,한전기술,2016,Q2,건설,0.01573136135614317,-0.027027232119385514,-0.031223959975329563,0.011497450652251384,0.08316334380034718,-0.26105645367625596,052690
34,LG하우시스,2016,Q2,건설,-0.2013511464513722,-0.027027232119385514,0.036355794678324616,0.015482040083324655,0.011432153253020383,-0.2470997956416369,108670
