video_id,published_at,view_count
7Eia0phxqhc,2022-11-11T07:04:19Z,1717
NZn6OTRoodM,2022-11-11T06:58:34Z,2645
_pkKeTXHHOc,2022-11-11T03:08:50Z,1069
4NusDPBvls8,2022-11-11T03:06:15Z,3692
IjDWYHPi3LY,2022-11-11T00:33:30Z,1502
UogfmTzGqIU,2022-11-11T00:32:36Z,4577
m3cBmW15vO0,2022-11-10T06:57:43Z,8371
6FmBN_575vo,2022-11-10T06:59:12Z,1541
fLvlgUTkXsM,2022-11-10T06:53:31Z,9888
uzhgzKCbiy4,2022-11-10T03:24:09Z,4160
hrcxwjlOiWA,2022-11-10T01:16:57Z,6083
AUekoF41C-w,2022-11-10T01:15:17Z,2625
RYJGANHd-Mk,2022-11-10T00:45:25Z,2286
ppdPyrngxjA,2022-11-10T00:41:49Z,2067
nDRulduLhEI,2022-11-09T09:45:01Z,6724
WRic1SuJ_Wo,2022-11-09T07:41:21Z,5704
1NFFVl4VUuk,2022-11-09T03:19:36Z,4666
qrwDeqnAWf0,2022-11-09T03:05:41Z,1408
LcNkBYnhyvs,2022-11-09T01:14:28Z,1039
n8iRditCDks,2022-11-09T01:15:12Z,2277
sm6iFSOlXVQ,2022-11-09T01:15:24Z,1979
DHTRIoI8b1Q,2022-11-09T00:13:38Z,1208
UbMX3_YSZLo,2022-11-09T00:11:43Z,3317
lEeX6DtBdFM,2022-11-08T07:14:17Z,5101
zJrY0m_B9Gw,2022-11-08T06:59:53Z,4312
f-KspCCEoY8,2022-11-08T06:59:11Z,4095
o_E01DiJwJo,2022-11-08T01:10:30Z,20184
SR449XKBsHA,2022-11-08T01:08:43Z,3326
O2ZafvLE_0c,2022-11-08T00:51:32Z,2481
26aVUsrk40s,2022-11-08T00:29:54Z,1226
I-tgqxNedHM,2022-11-07T08:06:13Z,1094
T3BHWHH8SM4,2022-11-07T07:38:58Z,4872
Esw3ogdtp4g,2022-11-07T06:58:08Z,5569
TIIf0K9laWg,2022-11-07T03:15:35Z,1593
4QfW9X6d7s8,2022-11-07T01:22:44Z,1239
PUU0cD2RDWM,2022-11-07T00:14:45Z,4336
ziqUgetwkFc,2022-11-07T00:12:59Z,3689
SlHXa-Tg5mo,2022-11-07T00:10:43Z,5511
k-HTpC1GIaE,2022-11-05T10:45:03Z,9345
