,name,sector,year,quarter,자본총계변화율,비유동부채변화율,이익잉여금변화율,Code
4,Orion_Corp,Agriculture_&_Food,2023,Q3,-0.0014432566163897764,-0.0043341107601491125,-0.06838789522540623,001800
4,Namyang_Dairy_Products,Agriculture_&_Food,2023,Q3,0.006186335668034726,0.020107263389877117,0.006101072294212084,003920
4,Nongshim,Agriculture_&_Food,2023,Q3,-0.016036162447492508,0.028774285245781184,-0.016540520193583097,004370
4,Binggrae,Agriculture_&_Food,2023,Q3,-0.06308393520003364,0.007632707849610565,-1.0009816047653333,005180
4,Hyundai_Green_Food,Agriculture_&_Food,2023,Q3,-0.383021752709626,-0.36594538993286485,0.002978315583453406,005440
4,SPC_Samlip,Agriculture_&_Food,2023,Q3,-0.025948718244346303,0.054087860571124025,-0.02722079096604868,005610
4,Crown_Confectionery,Agriculture_&_Food,2023,Q3,0.00285665824821435,-0.008199403998065291,0.004558357255376233,005740
4,Ottogi,Agriculture_&_Food,2023,Q3,-0.02466785286661377,-0.006153775652151694,-0.025665620279390122,007310
4,Muhak,Agriculture_&_Food,2023,Q3,-0.005269935317893992,0.18461131487913118,-0.005472279046010664,033920
4,Farmsco,Agriculture_&_Food,2023,Q3,-0.0201563702162868,0.04905456142051656,-0.030548509106162136,036580
4,Dongwon_F&B,Agriculture_&_Food,2023,Q3,-0.0390234182278788,-0.6905977322918218,-0.8590753456751412,049770
4,Samyang_Foods,Agriculture_&_Food,2023,Q3,-0.04658344361238842,-0.02032275206054046,-0.07913642571082224,145990
