,name,sector,year,quarter,자본총계변화율,비유동부채변화율,이익잉여금변화율,Code
12,Orion_Corp,Agriculture_&_Food,2021,Q3,-0.005102505813871616,-0.008205447039801639,-0.800574194613731,001800
12,Namyang_Dairy_Products,Agriculture_&_Food,2021,Q3,0.01622448785973185,0.003931316577776789,0.01589649551061645,003920
12,Nongshim,Agriculture_&_Food,2021,Q3,-0.01012577079303778,0.03804880052532156,-0.010720752177248105,004370
12,Binggrae,Agriculture_&_Food,2021,Q3,-0.024900332974426842,-0.03780316183399424,-0.9306133576446585,005180
12,Hyundai_Green_Food,Agriculture_&_Food,2021,Q3,0.02051309500955467,0.02492368101262099,-0.010775177517396983,005440
12,SPC_Samlip,Agriculture_&_Food,2021,Q3,-0.017363693465513474,0.018489157570360404,-0.018381964149829733,005610
12,Crown_Confectionery,Agriculture_&_Food,2021,Q3,0.0008546814366279243,-0.007291644524890506,0.001323251769958067,005740
12,Ottogi,Agriculture_&_Food,2021,Q3,-0.02059360183262071,0.007983799829643923,-0.02158131225086346,007310
12,Muhak,Agriculture_&_Food,2021,Q3,0.045134654371936755,0.48526196630593266,0.045946930450436296,033920
12,Farmsco,Agriculture_&_Food,2021,Q3,-0.0018522642297378322,-0.02790176482577733,-0.0025851455421188607,036580
12,Dongwon_F&B,Agriculture_&_Food,2021,Q3,-0.03798401331895307,-0.00589382784882031,-0.7818500257465513,049770
12,Samyang_Foods,Agriculture_&_Food,2021,Q3,-0.032360102724522166,-0.02849152060795479,-0.009781796895500738,145990
