,name,sector,year,quarter,자본총계변화율,비유동부채변화율,이익잉여금변화율,Code
21,Orion_Corp,Agriculture_&_Food,2019,Q2,0.0005278328520369469,-0.012051938215189795,0.06903521523804668,001800
21,Namyang_Dairy_Products,Agriculture_&_Food,2019,Q2,-0.02090274259177849,-0.004318949214394019,-0.020509228010219926,003920
21,Nongshim,Agriculture_&_Food,2019,Q2,-0.0020358838456771,0.024879290280209188,-0.0019037648127704365,004370
21,Binggrae,Agriculture_&_Food,2019,Q2,-0.030860139889017812,0.057277602920850046,-2.0977947743894143,005180
21,Hyundai_Green_Food,Agriculture_&_Food,2019,Q2,0.008781463771379783,0.05336813672825946,-0.017211213136663295,005440
21,SPC_Samlip,Agriculture_&_Food,2019,Q2,-0.03158374876688197,0.06973325152734289,-0.0337066373423367,005610
21,Crown_Confectionery,Agriculture_&_Food,2019,Q2,0.010941848379724228,0.09416117826803916,0.017105125043759273,005740
21,Ottogi,Agriculture_&_Food,2019,Q2,-0.009909373408116373,-0.005492687106615657,-0.010313424803022553,007310
21,Muhak,Agriculture_&_Food,2019,Q2,-0.001747451013309309,-0.12065034516271367,-0.012778319449354925,033920
21,Farmsco,Agriculture_&_Food,2019,Q2,0.001250476899898878,0.36159218515577995,0.0017772904181991844,036580
21,Dongwon_F&B,Agriculture_&_Food,2019,Q2,-0.007302232826709831,0.1191462348267025,-0.20038638418394816,049770
21,Samyang_Foods,Agriculture_&_Food,2019,Q2,-0.020406729521355693,0.001916626736942928,-0.06687132202187662,145990
