,name,sector,year,quarter,매출액변화율,비유동부채변화율,자본총계변화율,비유동자산변화율,자산총계변화율,Relative Return,특정 증권 등 소유 증감 수변화율,주주 수변화율,특정 증권 등 소유 증감 비율변화율,특정 증권 등 소유 수변화율,Label,Code
21,S_hynix,Technology,2019,Q2,0.06613632009569603,-0.23680190065738516,-0.008168814680379333,0.010323618774805587,0.05444062896938229,0.16058285282086657,0.12759036912493638,0.02983844571576577,0.0,0.4124020214068693,-0.07741926993211061,000660
22,Hansol_Technics,Technology,2019,Q2,0.018606338196610173,0.34937404565228913,-0.027113836805104485,0.013365001417937616,0.02323682848845665,0.05856363070417701,0.0,0.03904086335147572,0.0,0.0,0.04041051857756458,004710
22,Samsung_Electronics,Technology,2019,Q2,-0.03000343292413188,0.03304127589924988,-0.00943462191034472,-0.017133165202672718,0.03578675685067345,0.0833911270153499,0.052279228729560256,-0.01199328488332152,-0.0009192001886673129,0.03139413506834865,0.043091569605277595,005930
22,Samsung_SDI,Technology,2019,Q2,-0.01576493918163857,-0.0022539141960875586,-0.007882716949995983,0.0014160122530686436,0.0029882406307421006,-0.08364138773290092,-0.003704745634056872,0.006249843377736708,0.0,0.00035259065218795627,0.088130946076821,006400
21,Daeduck_Electronics,Technology,2019,Q2,-0.11793005058486217,0.05407080100725736,-0.023268263047603988,-0.028601332378744182,-0.004968191276875755,0.007849557035104433,-0.08810938099467935,-0.04026746508789958,-0.08810938099467891,-0.08810938099467913,0.23503668874242276,008060
22,Samsung_Electro-Mechanics,Technology,2019,Q2,0.07838128960582558,0.7005254864193011,-0.09380559354883067,0.12286891456156479,0.033380092106473636,-0.049857603949117126,0.05621363729884288,-0.06697093027347023,0.05605861388385924,0.19511530057628024,-0.06971722123480126,009150
21,IS_Dongseo,Technology,2019,Q2,0.1657384441215224,-0.7018487864707972,-0.022325116827000002,-0.141833697949308,-0.09053005577291073,-0.025387783394467858,-0.2599248234575853,-0.08422876826584624,-0.25799529372544083,-0.25430389345974924,0.234160280500943,010780
21,LG_Innotek,Technology,2019,Q2,-0.1261938385632293,0.08261824428217668,0.015174138404141502,-0.006891879209049545,-0.012587007635486591,0.29761946027106634,0.1364429246810549,-0.12930031901609595,0.13643368673504785,0.010089203094513222,-0.06907186477619481,011070
22,Samsung_SDS,Technology,2019,Q2,-0.09270591146098695,-0.07882513639496103,-0.028163232462523613,-0.01454314861906636,-0.0038518898043820027,0.09648385946551702,-0.014083664010909658,-0.009375894498333093,0.0,-0.014083664010909658,-0.07988708956410935,018260
21,LG_Display,Technology,2019,Q2,0.08314931781758095,0.020422320264158245,0.031613553633363045,0.004045640827455399,0.015493437800096377,0.027552880837779882,-0.06346241131565988,-0.007218127941027941,-0.06344766295822857,-0.06344766295822879,-0.08599448092244719,034220
21,NAVER_Corp,Technology,2019,Q2,-0.09594128838356042,-0.049638577038466414,-0.06496974336243055,-0.035271091726964965,-0.0393558280910935,-0.02506421551936506,-0.040074612687593936,-0.023889389041284792,-0.03296970312371972,-0.04356739917923402,-0.0773766005346025,035420
21,NCSOFT,Technology,2019,Q2,-0.12721670798346918,0.06389297505408065,0.0070079598739377635,0.030976364939424128,0.031234376945276865,0.017957250733337128,-0.009604186657546254,0.013827659795508485,0.004755748217516453,-0.0194950908561482,-0.03212072134741441,036570
21,Hanmi_Semiconductor,Technology,2019,Q2,-0.2781929424407945,-0.14856878311771826,-0.00012364356117688935,-0.02859705092655962,-0.023249457060753098,-0.02161626890418773,-0.5516449807539543,0.010848861347436012,-0.669312592108376,-0.006227535768482895,-0.06339810591094659,042700
21,LG_Electronics,Technology,2019,Q2,-0.0980567322603747,-0.04847726366455518,-0.02337433953305257,0.0037458098701417253,0.0063668727334755815,0.13655629810459535,0.01017114524388707,0.02610417979577262,0.0,0.00815916481098855,0.053599686583534645,066570
