,name,year,quarter,sector,Relative Return,매출액 변화율,특정 증권 등 소유 수 변화율,자본총계 변화율,이익잉여금 변화율,총포괄손익 변화율,특정 증권 등 소유 증감 수 변화율,법인세차감전 순이익 변화율,비유동부채 변화율,영업이익 변화율,Label,Code
17,DL_Holdings,2020,Q2,화학,0.008475770750884765,-0.016146263710212105,0.1474637027050123,-0.016480446658728498,-0.018606326678747287,0.14764068809141118,0.14518071935929966,0.5798581201866663,0.12859941328422309,-0.33656637730243344,-0.12696123473662732,000210
17,Hanwha_Corp,2020,Q2,화학,-0.19176351956096152,-0.2871275950991694,0.14222020051018813,-0.014895678627395048,-0.021254440848522682,0.14222020051018802,0.14222020051018802,-39.94716242661448,-0.08009095774419062,-8.033050193050194,0.27109695485249263,000880
17,Nexen_Tire,2020,Q2,화학,-0.2855455280223287,0.3261208079598594,0.0,0.0017634662013082947,0.0022864847421788514,0.14293032006832196,0.0,1.6503835893536172,0.09408782486708978,1.7471508341011872,-0.04955390322626546,002350
17,KCC,2020,Q2,화학,0.0,-0.043070475434028754,0.14159532900666238,-0.09739937120165276,-0.08629146345083982,0.1415953290066625,0.14159532900666238,2.039774913267393,-0.03192759653473343,-0.21378043336836372,-0.16876343533902338,002380
17,AmoreG,2020,Q2,화학,-0.13590784686290844,0.14294630891301108,0.14294630891301097,0.00028458435663003545,0.00038416619324632695,0.14294630891301108,0.14294630891301108,1.0067526787224497,0.002062625612001212,1.050072354726641,-0.24200118325329625,002790
17,Korea_Shell_Petroleum,2020,Q2,화학,-0.04922960380317867,0.08527844184041034,0.0,-0.06764792869590397,-0.07444248528742903,0.1430042324997981,0.0,0.04802448088882716,-0.48196458308987045,0.024746045464398847,-0.23321249978808783,002960
17,Taekwang_Industrial,2020,Q2,화학,-0.21493368728853676,0.2280342417413611,0.14267824012470642,-0.18233049128411793,-0.17693439324216098,0.14267824012470642,0.14267824012470642,-5.8954330565315844,-0.2083759236836482,0.655719747605638,-0.054806855808673366,003240
17,Samsung_Fine Chemicals,2020,Q2,화학,-0.11651990594792613,0.1673397755745658,0.1429652311009343,-0.044475446121968965,-0.06495205901652645,0.1429652311009343,0.1429652311009343,-0.0645783855624722,0.08444120223751772,0.35375131411339134,-0.06813088789796531,004000
18,Korea_Petrochemical_Ind,2020,Q2,화학,-0.05883612631292698,0.11488038956832236,0.14294658302181196,-0.03250076599122953,-0.0396892754532443,0.14294658302181196,0.14294658302181185,2.678463593969209,-0.10431115905280874,2.5106380882736383,0.09859670830978007,006650
18,Kukdo_Chemical,2020,Q2,화학,0.009799678582253918,0.08508582198747727,0.14299388854955053,-0.010235121426324323,-0.015168900939465324,0.14299388854955053,0.14299388854955053,-0.1290046536111089,-0.06845353361524853,-0.2547063145410513,-0.3218306557680173,007690
17,Seohung,2020,Q2,화학,0.17403100655420586,0.060667290937917895,0.0,-0.04595257787497142,-0.05140321947109516,0.1430005121859117,0.0,-0.2313883656181175,0.0029619477380458115,-0.005492373147749863,0.3386922962546392,008490
17,Hanwha_Solutions,2020,Q2,화학,-0.09221231686967615,0.09728956794112475,0.1407817975059148,-0.005232162205286661,-0.003964279510294544,0.1325814869943519,0.13830104189470172,0.6241312675434384,-0.026940415227407533,-0.1293741296880464,0.2517285029367726,009830
17,S-Oil,2020,Q2,화학,-0.20456936258244088,0.3330762876310346,0.13918119536823614,0.01059571783239055,0.017305335879478023,0.13918119536823603,0.13918119536823603,0.8688666215951191,0.08283403160219005,0.8362915529685265,-0.06589722393188671,010950
17,Lotte_Chemical,2020,Q2,화학,0.0566201624688524,0.21868979169241654,0.1403500592943635,-0.002552835752851701,-0.002369098551399107,0.14035005929436362,0.14035005929436373,0.29996249638180394,0.08573984965393167,1.2312832070568815,-0.31218670062449516,011170
17,Kumho_Petrochemical,2020,Q2,화학,0.03330239493296813,0.19817846511397863,0.14284747912903473,-0.039843756146626275,-0.03868027197937951,0.14284747912903473,0.14284747912903484,0.33896022389727176,-0.013849277387571135,0.3033695665402928,-0.046099104341359054,011780
17,SKC,2020,Q2,화학,-0.07984377363636377,0.3941000897800171,0.14287362817558114,-0.0019147982303211464,-0.0022045991569326073,0.14287362817558114,0.14287362817558125,0.9997244725843323,-1.0441963898723245,0.008107758995960945,0.44620146226382845,011790
18,Hansol_Chemical,2020,Q2,화학,-0.05356140103820173,0.016223287734515424,0.14299731745233402,-0.057645933238632985,-0.06235548991741391,0.1429973174523339,0.1429973174523339,0.37948278293017956,0.19987068328968327,-0.08186065925322872,0.4471590848525783,014680
17,Dongwon_Systems,2020,Q2,화학,-0.14905776907694265,-0.13095402635135556,0.14299459708914652,-0.027333755659571857,-0.07757721673386087,0.14299459708914652,0.14299459708914664,0.20926243743090078,0.0032267591150766384,-0.5420676617588567,-0.09369622152835408,014820
17,UNID,2020,Q2,화학,-0.08918726946870384,0.0023457195467452285,0.14299216149497906,-0.05168374832595335,-0.056591522451576504,0.14299216149497895,0.14299216149497906,-2.893546401487214,0.11235027999938396,-0.7751553235129425,0.038063677793754164,014830
17,Namhae_Chemical,2020,Q2,화학,0.05267873918966856,0.07597683295434698,0.0,-0.028981514789357288,-0.03618987844716837,0.14300151270515438,0.0,-0.7835975170395404,-0.10386589334210172,-0.5859417529674245,-0.15749259002562488,025860
17,LG_Household & Health Care,2020,Q2,화학,0.08815197330675158,0.17719856152396696,0.14266681374122547,-0.06619122445375125,-0.06838450574244637,0.14266681374122547,0.14266681374122547,-0.012665397895250674,-0.25793573770785994,0.36098181671478013,0.00599525191966388,051900
