video_id,published_at,view_count
WIYR5Np_4N0,2020-04-09T07:30:52Z,2703
gScc6mDpd_0,2020-04-09T05:19:44Z,4062
Fkyy2RhYFgA,2020-04-09T02:15:43Z,27978
DuaTyIe8ll4,2020-04-09T00:08:30Z,3066
BTzu8wu95lw,2020-04-08T07:31:48Z,10376
R5hEIiOLUDU,2020-04-07T09:09:31Z,10309
aKxBg55nk8M,2020-04-07T07:33:49Z,9136
PQdUnPuVUfs,2020-04-06T23:19:22Z,5939
Q8REMYMiZ8s,2020-04-06T09:34:27Z,7124
wBpTKujvrMk,2020-04-06T01:32:38Z,38687
mOwun6WgdPI,2020-04-05T23:07:41Z,6184
XqcQxa8I45s,2020-04-03T07:49:50Z,67087
XANWWhPN7L0,2020-04-03T01:22:34Z,58646
aDoIlatlSIA,2020-04-02T10:00:00Z,9954
H7onB0snZg4,2020-04-02T10:00:09Z,27308
fR4pHOkkRf8,2020-04-01T07:26:24Z,4697
aYciB1lKT0A,2020-04-01T05:15:36Z,56109
UOwprZ-Ix3s,2020-03-31T20:00:10Z,6574
anXV90Q9z58,2020-03-31T09:07:30Z,6255
MSXCHOFnTro,2020-03-31T08:03:01Z,16469
TKXGAt6weGo,2020-03-31T07:25:15Z,2060
9V-FnYnpJ8c,2020-03-31T07:00:02Z,4698
dnRFavR0sVc,2020-03-31T04:14:42Z,2788
WnUhQjGUD3E,2020-03-30T23:04:59Z,16955
KcaX22XLjdI,2020-03-30T20:00:05Z,10206
hIrs5x6mwQQ,2020-03-30T11:30:05Z,19881
mhg1Fj7f8OQ,2020-03-30T07:00:14Z,4711
-2EyYxvWKw8,2020-03-30T04:08:37Z,3424
MMdIjAK-OQI,2020-03-30T01:30:02Z,11637
f_1RULF7GrM,2020-03-27T08:52:22Z,10709
taBaQgB9wSo,2020-03-27T07:27:30Z,4549
jS0mbTVs0ew,2020-03-27T07:27:30Z,4443
IUJp8HTRZtI,2020-03-26T07:40:32Z,19213
iLUZ1N8FQ3Q,2020-03-25T04:04:59Z,18536
GYVvPoI4pIs,2020-03-24T23:06:58Z,12792
a0npwEi-iy8,2020-03-24T02:36:51Z,48406
QkhJdN-sa98,2020-03-23T08:23:27Z,18202
ASqULwiPlZg,2020-03-20T07:49:00Z,10951
QkhJdN-sa98,2020-03-23T08:23:27Z,18202
ASqULwiPlZg,2020-03-20T07:49:00Z,10951
1zYQrbJP4Pk,2020-03-20T06:46:38Z,6739
7g_WZJpCWw4,2020-03-19T13:30:01Z,82966
N_acl5W8J2E,2020-03-19T07:47:00Z,30900
IRJhSFPgoqU,2020-03-18T23:20:09Z,5659
_Uk4-WMKGas,2020-03-18T07:46:13Z,38218
55KYsQnJ5nc,2020-03-06T00:32:40Z,1477
6mtNNp05eTg,2020-02-23T23:16:39Z,2356
