,name,year,quarter,sector,Relative Return,부채총계 변화율,영업이익 변화율,법인세차감전 순이익 변화율,매출액 변화율,비유동부채 변화율,비유동자산 변화율,Label,Code
3,하이트진로,2024,Q1,생활소비재,-0.004698098076335337,-0.00693734941521662,0.4212816648268576,4.577404304454936,-0.030612977371867522,0.10537445508692156,-0.009810786724987808,0.028627711658482734,000080
3,대림산업,2024,Q1,건설,0.19593208434489187,0.07560717924008342,-0.3961926624448424,-0.6822935982833367,-0.4251448768490288,0.0012731499266074309,-0.00011888274699412005,-0.1396906751773595,000210
3,현대건설,2024,Q1,건설,0.02291629786982935,0.01624929346686299,1.860783815094233,3.1343113088438646,-0.08003744927364786,0.03781830696547317,0.027504404460699572,-0.07875553631097454,000720
3,CJ,2024,Q1,생활소비재,0.3078080192280813,0.31607591462241835,1.5041326922124512,5.624587820787827,-0.6274824866221511,0.6238143001296939,-0.00016710716567569506,-0.17122467059725835,001040
3,대상,2024,Q1,생활소비재,0.10969403614789311,0.034616772889683345,-7.102219337924821,6.136869451299534,0.061817674152355284,-0.1443264454562655,0.007963995634372445,0.1485137855390761,001680
3,오리온,2024,Q1,생활소비재,-0.005094542641011161,0.28615394848172127,9.29627917868436,16.814037949170494,3.6423587374146438,-0.00921173292604116,0.0012711798063707036,0.1064926806430334,001800
3,KCC,2024,Q1,건설,0.051540357294991165,0.040108521622103765,0.02385887935437636,1.237621799015832,-0.04572076735839159,0.4106253415194041,0.08169466263438152,0.05712589386307248,002380
3,아모레G,2024,Q1,생활소비재,0.30261872870898676,1.1337188290589033,-13.608444024144623,-7.3406418910425195,-0.0949463499400448,-0.1427736363344846,-0.008844912977743924,-0.2562303020917185,002790
3,한일시멘트,2024,Q1,건설,0.0036376256681529134,0.27059677620826683,-14.33842395489964,-4.634574282073713,0.03355842779584495,-0.028427565175017322,-0.010374953634040063,0.06061801666025786,003300
3,남양유업,2024,Q1,생활소비재,-0.13964426314076286,0.0032088168989177213,-0.8746556250806425,-0.8929682031766535,-0.030874997632905354,-0.013194016464505354,-0.013589851858126112,0.045951548082037684,003920
3,농심,2024,Q1,생활소비재,0.16104578546195905,0.07217012333225648,0.6686663202183576,1.9224089111826537,0.03758933139362286,0.04346354167030397,0.004738440974621172,0.08444982766988073,004370
3,빙그레,2024,Q1,생활소비재,0.3699871883729232,0.2654934106982958,-5.81345876094555,-5.273457370639941,0.10762329646298707,0.21896577675845408,0.03492000151509922,0.12835130908752176,005180
3,롯데칠성,2024,Q1,생활소비재,0.010995740149094723,-0.009229378273527322,1.8943790141769847,-3.5592436056856487,0.0396759147669703,-0.04183302726624083,0.0006906934775940954,0.10864647338456154,005300
3,현대그린푸드,2024,Q1,생활소비재,0.09085452462285674,1.2867882615402313,-14.440054010232952,-44.568711691900354,0.14373048703076896,0.04212032724339165,0.01783952668693911,-0.0636380536335483,005440
3,삼립식품,2024,Q1,생활소비재,0.027331515279521636,-0.058644334835077805,-0.4812286001969397,-0.1677099854417946,-0.10825397750749866,-0.05896422380404287,-0.011507429320074092,-0.07848034376593117,005610
3,크라운제과,2024,Q1,생활소비재,0.0636607746352647,0.03707423108238972,-14.090421421667868,-0.5495970190733682,1.5874070752278477,0.017397446816761475,-0.0004586533966759454,0.018625563830069178,005740
3,GS리테일,2024,Q1,생활소비재,-0.06763806940689157,-0.028865037514410607,-0.4128892770916551,-1.6613328423575715,-0.018513281767889245,0.0359293884146521,0.019242283440360053,0.0586600120846085,007070
3,오뚜기,2024,Q1,생활소비재,0.07018175718968671,0.019797853330300708,1.3670356890793403,2.429169128790024,0.06421916646948334,-0.17640659161086714,-0.0030574552810636035,-0.007607883268906927,007310
3,아이에스동서,2024,Q1,건설,-0.0849487611176174,-0.015870848830855766,-0.17502283454342338,-2.0849374869960293,-0.21211305871518848,-0.1505167842696753,0.03763502935073926,-0.12215167583464032,010780
3,현대산업,2024,Q1,건설,0.0010302159545788163,0.05438288292150939,5.128787072147496,0.5115351383521249,2.6238938654847628,-0.040098447225830114,-0.0011477052008782573,0.27792194937223785,012630
3,한국전력,2024,Q1,생활소비재,-0.2361982952770122,-0.030878843413594037,-0.0999978603523286,-0.8287383171641817,0.03874752283659233,-0.06802905349690291,0.00993074176691544,0.02358362834619821,015760
3,삼성엔지니어링,2024,Q1,건설,-0.08839322593969445,-0.013903565267724849,-5.001597074459847,-8.020268580930061,0.07597742609652025,-0.17610149403491004,0.000546547793262242,0.09319564257022667,028050
3,KT&G,2024,Q1,생활소비재,-0.06309624529958902,0.1848755565838618,0.2741000755040255,2.435536574274403,-0.12695216488836003,0.015653169872950512,0.0025869366590567378,0.19194711079139515,033780
3,무학,2024,Q1,생활소비재,0.002121091365821323,0.03093121001202115,0.23413857144167083,0.2228217523244218,0.09557066304932582,0.8384811425237821,0.23344205007226604,0.2510068357212483,033920
3,한국가스공사,2024,Q1,생활소비재,-0.01850490620798552,-0.014640441657031045,0.6295212903987768,-1.6547423353200017,0.21763248545006197,0.02992766945155556,0.01512088738177364,0.7475192575237629,036460
3,팜스코,2024,Q1,생활소비재,-0.0921304506276493,0.14162017895704193,0.3966896049591164,-1.0734338874886709,-0.10652279847989066,-0.04270861766256917,-0.0015900710692967612,-0.1286291614052784,036580
3,대우건설,2024,Q1,건설,-0.023628310586827166,0.14697413423510253,91.48956342927211,-0.43076487846686173,-0.09267061182157132,0.3797351954675434,0.00018788879990228047,0.08659096356794599,047040
