code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
018260,삼성에스디에스,정보기술,2015,Q4,2016-03-30,"2,731,868,723,692","2,553,205,913,975","5,285,074,637,667","949,518,710,964","68,351,008,793","1,017,869,719,757","38,688,900,000","3,075,651,418,853","4,267,204,917,910",4352976599247,339767216182,468384288479,350251400716,350251400716,
018260,삼성에스디에스,정보기술,2016,Q1,2016-05-16,"2,682,913,122,697","2,446,192,454,234","5,129,105,576,931","724,417,081,217","87,097,811,017","811,514,892,234","38,688,900,000","3,127,547,968,562","4,317,590,684,697",950871519618,63700514095,117627998965,90571642709,90571642709,
018260,삼성에스디에스,정보기술,2016,Q2,2016-08-16,"2,756,314,189,543","2,371,623,734,924","5,127,937,924,467","665,319,485,839","102,088,826,203","767,408,312,042","38,688,900,000","3,174,610,397,034","4,360,529,612,425",998527290989,70390559388,61779549418,47062428472,47062428472,
018260,삼성에스디에스,정보기술,2016,Q3,2016-11-14,"2,856,364,021,518","2,366,687,671,969","5,223,051,693,487","684,268,113,563","130,661,781,364","814,929,894,927","38,688,900,000","3,223,797,578,579","4,408,121,798,560",965001635794,73276288889,64728641422,49187181545,49187181545,
018260,삼성에스디에스,정보기술,2016,Q4,2017-03-31,"2,871,763,196,992","2,448,990,408,114","5,320,753,605,106","747,806,487,542","61,218,483,776","809,024,971,318","38,688,900,000","3,279,401,340,557","4,511,728,633,788",1092510894188,69440290568,76835383368,55603761978,55603761978,
018260,삼성에스디에스,정보기술,2017,Q1,2017-05-15,"2,880,882,206,184","2,389,874,030,722","5,270,756,236,906","688,415,974,845","61,673,659,092","750,089,633,937","38,688,900,000","3,290,046,002,911","4,520,666,602,969",1052841024480,74001090482,85952096875,68657301854,68657301854,
018260,삼성에스디에스,정보기술,2017,Q2,2017-08-14,"3,100,075,899,096","2,376,911,827,879","5,476,987,726,975","778,601,883,019","94,094,640,245","872,696,523,264","38,688,900,000","3,377,780,441,474","4,604,291,203,711",1134766875605,102085114036,115006771352,87734438563,87734438563,
018260,삼성에스디에스,정보기술,2017,Q3,2017-11-14,"3,194,345,076,135","2,357,135,066,760","5,551,480,142,895","725,301,035,847","121,629,151,470","846,930,187,317","38,688,900,000","3,480,265,166,884","4,704,549,955,578",1153542112848,135629086849,134614984690,102484725410,102484725410,
018260,삼성에스디에스,정보기술,2017,Q4,2018-04-02,"3,344,162,291,213","2,334,123,018,078","5,678,285,309,291","776,164,128,860","54,739,266,254","830,903,395,114","38,688,900,000","3,591,074,679,952","4,847,381,914,177",1206017374934,146215339750,139990079805,110809513068,110809513068,
018260,삼성에스디에스,정보기술,2018,Q1,2018-05-15,"3,457,418,057,023","2,282,781,560,082","5,740,199,617,105","881,079,863,354","56,925,265,677","938,005,129,031","38,688,900,000","3,543,868,864,461","4,802,194,488,074",1176840965775,130782220208,144234043348,107494556509,107494556509,
