date,code,score,return
2021-03-24,120,-1,-0.022222222222222254
2021-04-24,120,-1,-0.05817174515235457
2021-05-18,120,1,0.03790087463556846
2021-06-18,120,1,0.03651685393258419
2021-07-18,120,-1,-0.09809264305177112
2021-08-18,120,-1,0.0029673590504450953
2021-09-18,120,-1,-0.12238805970149258
2021-10-18,120,-1,-0.05442176870748294
2021-11-16,120,-1,-0.06049822064056942
2021-12-16,120,-1,-0.05681818181818177
2022-01-16,120,-1,0.0
2022-02-16,120,-1,0.08906882591093113
2022-03-16,120,-1,-0.040892193308550207
2022-04-16,120,-1,-0.007575757575757569
2022-05-17,120,-1,-0.155893536121673
2022-06-17,120,-1,0.0045045045045044585
2022-07-17,120,-1,0.12831858407079655
2022-08-17,120,-1,-0.14901960784313728
2022-09-17,120,1,-0.2638497652582159
2022-10-17,120,-1,0.10459183673469385
2022-11-15,120,-1,0.007633587786259444
2022-12-15,120,1,0.0032467532467532756
2023-01-15,120,-1,-0.10215053763440862
2023-02-15,120,-1,-0.07185628742514971
2023-03-15,120,-1,0.020645161290322678
2023-04-01,120,-1,-0.012804097311139517
2023-05-01,120,-1,0.06451612903225801
2023-05-16,120,1,-0.008599508599508643
2023-06-16,120,-1,-0.06815365551425034
2023-07-16,120,1,0.10372340425531923
2023-08-15,120,-1,-0.012376237623762387
2023-09-15,120,1,-0.015037593984962405
2023-10-15,120,1,0.0325945241199479
2023-11-15,120,1,0.4830614805520703
2023-12-15,120,1,0.06598984771573613
2024-01-15,120,-1,0.07777777777777772
2024-02-15,120,-1,-0.08247422680412375
2024-03-15,120,-1,0.0329052969502408
2024-03-22,120,-1,0.04483925549915391
2024-04-22,120,-1,-0.07692307692307687
2024-05-17,120,-1,-0.12035398230088501
2024-06-17,120,1,-0.09154929577464788
2024-07-17,120,-1,0.04097452934662238
2024-08-15,120,-1,0.07987220447284349
2024-09-15,120,1,-0.10732196589769305
2024-10-15,120,1,-0.10561797752808988
2024-11-15,120,-1,0.1001283697047497
2024-12-15,120,-1,-0.02857142857142858
2025-01-15,120,1,0.16789215686274517
2025-02-15,120,1,-0.06029106029106024
2025-03-15,120,-1,-0.018994413407821265
2021-03-24,150,-1,0.11949685534591192
2021-04-24,150,1,0.2522851919561244
2021-05-18,150,1,0.26044568245125355
2021-06-18,150,1,0.2375690607734806
2021-07-18,150,1,-0.13518518518518519
2021-08-18,150,1,0.12485939257592804
2021-09-18,150,1,-0.018905472636815968
2021-10-18,150,1,0.4046653144016228
2021-11-16,150,1,-0.17028985507246375
2021-12-16,150,-1,-0.017467248908296984
2022-01-16,150,1,-0.17746478873239435
2022-02-16,150,-1,0.35844748858447484
2022-03-16,150,1,-0.17647058823529416
2022-04-16,150,-1,-0.15010351966873703
2022-05-17,150,1,-0.15133171912832932
2022-06-17,150,-1,-0.09415121255349501
2022-07-17,150,-1,0.2745398773006136
2022-08-17,150,-1,0.025609756097561
2022-09-17,150,-1,0.04993429697766105
2022-10-17,150,-1,0.1602002503128912
2022-11-15,150,-1,-0.07227615965480039
2022-12-15,150,-1,0.06162790697674425
2023-01-15,150,-1,-0.0474576271186441
2023-02-15,150,-1,0.22538552787663102
2023-03-15,150,-1,-0.05324298160696994
2023-04-01,150,-1,-0.03219106957424711
2023-05-01,150,1,-0.009544008483563071
2023-05-16,150,1,0.040598290598290676
2023-06-16,150,-1,-0.09958932238193019
2023-07-16,150,1,0.2344110854503465
2023-08-15,150,1,0.2525724976613657
2023-09-15,150,1,-0.3525018670649739
2023-10-15,150,1,-0.0861244019138756
2023-11-15,150,1,0.11397058823529416
2023-12-15,150,1,-0.05500550055005504
2024-01-15,150,-1,0.08963911525029111
2024-02-15,150,1,0.5491452991452992
2024-03-15,150,-1,0.0055172413793103114
2024-03-22,150,1,-0.09251700680272112
2024-04-22,150,-1,0.2211394302848575
2024-05-17,150,1,0.3272727272727274
2024-06-17,150,1,-0.011415525114155223
2024-07-17,150,-1,-0.3048498845265589
2024-08-15,150,-1,0.04327868852459016
2024-09-15,150,-1,0.1604409063074097
2024-10-15,150,-1,0.1820580474934037
2024-11-15,150,1,0.02947368421052632
2024-12-15,150,-1,0.04380952380952374
2025-01-15,150,-1,0.22080291970802923
2025-02-15,150,1,0.06542056074766345
2025-03-15,150,-1,-0.056213017751479244
2021-03-24,660,1,-0.0074906367041198685
2021-04-24,660,1,-0.09885931558935357
2021-05-18,660,1,0.02892561983471076
2021-06-18,660,1,-0.02409638554216864
2021-07-18,660,1,-0.1470588235294118
2021-08-18,660,-1,0.028846153846153744
2021-09-18,660,1,-0.07962085308056877
2021-10-18,660,-1,0.0968074150360454
2021-11-16,660,-1,0.1071428571428572
2021-12-16,660,-1,0.03629032258064524
2022-01-16,660,-1,0.027559055118110187
2022-02-16,660,1,-0.10727969348659006
2022-03-16,660,-1,-0.05579399141630903
2022-04-16,660,1,0.032110091743119185
2022-05-17,660,-1,-0.14311111111111108
2022-06-17,660,-1,0.02385892116182564
2022-07-17,660,-1,-0.0762376237623762
2022-08-17,660,-1,-0.0607621009268795
2022-09-17,660,-1,0.057777777777777706
2022-10-17,660,-1,-0.017857142857142905
2022-11-15,660,1,-0.12445414847161573
2022-12-15,660,-1,0.06857855361595999
2023-01-15,660,-1,0.06876456876456882
2023-02-15,660,-1,-0.13740458015267176
2023-03-15,660,-1,0.12262958280657399
2023-04-01,660,-1,0.026376146788990917
2023-05-01,660,-1,-0.03325942350332589
2023-05-16,660,-1,0.3152654867256637
2023-06-16,660,1,-0.007569386038687953
2023-07-16,660,1,-0.016211604095563104
2023-08-15,660,1,0.05699481865284972
2023-09-15,660,-1,0.018790849673202548
2023-10-15,660,1,0.06204673650282033
2023-11-15,660,-1,0.04399701715137949
2023-12-15,660,-1,-0.04214285714285715
2024-01-15,660,1,0.10887397464578674
2024-02-15,660,1,0.0840618695359785
2024-03-15,660,-1,-0.029156327543424343
2024-03-22,660,1,0.010600706713780994
2024-04-22,660,1,0.07983682983682994
2024-05-17,660,1,0.17430226434965768
2024-06-17,660,-1,-0.011210762331838597
2024-07-17,660,-1,-0.1750566893424036
2024-08-15,660,-1,-0.1847771657486229
2024-09-15,660,-1,0.26243455497382207
2024-10-15,660,1,-0.051840331778123416
2024-11-15,660,1,-0.015151515151515138
2024-12-15,660,-1,0.10540992749581712
2025-01-15,660,-1,0.05953582240161448
2025-02-15,660,-1,-0.035377358490566
2025-03-15,660,-1,0.01941747572815533
2021-03-24,1120,1,0.10247349823321561
2021-04-24,1120,-1,0.08255451713395634
2021-05-18,1120,-1,-0.15450643776824036
2021-06-18,1120,-1,0.03384094754653133
2021-07-18,1120,-1,-0.054545454545454564
2021-08-18,1120,1,0.06071428571428572
2021-09-18,1120,-1,0.04957264957264962
2021-10-18,1120,-1,-0.12377850162866455
2021-11-16,1120,-1,-0.04646840148698883
2021-12-16,1120,1,0.013645224171539905
2022-01-16,1120,1,0.0606653620352251
2022-02-16,1120,1,0.11439114391143912
2022-03-16,1120,1,0.2201986754966887
2022-04-16,1120,1,0.028532608695652106
2022-05-17,1120,1,-0.052767052767052736
2022-06-17,1120,1,-0.21739130434782605
2022-07-17,1120,1,0.1797004991680533
2022-08-17,1120,1,0.16997167138810187
2022-09-17,1120,1,0.07222914072229147
2022-10-17,1120,1,-0.061556329849012825
2022-11-15,1120,-1,0.02287166454891998
2022-12-15,1120,1,-0.15031055900621115
2023-01-15,1120,1,-0.061493411420204924
2023-02-15,1120,-1,-0.09516380655226209
2023-03-15,1120,-1,0.005172413793103514
2023-04-01,1120,-1,-0.005102040816326481
2023-05-01,1120,-1,0.023178807947019875
2023-05-16,1120,-1,0.14925373134328357
2023-06-16,1120,-1,0.04040404040404044
2023-07-16,1120,-1,0.015492957746478853
2023-08-15,1120,1,-0.1495726495726496
2023-09-15,1120,-1,-0.13735343383584586
2023-10-15,1120,-1,0.1353965183752417
2023-11-15,1120,1,0.0016694490818029983
2023-12-15,1120,-1,-0.11166666666666669
2024-01-15,1120,-1,0.022514071294559068
2024-02-15,1120,-1,-0.03669724770642202
2024-03-15,1120,-1,-0.007619047619047636
2024-03-22,1120,-1,0.007619047619047636
2024-04-22,1120,-1,0.10207939508506625
2024-05-17,1120,1,0.006896551724137945
2024-06-17,1120,1,0.06506849315068486
2024-07-17,1120,1,-0.05144694533762062
2024-08-15,1120,1,0.01001669449081799
2024-09-15,1120,1,-0.023140495867768562
2024-10-15,1120,-1,-0.07614213197969544
2024-11-15,1120,-1,0.05818181818181811
2024-12-15,1120,-1,-0.1260794473229706
2025-01-15,1120,-1,0.09486166007905128
2025-02-15,1120,-1,-0.1097560975609756
2025-03-15,1120,-1,0.007766990291262044
2021-03-24,3490,1,-0.020560747663551426
2021-04-24,3490,-1,0.09328358208955234
2021-05-18,3490,-1,0.10499999999999998
2021-06-18,3490,-1,-0.0678733031674208
2021-07-18,3490,-1,-0.018121911037891292
2021-08-18,3490,1,0.12842465753424648
2021-09-18,3490,1,-0.09502923976608191
2021-10-18,3490,1,-0.012924071082390909
2021-11-16,3490,1,-0.04761904761904767
2021-12-16,3490,1,-0.0034482758620689724
2022-01-16,3490,1,0.06194690265486735
2022-02-16,3490,-1,0.011666666666666714
2022-03-16,3490,-1,0.03953871499176276
2022-04-16,3490,-1,-0.06869009584664532
2022-05-17,3490,-1,-0.0726643598615917
2022-06-17,3490,-1,-0.09141791044776115
2022-07-17,3490,-1,0.039682539682539764
2022-08-17,3490,-1,-0.040740740740740744
2022-09-17,3490,-1,-0.1477045908183633
2022-10-17,3490,-1,0.24121779859484782
2022-11-15,3490,-1,-0.0497131931166348
2022-12-15,3490,-1,-0.01810865191146882
2023-01-15,3490,-1,-0.05327868852459017
2023-02-15,3490,-1,-0.04112554112554112
2023-03-15,3490,-1,0.05643340857787815
2023-04-01,3490,-1,-0.01295896328293733
2023-05-01,3490,-1,-0.017316017316017285
2023-05-16,3490,-1,0.07777777777777772
2023-06-16,3490,-1,0.07628865979381438
2023-07-16,3490,-1,-0.029126213592232997
2023-08-15,3490,-1,-0.05749486652977409
2023-09-15,3490,-1,-0.12200435729847492
2023-10-15,3490,-1,0.0667340748230536
2023-11-15,3490,-1,0.0865603644646924
2023-12-15,3490,-1,-0.037735849056603765
2024-01-15,3490,1,-0.002178649237472796
2024-02-15,3490,-1,-0.03275109170305679
2024-03-15,3490,-1,-0.033860045146726914
2024-03-22,3490,1,-0.04816513761467889
2024-04-22,3490,-1,0.055421686746987886
2024-05-17,3490,-1,0.00691244239631339
2024-06-17,3490,-1,0.016018306636155666
2024-07-17,3490,-1,-0.06756756756756754
2024-08-15,3490,1,0.05910165484633567
2024-09-15,3490,-1,-0.02212389380530977
2024-10-15,3490,-1,0.05429864253393668
2024-11-15,3490,-1,0.016563146997929712
2024-12-15,3490,-1,-0.06504065040650409
2025-01-15,3490,-1,0.010869565217391353
2025-02-15,3490,-1,-0.048218029350104774
2025-03-15,3490,-1,-0.01969365426695846
2021-03-24,3550,-1,0.33293898727001614
2021-04-24,3550,1,0.020164250712834342
2021-05-18,3550,-1,-0.13389121338912136
2021-06-18,3550,-1,-0.04541062801932372
2021-07-18,3550,1,-0.030927835051546393
2021-08-18,3550,-1,-0.030737704918032738
2021-09-18,3550,1,0.005246589716684236
2021-10-18,3550,-1,-0.06054279749478075
2021-11-16,3550,-1,-0.09030100334448166
2021-12-16,3550,1,0.004901960784313708
2022-01-16,3550,1,-0.05217391304347829
2022-02-16,3550,-1,-0.04980340760157276
2022-03-16,3550,-1,0.03172413793103446
