접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330003038,Y,00164724,현대엘리베이터,2008년 09월 11일,현대로지스틱스(주),"3,002,008",42.09%,-,특수관계인 포함,2015-12-31,2015,Q4
20160330003038,Y,00164724,현대엘리베이터,2014년 09월 29일,현대글로벌(주),"6,926,601",35.28%,-,특수관계인 포함,2015-12-31,2015,Q4
20160330003038,Y,00164724,현대엘리베이터,2014년 10월 27일,현정은,"6,926,601",35.28%,-,특수관계인 포함,2015-12-31,2015,Q4
20170331005023,Y,00164724,현대엘리베이터,2014년 09월 29일,현대글로벌(주),"6,926,601",35.28%,-,특수관계인 포함,2016-12-31,2016,Q4
20170331005023,Y,00164724,현대엘리베이터,2014년 10월 27일,현정은,"6,926,601",35.28%,-,특수관계인 포함,2016-12-31,2016,Q4
20180814001528,Y,00164724,현대엘리베이터,2014년 09월 29일,현대글로벌(주),"6,926,601",35.28%,-,특수관계인 포함,2017-12-31,2017,Q4
20180814001528,Y,00164724,현대엘리베이터,2014년 10월 27일,현정은,"6,926,601",35.28%,-,특수관계인 포함,2017-12-31,2017,Q4
20190401004585,Y,00164724,현대엘리베이터,2014년 09월 29일,현대글로벌(주),"6,926,601",35.28%,-,특수관계인 포함,2018-12-31,2018,Q4
20190401004585,Y,00164724,현대엘리베이터,2014년 10월 27일,현정은,"6,926,601",35.28%,-,특수관계인 포함,2018-12-31,2018,Q4
20200330003349,Y,00164724,현대엘리베이터,2014년 09월 29일,현대글로벌(주),"6,926,601",35.28%,"기존 최대주주 및
특수관계인간의 주식매매로
인한 최대주주 변경",특수관계인 포함,2019-12-31,2019,Q4
20200330003349,Y,00164724,현대엘리베이터,2014년 10월 27일,현정은,"6,926,601",35.28%,"기존 최대주주 및
특수관계인간의 주식교환
등에 의한 최대주주 변경",특수관계인 포함,2019-12-31,2019,Q4
20210319001408,Y,00164724,현대엘리베이터,2020년 09월 24일,현대네트워크(주),"10,824,666",26.52%,전환사채 전환권 행사,특수관계인 포함,2020-12-31,2020,Q4
20220321001512,Y,00164724,현대엘리베이터,2020년 09월 24일,현대네트워크(주),"10,824,666",26.52%,전환사채 전환권 행사,특수관계인 포함,2021-12-31,2021,Q4
20230321001479,Y,00164724,현대엘리베이터,2020년 09월 24일,현대네트워크(주),"10,824,666",26.52%,전환사채 전환권 행사,특수관계인 포함,2022-12-31,2022,Q4
20240320001956,Y,00164724,현대엘리베이터,2020년 09월 24일,"현대홀딩스
컴퍼니(주)","10,825,315",26.93%,"전환사채 
전환권 행사",특수관계인 포함,2023-12-31,2023,Q4
20250318000920,Y,00164724,현대엘리베이터,2020년 09월 24일,현대홀딩스컴퍼니(주),"10,825,315",26.93%,"전환사채 
전환권 행사",특수관계인 포함,2024-12-31,2024,Q4
