,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동부채 변화율,영업이익 변화율,매출액 변화율,이익잉여금 변화율,Label,Code
30,대림산업,2017,Q2,건설,0.06358837528771155,-0.1259798444991046,0.029558522306349033,0.1381359229481698,0.7548838990648417,0.25572269797940983,0.0009652623904323754,-0.11560459519957578,000210
30,현대건설,2017,Q2,건설,-0.1576694390258916,-0.1259798444991046,-0.01828491458903847,-0.05732587376051723,0.07576430856736582,0.02483817375675601,0.020234314661815356,-0.1900207477224205,000720
30,KCC,2017,Q2,건설,0.09648870505921951,-0.1259798444991046,0.100861554487097,-0.23700357306812225,0.3589136642056878,0.14978842977054319,0.016958080721845015,-0.09493906539262703,002380
30,한일시멘트,2017,Q2,건설,-0.09165227113750558,-0.1259798444991046,0.08778909554664693,0.9937203036516606,27.71484124531362,0.32525847119741513,0.027053006533685364,0.07450946031834868,003300
30,아이에스동서,2017,Q2,건설,-0.14622369606157376,-0.1259798444991046,0.16409180383347954,-0.3816700785859808,0.2774588318335951,0.22398420507167716,0.13733240044256512,-0.14836272527852445,010780
30,현대산업,2017,Q2,건설,-0.1727835290494158,-0.1259798444991046,0.024384111931448516,0.0004288214772367738,-0.006472172177458546,0.25732773025263445,0.042100998414696056,-0.09943011953419714,012630
30,삼성엔지니어링,2017,Q2,건설,-0.17932405448451283,-0.1259798444991046,-0.026390886337740227,0.5726237094703648,-4.374018740693419,-0.22326195394420723,2.2902369668510487,0.1238958183741534,028050
30,대우건설,2017,Q2,건설,-0.07214100872307247,-0.1259798444991046,-0.011469329615495516,-0.017343779117713898,0.11926966279908191,0.18032059611451712,-0.8867422946878254,-0.23459878992406843,047040
30,한전기술,2017,Q2,건설,-0.2592446028034107,-0.1259798444991046,0.023421222406534437,0.032285541295199005,-5.346505713826979,0.16236956298973726,0.010054016844260438,-0.0989931714951364,052690
30,LG하우시스,2017,Q2,건설,-0.059193781531659224,-0.1259798444991046,0.059694691164001945,0.20759658819622784,0.34581693087917165,0.1003598955839422,0.10117312877698592,-0.16172406895413802,108670
