label,count,rate(%)
PP,199.0,40.78
PN,178.0,36.48
NP,53.0,10.86
NN,58.0,11.89
TOTAL,488.0,
정확도(Accuracy),52.66,
정밀도(Precision),78.97,
재현율(Recall),52.79,
