label,count,rate(%)
PP,405.0,43.22
PN,325.0,34.69
NP,96.0,10.25
NN,111.0,11.85
TOTAL,937.0,
정확도(Accuracy),55.07,
정밀도(Precision),80.84,
재현율(Recall),55.48,
