,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,증자주식수 변화율,1인평균급여 변화율,자기주식수 변화율,기초 소유 주식 수 변화율,Label,Code
33,경방,2016,Q3,경기소비재,0.05179556550348005,-0.0005512123232308541,0.0,0.0,0.0,0.05610457360593246,0.0,-0.2813695647129345,000050
33,하이트진로,2016,Q3,생활소비재,-0.03598531033709729,0.0,0.0,0.0,0.0,0.0,0.0,-0.17068264442794995,000080
33,유한양행,2016,Q3,헬스케어,-0.28882475635575133,-0.009008681973750599,0.0,0.07285680916669213,0.0,0.0,0.0,-0.0777993263259322,000100
33,CJ대한통운,2016,Q3,산업재,-0.10884308667554576,0.0,0.0,0.0,0.0,0.0,0.0,-0.23530932741448607,000120
33,두산,2016,Q3,산업재,0.010615777412827014,0.0,0.0,0.0,0.0,0.0,0.0,-0.284123174556213,000150
33,대림산업,2016,Q3,건설,-0.01695130941694848,-0.012293011078201022,0.0,0.6796092001803691,0.0,0.679603815697398,0.0,-0.13911732572419963,000210
33,일동제약,2016,Q3,헬스케어,0.0,-0.5662985980430189,0.0,0.0,0.0,0.0,0.0,-0.44602156784564295,000230
33,한국타이어월드와이드,2016,Q3,경기소비재,0.07960487395138752,-0.0020789021214956405,0.0,0.0,0.0,0.0,0.0,-0.19368253315611283,000240
33,기아차,2016,Q3,경기소비재,-0.08762965356279914,-0.044073073742722846,0.0,0.0,0.0,0.0,0.0,-0.15636195899343341,000270
33,조선내화,2016,Q3,철강_소재,0.05567980570589828,0.022488854883904397,0.0,0.0,0.0,0.25820077855932944,0.0,-0.14737252375136384,000480
33,동아쏘시오홀딩스,2016,Q3,헬스케어,-0.09565615732344623,-0.009048890521550335,0.0,0.0,0.0,-0.007636702959916919,0.0,-0.2526357168042266,000640
33,SK하이닉스,2016,Q3,정보기술,0.159503652536732,0.03675095969927078,0.0,0.0,0.0,0.0,0.0,0.1529801462697245,000660
33,영풍,2016,Q3,철강_소재,-0.025629221514891963,0.00395026018852529,0.0,0.0,0.0,0.0,0.0,-0.23635428470249803,000670
33,현대건설,2016,Q3,건설,0.17336626894697518,-0.00663179582205442,0.0,-0.020600256622956836,0.0,0.0,0.0,0.01665776516054719,000720
33,한화,2016,Q3,에너지_화학,-0.008169161058828388,0.008927088888160961,0.0,0.00915806786609652,0.0,0.0,0.0,-0.1480524624259277,000880
33,CJ,2016,Q3,생활소비재,-0.1523368496930036,0.0005924984875447237,0.0,0.0,0.0,0.0,0.0,-0.06228555020128465,001040
33,LG상사,2016,Q3,산업재,-0.10499041889703539,-0.027844026794430876,0.0,0.0,0.0,0.0,0.0,-0.0869465638279954,001120
33,동국제강,2016,Q3,철강_소재,-0.011003397168905325,9.389295196671199e-06,0.0,0.0,0.0,0.0,0.0,0.2366102338807522,001230
33,세아베스틸,2016,Q3,철강_소재,-0.055046075965483075,0.04591356291288373,0.0,0.0,0.0,0.0,0.0,0.013813479603057802,001430
33,대상,2016,Q3,생활소비재,-0.13602207737328315,0.041290934881965224,0.0,0.0,0.0,0.0,0.0,-0.27888938087563453,001680
33,SK네트웍스,2016,Q3,경기소비재,0.10632868286939529,0.0,0.0,0.0,0.0,0.0,0.0,-0.058738377608712575,001740
33,오리온,2016,Q3,생활소비재,-0.18535685414290062,0.005389476164268547,0.0,0.0,0.0,0.0,0.0,-0.17317446296599925,001800
