code,name,year,quarter,sector,F_자본금 변화율,P_보유 주식 수 변화율,P_1인평균급여 변화율,P_기초 소유 주식 수 변화율,P_기초 소유주식 지분율 변화율,P_기말 소유주식 수 변화율,P_기말 소유주식 지분율 변화율,P_발행할 주식 총수 변화율,P_현재까지 발행한 주식 총수 변화율,P_발행주식의 총수 변화율,P_자기주식수 변화율,P_유통주식수 변화율,P_증자주식수 변화율,P_주식액면가액 변화율,P_발행금액 변화율,Relative Return,Label,Code
210,대림산업,2019,Q3,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033403939786170955,0.0,0.03340347718355785,0.03340347718355763,0.03340347718355763,-0.12059862893574436,-0.16662607758445078,000210
210,대림산업,2019,Q2,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962266621604054,0.0,0.1962267576237431,0.19622675762374286,0.1962267576237431,0.03625771104643578,-0.12059862893574436,000210
210,대림산업,2019,Q1,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02450447187171667,0.0,0.02450468921254223,0.02450468921254223,0.024504689212542674,0.031190648148935907,0.03625771104643578,000210
210,대림산업,2018,Q4,건설,0.0,0.009216728201022706,0.07911392405063289,0.14912255338140046,0.10871212121212115,0.16666666666666674,0.16666666666666674,0.0,0.0,0.0,0.09568819640858628,0.0,0.09568818302394066,0.09568818302394066,0.09568818302394044,0.15289343413165826,0.031190648148935907,000210
210,대림산업,2018,Q3,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8757091932503491,0.0,0.8757070325936434,0.8757070325936418,0.875707032593642,0.10832945931949682,0.15289343413165826,000210
210,대림산업,2018,Q2,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700222647977756,0.0,0.17002166854935585,0.17002166854935585,0.17002166854935608,-0.018774693966500014,0.10832945931949682,000210
210,대림산업,2018,Q1,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07950355506615747,0.0,-0.07950346788429297,-0.07950346788429252,-0.07950346788429274,0.2129153988623319,-0.018774693966500014,000210
210,대림산업,2017,Q4,건설,0.0,0.002911065434586524,-0.14013605442176869,0.13382842728644007,0.13585027428202645,0.12567107270014732,0.08608534322820027,0.0,0.0,0.0,0.5085030512356401,0.0,0.508501356328489,0.5085013563284875,0.5085013563284881,-0.11154265413313096,0.2129153988623319,000210
210,대림산업,2017,Q3,건설,0.031327714935862616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48128632956942097,0.0,0.4812876537603774,0.48128765376037497,0.48128765376037674,-0.11560459519957578,-0.11154265413313096,000210
210,대림산업,2017,Q2,건설,0.018671437914161926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28631660646977686,0.0,-0.2863152351436422,-0.2863152351436421,-0.28631523514364265,0.06358837528771155,-0.11560459519957578,000210
210,대림산업,2017,Q1,건설,0.029868634999088206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2086983363334236,0.0,-0.20869903978701299,-0.20869903978701232,-0.20869903978701243,-0.04877684289017979,0.06358837528771155,000210
210,대림산업,2016,Q4,건설,0.04457319991731845,-0.013079784607925804,0.1351351351351351,0.0982418573498316,0.06976833384473768,0.11611235811008958,0.11810261374636988,0.0,0.0,0.0,0.6407457745563556,0.0,0.6407547835147018,0.6407547835146978,0.6407547835146992,-0.13911732572419963,-0.04877684289017979,000210
210,대림산업,2016,Q3,건설,-0.012293011078201022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679603815697398,0.0,0.6796092001803691,0.679609200180364,0.6796092001803671,-0.01695130941694848,-0.13911732572419963,000210
210,대림산업,2016,Q2,건설,0.0005079013137805344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13090784377990594,0.0,-0.13090829901431034,-0.1309082990143089,-0.1309082990143111,-0.015144660421478967,-0.01695130941694848,000210
210,대림산업,2016,Q1,건설,0.09102882267427614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1733642035471643,0.0,-2.1733615504890014,-2.1733615504890196,-2.173361550489007,-0.07082949201266767,-0.015144660421478967,000210
720,현대건설,2024,Q4,건설,0.0,0.17776412487411442,-0.00289434666184607,0.3030351764746402,0.30306578947313145,0.30300908089288203,0.30306578947313145,0.21915679045471737,0.2184832089392943,0.21407832608919142,0.0,0.21407832608919142,0.1024761366873288,0.10247613668732858,0.10247613668732791,0.1535902369235703,0.1535902369235703,000720
720,현대건설,2024,Q3,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030099223047776708,0.1535902369235703,000720
720,현대건설,2024,Q2,건설,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07875553631097454,0.030099223047776708,000720
