Feature,Importance
F_자본금 변화율,0.29042886163597526
P_보유 주식 수 변화율,0.17363804570513947
P_증자주식수 변화율,0.15864401693389066
P_1인평균급여 변화율,0.15188443323213702
P_자기주식수 변화율,0.11794616007883077
P_기초 소유 주식 수 변화율,0.10745848241402685
