,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,매출액 변화율,금리 변화율,영업이익 변화율,Label,Code
27,CJ대한통운,2018,Q1,산업재,0.2566929321227336,0.16941503732638274,0.15850755180789866,0.07003624318965351,0.03277689166232878,0.08530869157626775,-0.2776602378320223,-0.08753989778786372,000120
27,두산,2018,Q1,산업재,0.11144460111392289,0.0719883900893401,0.04686271464919223,0.06829259993120917,-0.05879759354376146,0.08530869157626775,0.8428240164239913,-0.031583011954693416,000150
27,LG상사,2018,Q1,산업재,0.11946540445227934,0.04104851055896197,-0.018405237992747847,-0.06933587329183233,-0.013525286837373085,0.08530869157626775,-1.7587590679512366,-0.1822205925842355,001120
27,대한항공,2018,Q1,산업재,0.035916696981945904,0.028370388534761704,0.007860660574116052,-0.020763002000587782,0.0008328045673013929,0.08530869157626775,-0.23414326409484432,-0.10501069971367774,003490
27,S&T중공업,2018,Q1,산업재,-0.15424360008349078,0.01736121844161409,-0.002793801320264966,-0.018914975018089253,-0.2446945241100854,0.08530869157626775,-0.8796045206380904,0.011079778303015292,003570
27,LS,2018,Q1,산업재,0.1264004085713014,0.03428385436118342,-0.0012586177746886085,0.021483138956694736,0.024294609074649642,0.08530869157626775,-0.06998344351420216,-0.1178274543580107,006260
27,LS산전,2018,Q1,산업재,0.29306773954529763,0.036809067510981563,-0.011449173259864165,0.003287443136837709,-0.014582611132064716,0.08530869157626775,1.8360590259627356,-0.05297483287324756,010120
27,현대상선,2018,Q1,산업재,0.40572645455697803,-0.057617829590584035,-0.01824599579034558,-0.16638842033625434,-0.08920260284548365,0.08530869157626775,0.5557920206283888,-0.16784359577912367,011200
27,한국단자,2018,Q1,산업재,-0.06267468360465307,-0.018394697647231673,-0.026567771308970478,-0.0084723860357655,-0.09358994991959058,0.08530869157626775,-0.5451143479881533,-0.002398730100561658,025540
27,대우인터내셔널,2018,Q1,산업재,0.08587388027143088,0.06491285399870272,-0.018155107252079583,0.010330181915803482,0.10466184856344984,0.08530869157626775,0.6969549084050628,-0.23668002238205516,047050
27,한국항공우주,2018,Q1,산업재,-0.14556752890467015,0.1563871669100927,0.008442661371586224,-0.10073015890365222,0.8965996549079467,0.08530869157626775,-1.2321075724864223,-0.04013272579782187,047810
27,한전KPS,2018,Q1,산업재,-0.039812006981483544,0.02497450255423317,0.0036351109656229674,-0.04868659813574794,-0.26877147199471096,0.08530869157626775,-0.37994547195537487,-0.10144173065521384,051600
27,현대글로비스,2018,Q1,산업재,0.03981676321894266,0.020843747869815354,-0.008703773391475988,-0.011681853002716291,-0.04470823025220627,0.08530869157626775,-0.20246849654501398,-0.1399970633697557,086280
