,Feature,Average_Importance
0,F_법인세차감전 순이익 변화율,0.10550903051664637
1,F_이익잉여금 변화율,0.07983437148786442
2,F_유동자산 변화율,0.07584980767219948
3,F_유동부채 변화율,0.07213019842010406
4,F_비유동부채 변화율,0.07130466733683191
