,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,소비자물가지수 변화율,환율 변화율,주택가격 변화율,GDP 변화율,금리 변화율,Label,Code
2,경방,2024,Q4,경기소비재,-0.027408875565277532,-0.16777092961378992,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.2241385094965196,000050
2,유한양행,2024,Q4,헬스케어,-0.044617841770507385,-0.4905115593038417,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.1628941528114815,000100
2,일동제약,2024,Q4,헬스케어,-0.19630859511387333,3.1824702932197093,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.03588237835449605,000230
2,한국타이어월드와이드,2024,Q4,경기소비재,-0.15661421911421913,-1.3360711809099104,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.06061805909082328,000240
2,기아차,2024,Q4,경기소비재,-0.05554898158609951,0.03136521710594575,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.027398229449025466,000270
2,동아쏘시오홀딩스,2024,Q4,헬스케어,-0.23453288397382438,-1.9816738301128007,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.028700735806593526,000640
2,SK네트웍스,2024,Q4,경기소비재,-0.06598109587240025,-2.1436190534407142,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.05402840555564136,001740
2,넥센타이어,2024,Q4,경기소비재,-0.21740505429529822,-8.528079941528027,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.09933237414524924,002350
2,부광약품,2024,Q4,헬스케어,-0.03455781166624543,-12.242729762878074,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.14179874270054416,003000
2,일신방직,2024,Q4,경기소비재,-0.026456256509448023,2.039141261622176,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.1519760837821813,003200
2,영진약품,2024,Q4,헬스케어,-0.13513731414216854,1.2154512585749986,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.010025282691595272,003520
2,쌍용차,2024,Q4,경기소비재,-0.11495024333942168,-1.1115135070973925,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.15217322966964436,003620
2,한솔홀딩스,2024,Q4,경기소비재,0.06151042353872539,-0.2732851305731835,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.05162120798870903,004150
2,신세계,2024,Q4,경기소비재,0.05074188282489138,-3.8136064073376126,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.11617361464637883,004170
2,세방전지,2024,Q4,경기소비재,-0.07832388636623408,0.4077667175305566,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.06474227063861562,004490
2,조광피혁,2024,Q4,경기소비재,-0.08590218720375895,4.475900153146431,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.03613046470031627,004700
2,현대차,2024,Q4,경기소비재,-0.09360885373977645,2.8428309311037814,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.016773724752573462,005380
2,에스엘,2024,Q4,경기소비재,0.10737953906558555,1.2706614834694512,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.08597010516038445,005850
2,녹십자,2024,Q4,헬스케어,-0.1561034334721347,-1.1180648722975468,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.07599810252533833,006280
2,동아타이어,2024,Q4,경기소비재,0.0740222615222615,-0.8848172393832994,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.02379786653292581,007340
2,일양약품,2024,Q4,헬스케어,-0.1512029637029637,0.15442927545485263,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.15799290646567066,007570
2,서연,2024,Q4,경기소비재,0.16256993006993004,0.6450116564986583,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.04969940122663703,007860
2,서흥,2024,Q4,헬스케어,0.011944966136639035,-1.3728630640617947,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.10030059877336296,008490
2,호텔신라,2024,Q4,경기소비재,-0.0465961277528442,0.6502992939122632,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.10723364018916301,008770
2,한샘,2024,Q4,경기소비재,-0.2506427396133279,-1.0971753410026333,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,-0.031676876487694385,009240
2,광동제약,2024,Q4,헬스케어,-0.08325119889352794,77.23616158715456,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.003250909332369178,009290
2,모토닉,2024,Q4,경기소비재,-0.017600406072137545,0.5085751090196036,0.007965999409355273,0.032773177352413585,-0.2998813358196305,0.04107281147273634,-0.03637947935954711,0.06796922804719832,009680
