,name,year,quarter,sector,Relative Return,이익잉여금 변화율,자산총계 변화율,국제유가 변화율,유동자산 변화율,자본총계 변화율,Label,Code
16,현대중공업,2020,Q4,중공업,0.06919230916493299,-0.024855373689161242,-0.02476651427966814,0.030879044146171264,0.0025759287723798874,-0.03292630765971638,0.18953198958350204,009540
16,삼성중공업,2020,Q4,중공업,-0.16253200938734758,-1.3831974608535176,-0.051155902318269164,0.030879044146171264,-0.07686161026135152,-0.15915120766780888,-0.11626654964734412,010140
16,현대미포조선,2020,Q4,중공업,0.3054352155519937,-0.04439021564193946,0.00556633563343123,0.030879044146171264,-0.04864825643849224,-0.011917799637408799,0.5357704126401688,010620
16,한화테크윈,2020,Q4,중공업,0.28320079864359915,0.019333717757846758,0.005670611721157126,0.030879044146171264,-0.00482635377851337,0.017391306481808977,0.03199781496555087,012450
16,SK텔레콤,2020,Q4,커뮤니케이션서비스,-0.14644010149018505,0.001323383779075371,0.031196427608877864,0.030879044146171264,-0.044609673168170216,-0.013979105961002602,0.22431357743014252,017670
16,현대엘리베이,2020,Q4,중공업,-0.13973479856089485,-0.01828498866400996,0.014326738440538778,0.030879044146171264,-0.013411106176887788,0.01941067705757149,0.11894539345943225,017800
16,제일기획,2020,Q4,커뮤니케이션서비스,-0.2504967954104901,0.07299878269505466,0.07634189120056178,0.030879044146171264,0.09317418808947142,0.08751362380338445,0.079842253040428,030000
16,KT,2020,Q4,커뮤니케이션서비스,-0.09983873746509994,-0.0013562130577288167,-0.005589476108752267,0.030879044146171264,-0.11683990708948688,-0.007826888387675868,0.14838908409715276,030200
16,LG유플러스,2020,Q4,커뮤니케이션서비스,-0.21049873952618584,-0.05254782514176071,-0.04366017294506286,0.030879044146171264,-0.187016195841755,-0.028765122431435364,0.23651442304334377,032640
16,두산중공업,2020,Q4,중공업,-0.5525277418455321,0.5584287126207501,-0.011560985596813289,0.030879044146171264,-0.08736039041234422,0.3642322174860946,0.10338240903317135,034020
16,SBS,2020,Q4,커뮤니케이션서비스,0.09215936211759598,0.0137494070456039,-0.05044347534526672,0.030879044146171264,-0.11390501189638413,0.009856764638188853,0.3383103043648658,034120
16,NAVER,2020,Q4,커뮤니케이션서비스,0.12161869244126366,0.041765474924306156,0.14352738029733736,0.030879044146171264,-0.4316568431362644,0.12676190265851472,-0.12525002619150338,035420
16,엔씨소프트,2020,Q4,커뮤니케이션서비스,-0.08463042604976495,0.0374733656880506,-0.021878373356159386,0.030879044146171264,-0.0008429514239188807,0.015349916408715414,-0.12412710673813299,036570
16,대우조선해양,2020,Q4,중공업,-0.182585628916713,-0.17603220657068086,-0.01520345359143549,0.030879044146171264,-0.021462517255050884,-0.03220020084621822,0.35915649211744693,042660
16,두산인프라코어,2020,Q4,중공업,-0.316457462196225,-0.3047475907927446,0.036332556069659905,0.030879044146171264,0.13648934284997383,-0.020019334491156893,0.2743185720484617,042670
16,현대로템,2020,Q4,중공업,0.08083517114286573,0.35747699790544796,0.043298436979515076,0.030879044146171264,0.07611043190576194,-0.035827189841924456,-0.04655100636791496,064350
16,두산엔진,2020,Q4,중공업,0.19865885928451993,-0.04985239697227606,-0.058266041159364956,0.030879044146171264,-0.16038136409277404,0.008627420259814444,0.3212788906987244,082740
16,한진중공업,2020,Q4,중공업,-0.39102079511859045,0.024762346199224572,0.012394066571861373,0.030879044146171264,0.03938851250349362,-0.08648015258687791,0.1713770196377581,097230
