code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,자본금,총포괄손익
145990,Samyang_Foods,생활소비재,2020,Q4,"694,107,000,000","1,303,987,000,000","1,998,094,000,000","312,376,000,000","590,228,000,000","902,604,000,000","1,095,490,000,000",399417000000,-1238000000,-6810000000,-5016000000,-5016000000,"218,531,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2021,Q1,"757,779,000,000","1,356,337,000,000","2,114,116,000,000","519,457,000,000","461,609,000,000","981,066,000,000","1,133,050,000,000",405437000000,17349000000,35382000000,29068000000,29068000000,"235,166,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2021,Q2,"736,671,000,000","1,433,546,000,000","2,170,217,000,000","527,315,000,000","471,614,000,000","998,929,000,000","1,171,288,000,000",451494000000,16161000000,19350000000,12622000000,12622000000,"247,705,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2021,Q3,"743,201,000,000","1,482,197,000,000","2,225,398,000,000","531,156,000,000","485,051,000,000","1,016,207,000,000","1,209,191,000,000",448397000000,6564000000,1209000000,2508000000,2508000000,"250,128,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2021,Q4,"702,759,000,000","1,485,537,000,000","2,188,296,000,000","536,117,000,000","473,268,000,000","1,009,385,000,000","1,178,911,000,000",479097000000,-20603000000,-21115000000,-15293000000,-15293000000,"233,204,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2022,Q1,"811,509,000,000","1,488,177,000,000","2,299,686,000,000","409,515,000,000","686,250,000,000","1,095,765,000,000","1,203,921,000,000",470468000000,5523000000,44879000000,35795000000,35795000000,"256,280,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2022,Q2,"791,917,000,000","1,445,298,000,000","2,237,215,000,000","383,277,000,000","678,658,000,000","1,061,935,000,000","1,175,280,000,000",520350000000,14141000000,7946000000,6497000000,6497000000,"262,669,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2022,Q3,"800,289,000,000","1,423,870,000,000","2,224,159,000,000","374,751,000,000","680,342,000,000","1,055,093,000,000","1,169,066,000,000",517155000000,11268000000,6571000000,6342000000,6342000000,"268,851,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2022,Q4,"807,550,000,000","1,470,908,000,000","2,278,458,000,000","379,823,000,000","677,132,000,000","1,056,955,000,000","1,221,503,000,000",490795000000,6863000000,7454000000,7077000000,7077000000,"287,457,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2023,Q1,"825,060,000,000","1,502,916,000,000","2,327,976,000,000","524,071,000,000","534,617,000,000","1,058,688,000,000","1,269,288,000,000",497152000000,7868000000,38883000000,34550000000,34550000000,"309,527,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2023,Q2,"845,102,000,000","1,490,808,000,000","2,335,910,000,000","531,939,000,000","530,686,000,000","1,062,625,000,000","1,273,285,000,000",520691000000,22126000000,21256000000,16190000000,16190000000,"325,855,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2023,Q3,"903,638,000,000","1,535,195,000,000","2,438,833,000,000","564,763,000,000","541,471,000,000","1,106,234,000,000","1,332,599,000,000",485631000000,16408000000,33304000000,25659000000,25659000000,"351,642,000,000","53,417,000,000",59314000000.0
145990,Samyang_Foods,생활소비재,2023,Q4,"944,876,231,506","1,582,943,641,247","2,527,819,872,753","598,936,976,807","550,999,020,644","1,149,935,997,451","1,377,883,875,302",495292894362,18664179663,18028104709,14677142490,14677142490,"364,489,892,186","53,417,595,000",109667963454.0
145990,Samyang_Foods,생활소비재,2024,Q1,"765,972,894,662","1,633,561,680,819","2,399,534,575,481","510,043,753,019","449,680,448,367","959,724,201,386","1,439,810,374,095",490614082409,19643212752,49628360380,41242857880,41242857880,"387,977,922,810","53,417,595,000",79508737293.0
145990,Samyang_Foods,생활소비재,2024,Q2,"829,602,002,590","1,676,229,716,922","2,505,831,719,512","551,695,196,760","458,962,958,275","1,010,658,155,035","1,495,173,564,477",511969263106,26783183917,30196955434,23844345942,23844345942,"411,728,151,697","53,417,595,000",55363190382.0
145990,Samyang_Foods,생활소비재,2024,Q3,"793,633,042,480","1,699,808,528,216","2,493,441,570,696","496,084,332,126","462,891,681,202","958,976,013,328","1,534,465,557,368",477644643072,20527396634,24817857859,19900257103,19900257103,"431,532,848,092","53,417,595,000",39291992891.0
