code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),이익잉여금,자본금,총포괄손익
145990,Samyang_Foods,생활소비재,2015,Q4,"365,903,000,000","657,209,000,000","1,023,112,000,000","307,890,000,000","112,087,000,000","419,977,000,000","603,135,000,000",1169695000000,55063000000,52267000000,39853000000,39853000000,,,
145990,Samyang_Foods,생활소비재,2016,Q1,"665,703,000,000","894,516,000,000","1,560,219,000,000","433,917,000,000","132,346,000,000","566,263,000,000","993,956,000,000",393020000000,34660000000,37501000000,28438000000,28438000000,,,
145990,Samyang_Foods,생활소비재,2016,Q2,"643,758,000,000","912,449,000,000","1,556,207,000,000","398,024,000,000","134,088,000,000","532,112,000,000","1,024,095,000,000",390222000000,39995000000,38749000000,28826000000,28826000000,,,
145990,Samyang_Foods,생활소비재,2016,Q3,"676,660,000,000","930,687,000,000","1,607,347,000,000","424,066,000,000","132,411,000,000","556,477,000,000","1,050,871,000,000",401799000000,37705000000,36027000000,27440000000,27440000000,,,
145990,Samyang_Foods,생활소비재,2016,Q4,"741,575,000,000","897,016,000,000","1,638,591,000,000","477,385,000,000","117,204,000,000","594,589,000,000","1,044,002,000,000",398312000000,-5580000000,-2821000000,-821000000,-821000000,"162,717,000,000",,
145990,Samyang_Foods,생활소비재,2017,Q1,"789,366,000,000","906,334,000,000","1,695,700,000,000","396,777,000,000","260,977,000,000","657,754,000,000","1,037,946,000,000",383490000000,11263000000,12278000000,8953000000,8953000000,"156,599,000,000",,
145990,Samyang_Foods,생활소비재,2017,Q2,"748,853,000,000","914,960,000,000","1,663,813,000,000","353,811,000,000","262,346,000,000","616,157,000,000","1,047,656,000,000",406699000000,8459000000,9152000000,7880000000,7880000000,"164,450,000,000",,
145990,Samyang_Foods,생활소비재,2017,Q3,"743,737,000,000","919,451,000,000","1,663,188,000,000","342,661,000,000","261,678,000,000","604,339,000,000","1,058,849,000,000",434791000000,18763000000,20156000000,15456000000,15456000000,"179,874,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2017,Q4,"578,321,000,000","1,077,898,000,000","1,656,219,000,000","312,972,000,000","285,383,000,000","598,355,000,000","1,057,864,000,000",399200000000,11635000000,-6059000000,-6710000000,-6710000000,"172,942,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2018,Q1,"567,270,000,000","1,080,173,000,000","1,647,443,000,000","294,995,000,000","286,485,000,000","581,480,000,000","1,065,963,000,000",396080000000,25034000000,28189000000,21542000000,21542000000,"183,222,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2018,Q2,"602,391,000,000","1,084,784,000,000","1,687,175,000,000","318,108,000,000","286,316,000,000","604,424,000,000","1,082,751,000,000",427233000000,29683000000,24116000000,18262000000,18262000000,"201,419,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2018,Q3,"603,934,000,000","1,112,317,000,000","1,716,251,000,000","333,973,000,000","288,470,000,000","622,443,000,000","1,093,808,000,000",411090000000,9626000000,8789000000,6622000000,6622000000,"207,976,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2018,Q4,"484,075,000,000","1,157,044,000,000","1,641,119,000,000","380,949,000,000","202,224,000,000","583,173,000,000","1,057,946,000,000",431621000000,-7438000000,-18411000000,-14271000000,-14271000000,"186,718,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2019,Q1,"693,027,000,000","1,183,971,000,000","1,876,998,000,000","368,703,000,000","454,966,000,000","823,669,000,000","1,053,329,000,000",378523000000,4513000000,11131000000,8875000000,8875000000,"180,466,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2019,Q2,"687,607,000,000","1,204,903,000,000","1,892,510,000,000","363,592,000,000","454,094,000,000","817,686,000,000","1,074,824,000,000",382449000000,12023000000,7971000000,9663000000,9663000000,"192,534,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2019,Q3,"674,977,000,000","1,197,404,000,000","1,872,381,000,000","344,293,000,000","460,178,000,000","804,471,000,000","1,067,910,000,000",398977000000,10583000000,6890000000,1561000000,1561000000,"194,035,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2019,Q4,"615,295,000,000","1,204,987,000,000","1,820,282,000,000","295,246,000,000","470,191,000,000","765,437,000,000","1,054,845,000,000",390852000000,-6018000000,-7785000000,-2991000000,-2991000000,"188,661,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2020,Q1,"782,559,000,000","1,189,619,000,000","1,972,178,000,000","318,620,000,000","604,304,000,000","922,924,000,000","1,049,254,000,000",375553000000,16043000000,32618000000,26065000000,26065000000,"204,625,000,000","53,299,000,000",
145990,Samyang_Foods,생활소비재,2020,Q2,"751,890,000,000","1,216,043,000,000","1,967,933,000,000","292,665,000,000","609,359,000,000","902,024,000,000","1,065,909,000,000",360299000000,7174000000,8067000000,7045000000,7045000000,"211,635,000,000","53,417,000,000",
145990,Samyang_Foods,생활소비재,2020,Q3,"752,050,000,000","1,231,460,000,000","1,983,510,000,000","292,897,000,000","612,570,000,000","905,467,000,000","1,078,043,000,000",389501000000,18678000000,16311000000,12234000000,12234000000,"223,466,000,000","53,417,000,000",
