,name,year,quarter,sector,Relative Return,영업이익 변화율,실업률 변화율,매출액 변화율,국제유가 변화율,자본총계 변화율,이익잉여금 변화율,전체 주식 수 변화율,전체 주주 수 변화율,비유동자산 변화율,Label,Code
9,S-1_Corporation,2022,Q2,일반서비스,0.05481521401127212,0.09624960458562726,0.033707865168539186,-0.06012839654940105,-0.13207484462760455,-0.02495825980299915,-0.028037665806536438,-0.0,-0.0,0.009501381870912984,0.06920341198614577,012750
9,Daekyo,2022,Q2,일반서비스,0.06519031235763562,0.5118680988146277,0.033707865168539186,0.03503868236527974,-0.13207484462760455,0.026846911749433877,0.017818839221994454,-0.0,-0.0,0.011164693971728923,-0.10030037533033712,019680
9,Coway,2022,Q2,일반서비스,0.010145538759978479,0.13813782713859424,0.033707865168539186,0.014113879049217903,-0.13207484462760455,-0.06964500421491104,-0.07614660874291945,-0.0,-0.0,-0.024772164227347515,0.09845226960016407,021240
9,Samsung_Engineering,2022,Q2,일반서비스,0.22354382051429783,-0.17039497133420722,0.033707865168539186,-0.10672601590395492,-0.13207484462760455,-0.07343947661075467,-0.1606491751843806,-0.0,-0.0,-0.0031076091452479915,-0.00875428867657324,028050
10,Cheil_Worldwide,2022,Q2,일반서비스,0.11460385218568321,-1.1921778872352817,0.033707865168539186,-0.12912124102287814,-0.13207484462760455,-0.04279054587673503,-0.03498190674739776,-0.0,-0.0,-0.039504957280382724,0.17310501447898008,030000
9,KEPCO_E&C,2022,Q2,일반서비스,-0.016259907710334753,2.032622992076954,0.033707865168539186,-0.183696836617115,-0.13207484462760455,-0.02510940167250797,-0.024980390790592777,-0.0,-0.0,0.0056031144536942135,-0.014586354169582011,052690
