video_id,published_at,view_count
6bbxlZHgSCY,2021-08-14T02:30:00Z,88125
cN21euEQ6UM,2021-08-13T08:38:37Z,12516
Knv4clxIut0,2021-08-13T08:17:03Z,1740
RvXyoux5qVI,2021-08-13T08:13:22Z,1260
S6YM86aMom0,2021-08-13T07:43:30Z,27310
wZZ_Nlg1WME,2021-08-13T06:54:12Z,84961
ZNJdZWjrNqU,2021-08-13T06:21:10Z,3861
thq6XgcY5ck,2021-08-13T06:19:33Z,15172
P8Sb2B4fO34,2021-08-13T06:20:00Z,2696
hzmRAovd_yk,2021-08-13T04:43:44Z,3094
1tvnmH76n-0,2021-08-13T02:21:31Z,3479
LB70H1tPDgk,2021-08-13T02:21:27Z,5252
DMc87C5sk2w,2021-08-13T02:21:24Z,21495
g3sKXYvwC04,2021-08-13T01:44:25Z,2646
ex5EReORgwg,2021-08-13T01:15:05Z,6592
gkCxSUQSrW0,2021-08-13T01:15:03Z,2018
VcaaNB5cxc0,2021-08-13T01:15:10Z,3449
9555v5xwRjk,2021-08-13T00:16:59Z,4648
1SnsnDIw8B8,2021-08-12T08:11:39Z,4396
yCbpvGjtTFY,2021-08-12T07:44:39Z,47042
UMBn1pkzlpg,2021-08-12T06:43:52Z,2935
rwk-TKjM380,2021-08-12T06:23:02Z,75967
NhHrAmnTUNk,2021-08-12T06:20:42Z,34587
-LcW5eIzIlk,2021-08-12T02:24:29Z,11112
qG-HrZcf5Ro,2021-08-12T02:24:31Z,6050
d3BZTvwDkRw,2021-08-12T02:24:26Z,3042
IzYA5QDYhgs,2021-08-12T01:18:20Z,11356
clO2iIYZrLk,2021-08-12T01:18:12Z,1408
jRDvGPZs0C4,2021-08-12T01:18:16Z,2236
ZluEYh-Agp0,2021-08-12T00:12:25Z,6936
ODO8JBNaIno,2021-08-12T00:12:22Z,4497
MwCvdnchb1I,2021-08-11T09:30:05Z,2461
f1vUCeuRsxA,2021-08-11T08:49:26Z,14952
do8YgN1m11k,2021-08-11T08:48:48Z,1687
VZJlgVQUXPg,2021-08-11T08:46:20Z,1344
OnIZsYrWEGU,2021-08-11T07:44:54Z,41316
7NNJYzidf-U,2021-08-11T06:42:34Z,18475
VkNpjxNDBvE,2021-08-11T06:43:29Z,2873
r1J0Oi4xIZY,2021-08-11T06:43:02Z,3136
rFVITVO__rQ,2021-08-11T02:16:49Z,5602
AVvRC-a9XaI,2021-08-11T02:16:52Z,5377
E_LXQEJfrN8,2021-08-11T02:16:45Z,2334
BnD5tJ-5_o8,2021-08-11T02:16:42Z,2539
f_568GOKp0M,2021-08-11T01:20:47Z,4237
vNYtz-KM7BE,2021-08-10T23:55:02Z,5063
9LOed-jiY3w,2021-08-10T08:21:49Z,1500
vcvlb9gB2Wo,2021-08-10T08:18:17Z,2074
EqiBT4YM6rg,2021-08-10T07:47:13Z,36240
oX3s1H9IEc4,2021-08-10T06:51:29Z,6626
