,video,text,mix,total
accuracy,0.4862910515215426,0.5135617416131335,0.4800179613830265,0.4896699121348848
precision,0.3907103825136612,0.45837837837837836,0.3389694041867955,0.36894824707846413
recall,0.5478927203065134,0.7014061207609594,0.5554089709762533,0.5811965811965812
f1,0.45614035087719296,0.5544295521412226,0.421,0.45136584120500384
