,video,text,mix,total
accuracy,0.5112985839108165,0.5460385438972163,0.5325550067355186,0.5219662787936357
precision,0.4907103825136612,0.5491891891891892,0.5161030595813204,0.49874791318864775
recall,0.5654911838790933,0.6987620357634112,0.5929694727104533,0.5954160438465371
f1,0.5254534815681685,0.6150121065375302,0.5518725785622041,0.5428117192823075
