,name,year,quarter,sector,Relative Return,부채총계 변화율,법인세차감전 순이익 변화율,영업이익 변화율,이익잉여금 변화율,기말 소유주식 지분율 변화율,발행할 주식 총수 변화율,Label,Code
3,CJ대한통운,2024,Q1,산업재,-0.1547180404880492,0.05289884812910506,0.2808752638658165,-0.21363938440008035,0.07074070785025177,0.0,0.0,-0.1259301080721996,000120
3,두산,2024,Q1,산업재,0.10206862428119036,0.07277094454127409,-1.1935685876115754,-3.863689758255348,-0.007741589103934188,0.0,0.0,-0.06923830917995541,000150
3,SK하이닉스,2024,Q1,정보기술,0.11249804517776539,-0.010150928682304272,-2.498817908099369,5.606328350051807,0.039282082296707044,0.0,0.0,0.0056832299734496106,000660
3,LG상사,2024,Q1,산업재,0.09138954505394946,0.10323538641768604,-2.051640204687373,-1.0105086276403703,0.020118772962443687,0.0,0.0,0.06237257237707773,001120
3,대한항공,2024,Q1,산업재,-0.037283942385047716,0.036721955339862555,-3.215508431292649,1.3749210920963248,0.023675022679338964,0.0,0.0,-0.017479234017668807,003490
3,LG,2024,Q1,정보기술,-0.12895686160619435,1.3091898932013546,7.695258401470991,7.163610369805566,-0.009357032896905704,0.0,0.0,0.014990612373758504,003550
3,S&T중공업,2024,Q1,산업재,-0.09528477142670433,0.16839229420251556,0.10698565127092441,0.4221185922500701,0.0007642893365411574,0.0,0.0,0.4689799638747659,003570
3,한솔테크닉스,2024,Q1,정보기술,-0.15300954610124376,-0.07157400601903285,-0.45422298947064643,-1.5569285044163248,-0.013763496123470942,0.0,0.0,-0.09422747279971624,004710
3,삼성전자,2024,Q1,정보기술,0.047702561994951,0.10926006647887121,-7.928767999689134,-2.1461279115244842,0.03311669860857869,0.0,0.0,0.0027033693163534683,005930
3,LS,2024,Q1,산업재,0.34850869424526626,0.08715516121443634,-0.4040847201210287,-0.7741633088532334,-0.0005971759454114212,0.0,0.0,-0.24293722100426013,006260
3,삼성SDI,2024,Q1,정보기술,0.009525937278218849,0.01495787155751227,11.151012569769714,-0.7893665752254819,0.09798548109025274,0.0,0.0,-0.2315671435127912,006400
3,대덕전자,2024,Q1,정보기술,-0.06674507553379483,5.613038827206853,1.5585760032998057,42.045227189506306,-0.469732299144235,0.0,0.0,0.01728136942842861,008060
3,삼성전기,2024,Q1,정보기술,0.02335757977844198,0.22063013071894155,8.476357018294511,4.845551623424415,-0.2518569297624933,0.0,0.0,-0.027343267338761988,009150
3,LS산전,2024,Q1,산업재,0.8578650795120816,0.033000929796214606,0.778613060008218,0.13016133617599923,-0.006866334621989045,0.0,0.0,0.009497192626590809,010120
3,LG이노텍,2024,Q1,정보기술,0.1606896058921845,-0.07577562466440424,-0.8426752266650201,-0.8469276274696967,-0.008968037712923205,0.0,0.0,0.04724155281540375,011070
3,현대상선,2024,Q1,산업재,0.19873514388032848,0.16352268745294563,0.36484650297409305,8.37023170387115,-0.007370351452264945,0.0,0.0,-0.010078659241433162,011200
3,삼성에스디에스,2024,Q1,정보기술,-0.006366101160077395,0.03595029978409636,-0.022956943215733938,0.007035174162818292,-0.015305887106609184,0.0,0.0,-0.0688738226729983,018260
3,일진머티리얼즈,2024,Q1,정보기술,0.12988259365044488,0.047157118147216126,0.056544280426434,0.6220552888394646,0.046878945695849605,0.0,0.0,-0.2064863183738475,020150
3,한국단자,2024,Q1,산업재,0.00548630299180605,0.2403109822896794,32.48371795238805,0.49744328718741637,0.027186475489380246,0.0,0.0,0.07311816833167689,025540
3,신도리코,2024,Q1,정보기술,0.0013086710792757292,0.30838381110649915,7.295478281571885,5.20063137188925,0.008939836854807925,0.0,0.0,0.05250804077341569,029530
3,LG디스플레이,2024,Q1,정보기술,-0.0027540579290950915,0.017313894469540125,5.974546224927876,1.9632454987454389,-0.535673096079295,0.0,0.0,0.06870928476030173,034220
3,SK,2024,Q1,정보기술,-0.04355379692717054,0.013318428692377093,-2.3396215190232015,3.7406648736552413,0.023385026222556338,0.0,0.0,-0.10748432094858457,034730
3,한미반도체,2024,Q1,정보기술,0.3914876399004474,-0.03764783196361199,-0.1771356890108472,0.5168432300440229,0.13437877124104203,0.0,0.0,-0.15253733602420821,042700
3,대우인터내셔널,2024,Q1,산업재,-0.11527432061382126,0.014739706997640267,1.4398469039904045,0.18663652292004573,-0.007639298934582706,0.0,0.0,0.10690412009333883,047050
3,한국항공우주,2024,Q1,산업재,0.09296132749681894,0.006262303059737073,-0.6716951279582908,-0.659692010466755,-0.0074097498875997925,0.0,0.0,0.07204050007779231,047810
3,한전KPS,2024,Q1,산업재,-0.03023632796750363,0.4795280509582436,-0.06572138999679378,-0.13388276511835173,-0.03883438797200123,0.0,0.0,0.18746284167932897,051600
3,LG전자,2024,Q1,정보기술,-0.04061272153304085,0.03602787226039772,-2.0335556740478418,-1.6798712246044825,0.10285989373190652,0.0,0.0,0.009470725120391758,066570
3,현대글로비스,2024,Q1,산업재,-0.018335692196950578,0.0742964957739447,0.3951859333968333,0.07185791515867002,0.016770334572909773,0.0,0.0,0.22746051117935,086280
