,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,비유동부채 변화율,매출액 변화율,자본총계 변화율,자산총계 변화율,Label,Code
1,CJ대한통운,2024,Q3,산업재,-0.045049518370987585,-0.006302671640738167,0.09502698350049466,0.005187456273483715,-0.010088860684109857,0.02857706809806615,-0.006784793883670703,0.07174232802373501,000120
1,두산,2024,Q3,산업재,0.576339132409057,-0.0026689140665191458,0.5109359954514094,0.03356570808673642,0.06337635632972272,0.0007597759747115518,-0.00398377215671053,0.2714160839160839,000150
1,한화,2024,Q3,에너지_화학,0.06275613215673034,-0.041729297853612346,-3.7098154709861486,-0.09599025573427344,-0.1924395711144048,0.08306633262776653,-0.08259764073338116,0.49845922369954465,000880
1,LG상사,2024,Q3,산업재,0.03935304208420444,0.03415793284259494,0.7486641129985223,-0.0041006752566593585,-0.038272590118182515,0.03046366516724719,-0.005618702851098112,-0.15531093906093915,001120
1,한국쉘석유,2024,Q3,에너지_화학,0.12008604781721018,0.05239294386006765,-0.07240830460325587,0.028741787889388082,-0.09271770120276523,0.06723525630461658,0.027366168987307482,-0.16438000813000822,002960
1,태광산업,2024,Q3,에너지_화학,0.19670176248602217,-0.003509457340576838,-1.8704364179557542,-0.005700423963787782,-0.07412470706617935,-0.003500760416358495,-0.013120883230386293,0.09028906093906083,003240
1,대한항공,2024,Q3,산업재,0.23188828067207462,0.03233988013205469,0.49637124816425837,-0.006323333502299078,0.05394705284783585,0.02775188395410888,0.00854260442095156,-0.10632004797777332,003490
1,S&T중공업,2024,Q3,산업재,0.16573363957244888,0.02484415139166729,-0.6791011322562474,0.016788129235203897,0.1816988099725767,0.017041432052964156,-0.04319808392009228,0.09611893425387576,003570
1,삼성정밀화학,2024,Q3,에너지_화학,-0.03877385162564892,0.06713336021594163,-0.4318236658958263,0.3599549420007455,-0.007172314660319978,0.005628944538309311,0.0072942134459301755,0.04858521292784245,004000
1,효성,2024,Q3,에너지_화학,0.28848431621547854,0.042502933192337666,3.543180483346549,0.005276949889101212,0.16787877141961283,0.17840303199905816,-0.17269200946333496,-0.0896235370320736,004800
1,SK케미칼,2024,Q3,에너지_화학,0.12280287122368874,0.0014245585343759526,-4.5573884241208615,-0.13852483399595428,-0.4855725964224076,-0.006802713655715387,-0.033899313158870514,0.06816567053636018,006120
1,LS,2024,Q3,산업재,0.01240458199620946,0.005982618939186057,-0.7030805849065527,-0.195411003520775,-0.6599505404100614,0.00943302674145774,0.001988358883869168,0.14085914085914092,006260
1,대한유화,2024,Q3,에너지_화학,-0.00892081771309286,-0.015665792509759524,2.629296361654798,-0.04580782011173745,-0.07874487708874967,-0.01445316154697418,-0.10452292781465689,0.03147620535888695,006650
1,국도화학,2024,Q3,에너지_화학,-0.014387877679587185,-0.0022936243498640208,-0.505475903631534,-0.031222987139399083,-0.10251481340752966,0.003570127796469036,0.01019131870947132,0.09592852061198565,007690
1,한화케미칼,2024,Q3,에너지_화학,-0.2414832138755157,0.12468931338052514,-0.18047620235663453,-0.018167803681836237,-0.05119835160781938,0.23518798440620925,0.10393933758183738,0.10403782829746315,009830
1,OCI,2024,Q3,에너지_화학,-0.1191115966435922,0.0011104228814364792,-0.2567304679699115,-0.03071776033602891,0.030571646540446196,-0.0026446490745207774,-0.006617776808890308,0.309120017306637,010060
1,LS산전,2024,Q3,산업재,-0.06381382043048417,0.03201942396343882,-0.5257982180559033,0.020712042656489738,-0.11220890609112488,0.032644571991981675,-0.0009236683270209545,0.3872234582002677,010120
1,S-Oil,2024,Q3,에너지_화학,-0.05363911926143122,0.04133594836170751,-3.6002677309179165,0.05138560648905588,-0.07717226963236568,-0.024742909552560977,0.026261734541191295,-0.016189315271884025,010950
1,롯데케미칼,2024,Q3,에너지_화학,0.04915451021900591,0.003103622983274823,3.484215176918104,-0.07350676508907938,-0.0004955724455830701,-0.020762238907533592,-0.03316362577997034,-0.08117744324640883,011170
1,현대상선,2024,Q3,산업재,-0.005130339658099628,0.010075579932693923,1.295161239429509,0.1427514916750856,0.3427399470760817,0.02058623097888046,0.023091545925471246,0.24701674434638393,011200
1,금호석유,2024,Q3,에너지_화학,-0.08354305760830244,-0.017422919512980806,-0.509554063761433,-0.10746369862851379,0.017607915869501944,7.668159743112746e-05,-0.04849809207881661,-0.007139043451892667,011780
1,SKC,2024,Q3,에너지_화학,0.01559470582586818,0.2571833704343083,-9.010676724329246,0.4627049254410731,33.96021431497434,0.06755188631584153,0.2525960756659005,0.11604806357164844,011790
1,한솔케미칼,2024,Q3,에너지_화학,-0.20445172140632356,0.0017722113148566088,0.014221503052985751,0.0038591427274632384,-0.04315330301306575,0.022888136743416165,0.012123668204307547,0.07914744131388983,014680
1,동원시스템즈,2024,Q3,에너지_화학,0.19999148706067277,-0.009817927511992064,-0.09705101741963207,0.7252483064224444,0.010764617626206174,0.016398013539792755,0.014550312327439974,-0.28322037825217855,014820
1,유니드,2024,Q3,에너지_화학,-0.16423103730031866,-0.01101062267283981,-0.32652085717888746,0.005189697163118234,-0.05561864389743998,0.024542642347489485,-0.02208545743049628,0.2715443441029275,014830
1,한국단자,2024,Q3,산업재,0.2847673435329886,-0.01200630737140762,-0.07009453355132511,0.028681776273532522,-0.06136229193623122,0.010382959442039263,-0.05290025323161773,-0.17045873283423083,025540
1,남해화학,2024,Q3,에너지_화학,0.030924357925593268,-0.014504244989319015,-0.7414755158871558,0.05186196993304115,-0.2001110883689977,0.0005325860275373628,-0.04020067206787681,-0.05337545518997141,025860
