,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,영업이익 변화율,당기순이익(손실) 변화율,Label,Code
24,CJ대한통운,2018,Q4,산업재,0.07043111948977278,0.010882751276726443,-0.0072155166627028144,0.04576171443330579,0.8281898675671915,-0.7862285628537949,-0.057470813195633685,000120
24,두산,2018,Q4,산업재,-0.30989866906136915,0.006149277662536257,-0.012012215080817845,-0.013176231783023962,-0.42375896149490544,-0.7452382319602966,0.13127068222442065,000150
24,SK하이닉스,2018,Q4,정보기술,0.013620315698057415,0.095773582265958,0.08221800444964988,0.07892529139037774,-0.3200266229148617,-0.26364043282968397,0.022116044834338114,000660
24,LG상사,2018,Q4,산업재,-0.02870096063856419,-0.04268065861495218,-0.04696675116760329,-0.011446538188160993,98.75269630737392,-2.047272335009393,0.181306290981106,001120
24,대한항공,2018,Q4,산업재,0.05916233969037817,0.010343593010539776,0.0030975194373583648,-0.19359411626687817,-1.002571853636984,-1.5077636237086391,0.07134702827584788,003490
24,LG,2018,Q4,정보기술,0.11076262153853225,-0.002510917896369369,-0.0038325297900534405,0.00680038383213355,0.0021151039573594765,0.9678177691309986,-0.03998054592638056,003550
24,S&T중공업,2018,Q4,산업재,0.10331555535117505,0.0009266579989923862,-0.008342324903499398,0.022317821933477866,-13.032154603690781,278.9854389847946,0.09586689637157052,003570
24,한솔테크닉스,2018,Q4,정보기술,-0.015083028676038336,-0.0956295067111026,-0.151907994117373,-0.1071317595055471,-1.2123150310105608,-9.331453751843602,-0.10454769372988504,004710
24,삼성전자,2018,Q4,정보기술,-0.022224584059598457,0.0227146164073897,0.005610266847145828,0.019623566388952796,-0.4583206141546615,-0.40526783990047344,-0.02107237114168848,005930
24,LS,2018,Q4,산업재,-0.060650721129957924,0.0358843788403953,0.056077289609830494,0.09225264814388678,104.67848309975268,-109.6198347107438,-0.1222036117494694,006260
24,삼성SDI,2018,Q4,정보기술,-0.041232484812600945,0.03476591199386059,0.02756140777365923,0.018740675894369785,0.36671867231300226,1.5815274708739526,0.035160041458900955,006400
24,대덕전자,2018,Q4,정보기술,0.07095004237252954,1.449266837790549,0.8886754161196835,0.9396622685129763,-0.347311963024872,22.800655258464708,0.09486984104543747,008060
24,삼성전기,2018,Q4,정보기술,-0.0925596562907381,0.024062960819031698,-0.034324518272358495,0.0074118828466815945,-0.30765014440536054,-0.4449448060730731,-0.03290288743577899,009150
24,LS산전,2018,Q4,산업재,-0.020304365285447098,0.07517656905912751,0.0317966046698579,0.06808711541882517,-0.24004357876963667,-0.06445079257617525,-0.01623538930656971,010120
24,LG이노텍,2018,Q4,정보기술,0.12074609283818175,-0.04493592278010583,-0.04849515500294066,0.03793469395634608,-0.02247619274106194,-0.19938061425389908,-0.036996867470063546,011070
24,현대상선,2018,Q4,산업재,-0.11673145047657724,0.0057894874515465045,0.18920001187848068,1.6922668674988057,-0.4166831311494843,0.6189943682466115,0.025780716531796696,011200
24,삼성에스디에스,2018,Q4,정보기술,0.24125099060953142,-0.004598999392210978,0.022143059962152822,0.014874672054599358,0.2647661948916207,-0.11692416038089748,-0.09472040782301007,018260
24,일진머티리얼즈,2018,Q4,정보기술,-0.2608954266112403,0.05947430436795953,0.008172767683043203,0.0072219132587121315,-0.5359754014349163,-0.2179599719101124,-0.07611249262822245,020150
24,한국단자,2018,Q4,산업재,0.6870521827515407,0.029007986828605725,-0.0324899006472974,0.005688613725303826,0.6003886916014474,0.5917092641145516,-0.0544419065567798,025540
24,신도리코,2018,Q4,정보기술,0.01480141337080514,-0.01374327120786123,-0.0011797057090132679,0.005154494375656293,-0.7552711560273313,0.041950007248301446,0.09859518580070091,029530
24,LG디스플레이,2018,Q4,정보기술,0.051815114210444616,-0.00628310575291402,-0.026822755601240256,0.0036305948027255397,-0.4316718064041405,0.376659648519744,-0.06921067875846332,034220
24,SK,2018,Q4,정보기술,-0.02744038902663689,0.027033630591327906,0.02140057853348365,0.03674387683408398,-0.6526133410337858,4.525275880189175,-0.03859359535774201,034730
24,한미반도체,2018,Q4,정보기술,-0.10086187709617259,0.020755262171659128,-0.022782721251304983,0.023843689697654824,-0.5894126477318979,-0.44998694144624374,0.020535195476559645,042700
24,대우인터내셔널,2018,Q4,산업재,-0.10590625140546793,-0.0168624613829651,-0.047187696466937545,-0.023190704456221845,0.21675778002002466,-3.2141333076506946,0.004617301078611118,047050
24,한국항공우주,2018,Q4,산업재,0.0739380664375445,0.004427637110924865,-0.09178961666470642,0.04420187278788634,64.87674022585777,-2.5105267820761865,-0.09533826011996684,047810
24,한전KPS,2018,Q4,산업재,0.219485130318002,0.1023155469259458,0.04235192860695669,0.07727039410526926,4.560922183755156,4.290263731878178,0.015199673169765011,051600
24,LG전자,2018,Q4,정보기술,0.053427617929294735,0.01895296100298527,-0.03523232164878809,-0.0882623594471662,-3.4894262831251295,-6.019311952803472,-0.017636574388479785,066570
24,현대글로비스,2018,Q4,산업재,0.045244140944131386,-0.01382395283927762,0.010628870164153037,0.02705349048090211,0.10288765951173717,0.047158648411641524,0.22141385748532166,086280
