,name,year,quarter,sector,Relative Return,매출액 변화율,부채총계 변화율,이익잉여금 변화율,국제유가 변화율,Label,Code
20,조선내화,2019,Q4,철강_소재,-0.0801617267083218,0.04947619067499853,-0.05320443460341451,4.900716840183783e-05,0.023897949297593923,-0.024622085199050528,000480
20,영풍,2019,Q4,철강_소재,-0.06864437869804776,0.07791550939315761,0.028541384640955236,0.0006865780568088287,0.023897949297593923,-0.003615429771146275,000670
20,동국제강,2019,Q4,철강_소재,-0.23015265352589184,-0.035806126529388305,-0.0748440940437829,-0.18384996626953887,0.023897949297593923,-0.053165258989395614,001230
20,세아베스틸,2019,Q4,철강_소재,-0.40263041274606515,-0.04951344776103406,-0.12195306249192017,0.0001673092613412308,0.023897949297593923,0.24359554903487962,001430
20,고려제강,2019,Q4,철강_소재,-0.20833910725425817,0.21932391456189237,0.050270570682384275,-0.0007454155113812977,0.023897949297593923,-0.12138879456848223,002240
20,세아제강,2019,Q4,철강_소재,-0.35538363092121505,-0.36547892166791807,0.1422601377891144,-0.005547260154636691,0.023897949297593923,0.10991942409237912,003030
20,현대제철,2019,Q4,철강_소재,-0.27326187784493083,-0.0758989351652889,0.012281897947059806,-0.0039925271403978835,0.023897949297593923,0.05098678120487285,004020
20,삼광글라스,2019,Q4,철강_소재,0.012278646620486292,-0.3440800095644476,-0.14204567905007237,-0.009756145967281693,0.023897949297593923,-0.0531710791857181,005090
20,POSCO,2019,Q4,철강_소재,-0.07712050684768068,-0.05049242677936017,0.11049080098585029,-0.016871556009375732,0.023897949297593923,-0.042554001004863784,005490
20,무림P&P,2019,Q4,철강_소재,-0.24961119541443214,0.05132508360674959,0.024318740706834818,-0.06630193629145975,0.023897949297593923,0.10381897105605445,009580
20,고려아연,2019,Q4,철강_소재,0.021251591094046646,0.031081369166776618,-0.16855073314732716,0.01689913287346312,0.023897949297593923,-0.09218948577928142,010130
20,SK텔레콤,2019,Q4,커뮤니케이션서비스,-0.10149247594003277,-0.02294654050248146,0.04933378335003735,-0.0017526261261773257,0.023897949297593923,0.07940777204222457,017670
20,제일기획,2019,Q4,커뮤니케이션서비스,-0.1738042851186514,0.1893288738765202,0.05359513309707009,0.036459502227314644,0.023897949297593923,0.026178521617852196,030000
20,KT,2019,Q4,커뮤니케이션서비스,-0.09588076184712982,-0.0211455330340381,0.050638006220205645,-0.007571227163839733,0.023897949297593923,0.13154985149695408,030200
20,LG유플러스,2019,Q4,커뮤니케이션서비스,-0.07482400882100962,-0.09971091421869294,0.09245193805668572,0.01766951559496599,0.023897949297593923,0.255394207892362,032640
20,SBS,2019,Q4,커뮤니케이션서비스,0.18947890815746865,0.38030786842616804,0.10586443058549078,0.04601798598165985,0.023897949297593923,-0.11715481171548114,034120
20,NAVER,2019,Q4,커뮤니케이션서비스,0.13536923815287016,-0.005249405310599364,-0.29537083661249974,0.03593070992352221,0.023897949297593923,0.2515951882845189,035420
20,엔씨소프트,2019,Q4,커뮤니케이션서비스,0.34424826146030635,0.43246140455546533,0.22408629656046553,-0.027661359168061006,0.023897949297593923,0.11525108026487893,036570
20,풍산,2019,Q4,철강_소재,-0.03890384237774755,0.26955689268265726,-0.10251896925290549,-0.00849072713251564,0.023897949297593923,0.013408986504103437,103140
20,한국철강,2019,Q4,철강_소재,-0.17810207629883643,0.059233903365912166,-0.03772010357394129,-0.04462145827549968,0.023897949297593923,0.2499548228360139,104700
