,Code
1,000050
1,000080
1,000240
1,000270
1,001040
1,001680
1,001740
1,001800
1,002350
1,002790
1,003200
1,003620
1,003920
1,004150
1,004170
1,004370
1,004490
1,004700
1,005180
1,005300
1,005380
1,005440
1,005610
1,005740
1,005850
1,007070
1,007310
1,007340
1,007860
1,008770
1,009240
1,009680
1,010690
1,011210
1,012330
1,012750
1,015760
1,018880
1,019680
1,020000
1,021240
1,023530
1,028260
1,033530
1,033780
1,033920
1,035250
1,036460
1,036580
1,049770
1,051900
1,060980
1,064960
1,069960
1,073240
1,078520
1,079430
1,084870
1,090430
1,093050
1,097950
1,105630
1,111770
1,114090
1,115390
1,139480
1,145990
1,161390
1,161890
1,192820
