,name,year,quarter,sector,Relative Return,이익잉여금 변화율,영업이익 변화율,매출액 변화율,자본총계 변화율,비유동부채 변화율,비유동자산 변화율,Label,Code
1,한화,2025,Q1,에너지_화학,0.17635879983156405,0.004528264110513325,0.7370167389389137,-0.22175688210039768,-0.00832593156103012,0.09529429124366118,-0.006912841186432095,0.37035742952663775,000880
1,한국쉘석유,2025,Q1,에너지_화학,0.21533537672948921,-0.16937843887948312,0.6778317117515131,0.18032422760178468,-0.15862228557937985,0.006634396624022321,0.016283683694880757,-0.07166661728105214,002960
1,태광산업,2025,Q1,에너지_화학,0.13106786546556265,0.00752617658376864,-2.5757427123117864,0.056794332613775866,0.007838284693686637,-0.012018666823570001,0.021227789020929144,-0.14802015295162116,003240
1,삼성정밀화학,2025,Q1,에너지_화학,-0.10957164280619569,0.0046362974633504805,0.6410563084957117,0.03732372604616896,0.00366246082664623,-0.04121887819623149,-0.00024951897288627567,-0.08495555658074844,004000
1,효성,2025,Q1,에너지_화학,0.1271137855865498,0.0019059481570029568,-0.4230443165423847,0.1512614508527792,0.008836021967171037,0.05574289579528502,0.026431330059255576,0.37891104018498933,004800
1,SK케미칼,2025,Q1,에너지_화학,0.07407128647127777,-0.001497140829862631,-0.008661515372250794,-2.4143492570729683,0.012623303110631534,0.3419716409680198,0.0027933740827921216,0.01102179605155143,006120
1,대한유화,2025,Q1,에너지_화학,-0.15352335505059084,-0.007888950349988155,0.07989412810466501,0.04202298865839782,-0.006473871952093813,-0.08786028124391199,-0.02219789340446665,-0.06302938579653794,006650
1,국도화학,2025,Q1,에너지_화학,0.11214652330462523,0.005505683511892068,0.032220177720145626,0.008653778176484828,0.006434776092104855,0.3427024556483853,-0.026060356662944595,-0.10529559867493418,007690
1,현대중공업,2025,Q1,중공업,0.39973562702195053,0.0037880445491726977,13.585758180319012,1.846137921172943,0.005454522258065531,0.0443007923005041,0.005498385350365842,0.08874260535887615,009540
1,한화케미칼,2025,Q1,에너지_화학,0.8094103296222243,-0.016617493084386314,-4.826724947876521,-0.16003559858966965,-0.017127229724988036,0.04766060591276866,0.012690188646150347,-0.4676966582944925,009830
1,OCI,2025,Q1,에너지_화학,0.008874447626754387,-0.011861832632632185,-7.936254772016225,10.961389839687456,-0.0026646407734188804,0.23850674869259847,0.030000482562557274,0.04399542346640642,010060
1,삼성중공업,2025,Q1,중공업,0.014751084850146621,-0.04455635248768164,-0.3657641073715687,-0.07692948150498657,0.018424687586046318,-0.08881891478367643,-0.02431955987510659,0.06362675018207767,010140
1,현대미포조선,2025,Q1,중공업,0.6554456452977199,0.013252770173549644,0.5948517752914293,-0.17188031672324933,0.009536872904918337,-0.33306433003381397,-0.00887750268891363,-0.14621821772255322,010620
1,S-Oil,2025,Q1,에너지_화학,-0.09099238497245096,-0.004393064210813424,-1.1015078774765028,0.01218250303855406,-0.003317135993126552,0.14545614354198988,0.0456551627857551,-0.07151242891848197,010950
