trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-02,2021-01-25,0.0,25200,27750,0.1012,
2021-02-10,2021-02-18,0.0,26850,27050,0.0074,
2021-03-10,2021-03-26,-1.0,27050,30300,0.1201,NP
2021-04-04,2021-04-04,0.0,30500,30850,0.0115,
2021-05-10,2021-05-15,0.0,35700,34750,-0.0266,
2021-06-01,2021-07-01,0.0,31000,31150,0.0048,
2021-07-05,2021-07-27,1.0,31600,30950,-0.0206,PN
2021-08-17,2021-08-17,0.0,28600,27900,-0.0245,
2021-09-01,2021-09-19,0.0,27550,29700,0.078,
2021-10-03,2021-10-21,0.0,36400,28900,-0.206,
2021-11-01,2021-11-29,1.0,27200,23800,-0.125,PN
2021-12-14,2021-12-24,2.0,25250,27250,0.0792,PP
2022-01-10,2022-01-24,1.0,26000,24600,-0.0538,PN
2022-02-14,2022-02-28,-1.0,27500,29550,0.0745,NP
2022-03-07,2022-03-29,1.0,32500,33900,0.0431,PP
2022-04-06,2022-04-30,2.0,34500,38450,0.1145,PP
2022-05-01,2022-05-23,1.0,38000,37550,-0.0118,PN
2022-06-02,2022-06-20,1.0,37950,35950,-0.0527,PN
2022-07-18,2022-07-29,3.0,29300,32800,0.1195,PP
2022-08-02,2022-08-17,1.0,33150,35300,0.0649,PP
2022-09-01,2022-09-14,0.0,43050,47200,0.0964,
2022-10-10,2022-10-26,0.0,40700,40300,-0.0098,
2022-11-07,2022-11-18,2.0,41900,39850,-0.0489,PN
2022-12-01,2022-12-30,0.0,41400,33950,-0.18,
2023-01-03,2023-01-30,1.0,32550,34650,0.0645,PP
2023-02-02,2023-02-24,1.0,35450,32650,-0.079,PN
2023-03-07,2023-03-30,0.0,32050,29150,-0.0905,
2023-04-04,2023-04-25,1.0,29500,30350,0.0288,PP
2023-05-05,2023-05-31,2.0,31000,30200,-0.0258,PN
2023-06-01,2023-06-29,1.0,30200,34100,0.1291,PP
2023-07-10,2023-07-27,1.0,34500,36400,0.0551,PP
2023-08-05,2023-08-21,0.0,35750,32550,-0.0895,
2023-09-07,2023-09-28,1.0,29700,28550,-0.0387,PN
2023-10-06,2023-10-31,2.0,26500,24850,-0.0623,PN
2023-11-07,2023-11-22,1.0,28000,30050,0.0732,PP
2023-12-01,2023-12-28,1.0,29850,29400,-0.0151,PN
2024-01-06,2024-01-31,-1.0,27500,28200,0.0255,NP
2024-02-05,2024-02-23,-2.0,28050,28150,0.0036,NP
2024-03-07,2024-03-25,0.0,26850,25850,-0.0372,
2024-04-01,2024-04-25,3.0,27150,26200,-0.035,PN
2024-05-07,2024-05-27,-1.0,28650,31850,0.1117,NP
2024-06-03,2024-06-24,0.0,31750,29400,-0.074,
2024-07-05,2024-07-31,0.0,31800,30750,-0.033,
2024-08-05,2024-08-22,2.0,29850,31250,0.0469,PP
2024-09-07,2024-09-23,1.0,29450,30600,0.039,PP
2024-10-02,2024-10-31,3.0,30000,30500,0.0167,PP
2024-11-07,2024-11-26,0.0,29450,28300,-0.039,
2024-12-06,2024-12-22,1.0,28150,28400,0.0089,PP
2025-01-14,2025-01-14,0.0,25850,25350,-0.0193,
2025-02-07,2025-02-27,1.0,24900,26500,0.0643,PP
2025-03-05,2025-03-28,0.0,25600,25300,-0.0117,
