trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-05,2021-01-22,1.0,21400,27100,0.2664,PP
2021-02-10,2021-02-22,0.0,30550,28200,-0.0769,
2021-03-07,2021-03-17,1.0,27750,29050,0.0468,PP
2021-04-05,2021-04-28,1.0,27250,26650,-0.022,PN
2021-05-06,2021-05-31,0.0,26350,31950,0.2125,
2021-06-06,2021-06-29,2.0,33150,31500,-0.0498,PN
2021-07-06,2021-07-29,1.0,32050,30150,-0.0593,PN
2021-08-02,2021-08-26,1.0,29900,30350,0.0151,PP
2021-09-02,2021-09-28,2.0,31100,33700,0.0836,PP
2021-10-03,2021-10-28,2.0,34250,30800,-0.1007,PN
2021-11-07,2021-11-28,2.0,30950,27200,-0.1212,PN
2021-12-07,2021-12-29,-1.0,29700,29950,0.0084,NP
2022-01-03,2022-01-19,1.0,29500,27550,-0.0661,PN
2022-02-02,2022-02-22,1.0,28600,29750,0.0402,PP
2022-03-05,2022-03-28,-3.0,28150,29750,0.0568,NP
2022-04-02,2022-04-22,-1.0,31900,31300,-0.0188,NN
2022-05-06,2022-05-26,-2.0,29950,28600,-0.0451,NN
2022-06-08,2022-06-27,-3.0,28850,25250,-0.1248,NN
2022-07-07,2022-07-18,0.0,26100,25200,-0.0345,
2022-08-01,2022-08-29,-2.0,25350,25550,0.0079,NP
2022-09-04,2022-09-29,-3.0,26050,22100,-0.1516,NN
2022-10-05,2022-10-24,-2.0,22350,22000,-0.0157,NN
2022-11-04,2022-11-30,0.0,23600,25450,0.0784,
2022-12-05,2022-12-26,0.0,25150,24300,-0.0338,
2023-01-11,2023-01-26,2.0,23700,24350,0.0274,PP
2023-02-10,2023-02-24,-1.0,23500,23050,-0.0191,NN
2023-03-01,2023-03-22,1.0,23100,22700,-0.0173,PN
2023-04-02,2023-04-30,-1.0,23150,22850,-0.013,NN
2023-05-03,2023-05-22,0.0,22950,22600,-0.0153,
2023-06-06,2023-06-26,-1.0,22050,23650,0.0726,NP
2023-07-07,2023-07-26,-1.0,25350,24150,-0.0473,NN
2023-08-03,2023-08-29,0.0,24200,23200,-0.0413,
2023-09-05,2023-09-27,0.0,23000,21750,-0.0543,
2023-10-02,2023-10-29,-2.0,21500,19670,-0.0851,NN
2023-11-06,2023-11-29,-3.0,20750,22100,0.0651,NP
2023-12-07,2023-12-26,2.0,22600,24000,0.0619,PP
2024-01-04,2024-01-30,1.0,22700,22450,-0.011,PN
2024-02-01,2024-02-24,2.0,23000,23200,0.0087,PP
2024-03-06,2024-03-31,-1.0,22400,21700,-0.0312,NN
2024-04-10,2024-04-25,1.0,20900,20600,-0.0144,PN
2024-05-06,2024-05-29,2.0,21500,20650,-0.0395,PN
2024-06-03,2024-06-25,0.0,21100,22050,0.045,
2024-07-04,2024-07-22,-3.0,22850,21400,-0.0635,NN
2024-08-05,2024-08-27,0.0,20700,22450,0.0845,
2024-09-06,2024-09-24,-1.0,22700,22500,-0.0088,NN
2024-10-10,2024-10-29,0.0,21900,24150,0.1027,
2024-11-02,2024-11-28,1.0,23800,25450,0.0693,PP
2024-12-03,2024-12-23,5.0,25800,23700,-0.0814,PN
2025-01-13,2025-01-27,0.0,22950,24600,0.0719,
2025-02-04,2025-02-28,0.0,23950,23600,-0.0146,
2025-03-11,2025-03-23,-1.0,23800,22400,-0.0588,NN
