trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-03-02,2021-03-29,0.0,7010,7580,0.0813,
2021-04-19,2021-04-19,-1.0,7530,7500,-0.004,NN
2021-10-15,2021-10-17,0.0,8990,8950,-0.0044,
2021-12-10,2021-12-10,0.0,9050,8880,-0.0188,
2022-02-28,2022-02-28,0.0,8320,8410,0.0108,
2022-05-09,2022-05-09,0.0,9180,8890,-0.0316,
2022-11-11,2022-11-11,-1.0,8910,8770,-0.0157,NN
2023-02-15,2023-02-28,0.0,9860,9280,-0.0588,
2023-03-02,2023-03-13,0.0,9310,9420,0.0118,
2023-04-20,2023-04-27,2.0,9030,9780,0.0831,PP
2023-05-05,2023-05-05,0.0,9380,9350,-0.0032,
2023-06-17,2023-06-17,-1.0,10200,10200,0.0,NP
2023-07-08,2023-07-30,0.0,10130,9730,-0.0395,
2023-09-07,2023-09-25,-1.0,11400,11260,-0.0123,NN
2023-10-12,2023-10-26,3.0,11570,12200,0.0545,PP
2023-11-11,2023-11-11,0.0,13170,13300,0.0099,
2023-12-08,2023-12-28,0.0,16310,14400,-0.1171,
2024-01-14,2024-01-31,1.0,14760,14630,-0.0088,PN
2024-02-05,2024-02-29,2.0,15580,18670,0.1983,PP
2024-03-16,2024-03-16,0.0,16750,16750,0.0,
2024-05-07,2024-05-30,1.0,15830,18530,0.1706,PP
2024-06-13,2024-06-24,2.0,18500,21800,0.1784,PP
2024-07-15,2024-07-24,1.0,20200,20900,0.0347,PP
2024-08-07,2024-08-26,1.0,20650,21250,0.0291,PP
2024-09-04,2024-09-25,3.0,19420,23600,0.2152,PP
2024-10-29,2024-10-29,0.0,27200,26300,-0.0331,
2024-11-04,2024-11-19,2.0,24150,24500,0.0145,PP
2024-12-01,2024-12-18,0.0,19640,18390,-0.0636,
2025-01-02,2025-01-23,1.0,18630,21450,0.1514,PP
2025-02-03,2025-02-28,2.0,22750,28500,0.2527,PP
2025-03-06,2025-03-30,-1.0,34000,29950,-0.1191,NN
